"year","treatment","sheet","n_matches","variables"
"2019","AWD","Groundwater","6","Date || Depth (cm) PIEZOMETER P6
 || GROUNDWATER || NOTE: Groundwater quality sampling was conducted during 7 sampling events: (1) in piezometrs P2, P5, P6 and P7; (2 and 3) in all piezometers from P1 tp P7; (4,5,6,7)in piezometers P2, P5, P6 and P7. || Pesticides content: Clomazone  (µg/L)  PIEZOMETER P6
 || Pesticides content: MCPA (µg/L)  PIEZOMETER P6
"
"2019","DFL","Groundwater","33"," P-PO4 (mg/l) PIEZOMETER 3 || Date || Depth (cm) PIEZOMETER P3
 || Depth (cm) PIEZOMETER P4
 || Depth (cm) PIEZOMETER P7
 || GROUNDWATER || K (mg/l) PIEZOMETER 3 || K (mg/l) PIEZOMETER 4 || K (mg/l) PIEZOMETER 7 || N-NH3 (mg/l) PIEZOMETER
P7 || N-NH3 (mg/l)
PIEZOMETER P3 || N-NH3 (mg/l)
PIEZOMETER P4 || N-NO2 (mg/l) PIEZOMETER
P3 || N-NO2 (mg/l)
PIEZOMETER P4 || N-NO2 (mg/l)
PIEZOMETER P7 || N-NO3 (mg/l) PIEZOMETER P3
 || N-NO3 (mg/l) PIEZOMETER P4
 || N-NO3 (mg/l) PIEZOMETER P7
 || NOTE: Groundwater quality sampling was conducted during 7 sampling events: (1) in piezometrs P2, P5, P6 and P7; (2 and 3) in all piezometers from P1 tp P7; (4,5,6,7)in piezometers P2, P5, P6 and P7. || N-TOT (mg/l) PIEZOMETER
P3 || N-TOT (mg/l) PIEZOMETER
P4 || N-TOT (mg/l) PIEZOMETER
P7 || N-UREA (mg/l) PIEZOMETER 3 || N-UREA (mg/l) PIEZOMETER 4 || N-UREA (mg/l) PIEZOMETER 7 || Pesticides content: Clomazone  (µg/L)  PIEZOMETER P3
 || Pesticides content: Clomazone  (µg/L) PIEZOMETER P4
 || Pesticides content: Clomazone (µg/L) PIEZOMETER P7
 || Pesticides content: MCPA (µg/L)  PIEZOMETER P3
 || Pesticides content: MCPA (µg/L) PIEZOMETER P4
 || Pesticides content: MCPA (µg/L) PIEZOMETER P7
 || P-PO4 (mg/l) PIEZOMETER 4 || P-PO4 (mg/l) PIEZOMETER 7"
"2019","WFL","Groundwater","33","Date || Depth (cm) PIEZOMETER P1
 || Depth (cm) PIEZOMETER P2
 || Depth (cm) PIEZOMETER P5
 || GROUNDWATER || K (mg/l) PIEZOMETER 1 || K (mg/l) PIEZOMETER 2 || K (mg/l) PIEZOMETER 5 || N-NH3 (mg/l) PIEZOMETER
P5 || N-NH3 (mg/l)
PIEZOMETER P1 || N-NH3 (mg/l)
PIEZOMETER P2 || N-NO2 (mg/l) PIEZOMETER
P1 || N-NO2 (mg/l)
PIEZOMETER P2 || N-NO2 (mg/l)
PIEZOMETER P5 || N-NO3 (mg/l) PIEZOMETER P1
 || N-NO3 (mg/l) PIEZOMETER P2
 || N-NO3 (mg/l) PIEZOMETER P5
 || NOTE: Groundwater quality sampling was conducted during 7 sampling events: (1) in piezometrs P2, P5, P6 and P7; (2 and 3) in all piezometers from P1 tp P7; (4,5,6,7)in piezometers P2, P5, P6 and P7. || N-TOT (mg/l) PIEZOMETER
P1 || N-TOT (mg/l) PIEZOMETER
P2 || N-TOT (mg/l) PIEZOMETER
P5 || N-UREA (mg/l) PIEZOMETER 1 || N-UREA (mg/l) PIEZOMETER 2 || N-UREA (mg/l) PIEZOMETER 5 || Pesticides content: Clomazone  (µg/L)  PIEZOMETER P1
 || Pesticides content: Clomazone  (µg/L) PIEZOMETER P2
 || Pesticides content: Clomazone (µg/L) PIEZOMETER P5
 || Pesticides content: MCPA (µg/L)  PIEZOMETER P1
 || Pesticides content: MCPA (µg/L) PIEZOMETER P2
 || Pesticides content: MCPA (µg/L) PIEZOMETER P5
 || P-PO4 (mg/l) PIEZOMETER 1 || P-PO4 (mg/l) PIEZOMETER 2 || P-PO4 (mg/l) PIEZOMETER 5"
"2020","AWD","Groundwater","32","Date || Depth (cm) PIEZOMETER P1
 || Depth (cm) PIEZOMETER P2
 || Depth (cm) PIEZOMETER P5
 || GROUNDWATER || K (mg/l) PIEZOMETER P1 || K (mg/l) PIEZOMETER P2 || K (mg/l) PIEZOMETER P5 || N-NH3 (mg/l) PIEZOMETER
P5 || N-NH3 (mg/l)
PIEZOMETER P1 || N-NH3 (mg/l)
PIEZOMETER P2 || N-NO2 (mg/l) PIEZOMETER P1 || N-NO2 (mg/l)
PIEZOMETER P2 || N-NO2 (mg/l)
PIEZOMETER P5 || N-NO3 (mg/l) PIEZOMETER P1
 || N-NO3 (mg/l) PIEZOMETER P2
 || N-NO3 (mg/l) PIEZOMETER P5
 || N-TOT (mg/l) PIEZOMETER
P1 || N-TOT (mg/l) PIEZOMETER
P2 || N-TOT (mg/l) PIEZOMETER
P5 || N-UREA (mg/l) PIEZOMETER 1 || N-UREA (mg/l) PIEZOMETER 2 || N-UREA (mg/l) PIEZOMETER 5 || Pesticides content: Clomazone  (µg/L)  PIEZOMETER P1
 || Pesticides content: Clomazone  (µg/L) PIEZOMETER P2
 || Pesticides content: Clomazone (µg/L) PIEZOMETER P5
 || Pesticides content: MCPA (µg/L)  PIEZOMETER P1
 || Pesticides content: MCPA (µg/L) PIEZOMETER P2
 || Pesticides content: MCPA (µg/L) PIEZOMETER P5
 || P-PO4 (mg/l) PIEZOMETER P1 || P-PO4 (mg/l) PIEZOMETER P2 || P-PO4 (mg/l) PIEZOMETER P5"
"2020","DFL","Groundwater","32"," P-PO4 (mg/l) PIEZOMETER P3 || Date || Depth (cm) PIEZOMETER P3
 || Depth (cm) PIEZOMETER P4
 || Depth (cm) PIEZOMETER P7
 || GROUNDWATER || K (mg/l) PIEZOMETER P3 || K (mg/l) PIEZOMETER P4 || K (mg/l) PIEZOMETER P7 || N-NH3 (mg/l) PIEZOMETER
P7 || N-NH3 (mg/l)
PIEZOMETER P3 || N-NH3 (mg/l)
PIEZOMETER P4 || N-NO2 (mg/l) PIEZOMETER
P3 || N-NO2 (mg/l)
PIEZOMETER P4 || N-NO2 (mg/l)
PIEZOMETER P7 || N-NO3 (mg/l) PIEZOMETER P3
 || N-NO3 (mg/l) PIEZOMETER P4
 || N-NO3 (mg/l) PIEZOMETER P7
 || N-TOT (mg/l) PIEZOMETER
P3 || N-TOT (mg/l) PIEZOMETER
P4 || N-TOT (mg/l) PIEZOMETER
P7 || N-UREA (mg/l) PIEZOMETER P3 || N-UREA (mg/l) PIEZOMETER P4 || N-UREA (mg/l) PIEZOMETER P7 || Pesticides content: Clomazone  (µg/L)  PIEZOMETER P3
 || Pesticides content: Clomazone  (µg/L) PIEZOMETER P4
 || Pesticides content: Clomazone (µg/L) PIEZOMETER P7
 || Pesticides content: MCPA (µg/L)  PIEZOMETER P3
 || Pesticides content: MCPA (µg/L) PIEZOMETER P4
 || Pesticides content: MCPA (µg/L) PIEZOMETER P7
 || P-PO4 (mg/l) PIEZOMETER P4 || P-PO4 (mg/l) PIEZOMETER P7"
"2020","WFL","Groundwater","32","Date || Depth (cm) PIEZOMETER P6
 || Depth (cm) PIEZOMETER P8
 || Depth (cm) PIEZOMETER P9
 || GROUNDWATER || K (mg/l) PIEZOMETER 6 || K (mg/l) PIEZOMETER 8 || K (mg/l) PIEZOMETER 9 || N-NH3 (mg/l) PIEZOMETER
P9 || N-NH3 (mg/l)
PIEZOMETER P6 || N-NH3 (mg/l)
PIEZOMETER P8 || N-NO2 (mg/l) PIEZOMETER
P6 || N-NO2 (mg/l)
PIEZOMETER P8 || N-NO2 (mg/l)
PIEZOMETER P9 || N-NO3 (mg/l) PIEZOMETER P6
 || N-NO3 (mg/l) PIEZOMETER P8
 || N-NO3 (mg/l) PIEZOMETER P9
 || N-TOT (mg/l) PIEZOMETER
P6 || N-TOT (mg/l) PIEZOMETER
P8 || N-TOT (mg/l) PIEZOMETER
P9 || N-UREA (mg/l) PIEZOMETER 6 || N-UREA (mg/l) PIEZOMETER 8 || N-UREA (mg/l) PIEZOMETER 9 || Pesticides content: Clomazone  (µg/L)  PIEZOMETER P6
 || Pesticides content: Clomazone  (µg/L) PIEZOMETER P8
 || Pesticides content: Clomazone (µg/L) PIEZOMETER P9
 || Pesticides content: MCPA (µg/L)  PIEZOMETER P6
 || Pesticides content: MCPA (µg/L) PIEZOMETER P8
 || Pesticides content: MCPA (µg/L) PIEZOMETER P9
 || P-PO4 (mg/l) PIEZOMETER  || P-PO4 (mg/l) PIEZOMETER 6 || P-PO4 (mg/l) PIEZOMETER 9"
"2019","AWD","Irrig","6","Date || Irrig inflow (mm)
E3 (Flowmeter at inlet) || Irrig outflow (mm)
 U3 (flowmeter at outlet) || Irrig water ponding water level in the field (mm) || IRRIGATION || Sampling point for nutrients (N, P, K) and pesticides (MCPA, Clomazone) analysis                                                                                                                                                                                                                                                              E(in): irrigation inlet                                                                                                                                                                                                                                                                                                  U(out): irrigation outlet"
"2019","DFL","Irrig","7","Date || Irrig inflow (mm)
 || Irrig water ponding water level in the field (mm) || Irrig water salinity (dS/m) || IRRIGATION || Sampling point for nutrients (N, P, K) and pesticides (MCPA, Clomazone) analysis                                                                                                                                                                                                                                                              E(in): irrigation inlet                                                                                                                                                                                                                                                                                                  U(out): irrigation outlet"
"2019","WFL","Irrig","7","Date || Irrig inflow (mm)
E1 (Flowmeter at inlet) || Irrig outflow (mm)
 U1 (flowmeter at outlet) || Irrig water ponding water level in the field (mm) || Irrig water salinity (dS/m) || IRRIGATION || Sampling point for nutrients (N, P, K) and pesticides (MCPA, Clomazone) analysis                                                                                                                                                                                                                                                              E(in): irrigation inlet                                                                                                                                                                                                                                                                                                  U(out): irrigation outlet"
"2020","AWD","Irrig","10","Date || Irrig inflow (mm)
E3 (Flowmeter at inlet) || Irrig outflow (mm)
 U1 (flowmeter at outlet) || Irrig water ponding water level in the field (mm) || IRRIGATION || Pesticides content: Clomazone (µg/L) inflow (E1) || Pesticides content: Clomazone (µg/L) outflow (U3) || Pesticides content: MCPA (µg/L) inflow (E1) || Pesticides content: MCPA (µg/L) outflow (U3) || Sampling point for nutrients (N, P, K) and pesticides (MCPA, Clomazone) analysis                                                                                                                                                                                                                                                              E(in): irrigation inlet                                                                                                                                                                                                                                                                                                  U(out): irrigation outlet"
