"year","treatment","sheet","cell","text"
"2019","AWD","Groundwater","A1","GROUNDWATER"
"2019","AWD","Groundwater","C1","NOTE: Groundwater quality sampling was conducted during 7 sampling events: (1) in piezometrs P2, P5, P6 and P7; (2 and 3) in all piezometers from P1 tp P7; (4,5,6,7)in piezometers P2, P5, P6 and P7."
"2019","AWD","Groundwater","A2","Date"
"2019","AWD","Groundwater","C2","Depth (cm) PIEZOMETER P6
"
"2019","AWD","Groundwater","N2","Pesticides content: MCPA (µg/L)  PIEZOMETER P6
"
"2019","AWD","Groundwater","O2","Pesticides content: Clomazone  (µg/L)  PIEZOMETER P6
"
"2019","DFL","Groundwater","A1","GROUNDWATER"
"2019","DFL","Groundwater","C1","NOTE: Groundwater quality sampling was conducted during 7 sampling events: (1) in piezometrs P2, P5, P6 and P7; (2 and 3) in all piezometers from P1 tp P7; (4,5,6,7)in piezometers P2, P5, P6 and P7."
"2019","DFL","Groundwater","A2","Date"
"2019","DFL","Groundwater","C2","Depth (cm) PIEZOMETER P3
"
"2019","DFL","Groundwater","D2","Depth (cm) PIEZOMETER P4
"
"2019","DFL","Groundwater","E2","Depth (cm) PIEZOMETER P7
"
"2019","DFL","Groundwater","I2","N-NO3 (mg/l) PIEZOMETER P3
"
"2019","DFL","Groundwater","J2","N-NO3 (mg/l) PIEZOMETER P4
"
"2019","DFL","Groundwater","K2","N-NO3 (mg/l) PIEZOMETER P7
"
"2019","DFL","Groundwater","L2","N-NO2 (mg/l) PIEZOMETER
P3"
"2019","DFL","Groundwater","M2","N-NO2 (mg/l)
PIEZOMETER P4"
"2019","DFL","Groundwater","N2","N-NO2 (mg/l)
PIEZOMETER P7"
"2019","DFL","Groundwater","O2","N-UREA (mg/l) PIEZOMETER 3"
"2019","DFL","Groundwater","P2","N-UREA (mg/l) PIEZOMETER 4"
"2019","DFL","Groundwater","Q2","N-UREA (mg/l) PIEZOMETER 7"
"2019","DFL","Groundwater","R2","N-NH3 (mg/l)
PIEZOMETER P3"
"2019","DFL","Groundwater","S2","N-NH3 (mg/l)
PIEZOMETER P4"
"2019","DFL","Groundwater","T2","N-NH3 (mg/l) PIEZOMETER
P7"
"2019","DFL","Groundwater","U2","N-TOT (mg/l) PIEZOMETER
P3"
"2019","DFL","Groundwater","V2","N-TOT (mg/l) PIEZOMETER
P4"
"2019","DFL","Groundwater","W2","N-TOT (mg/l) PIEZOMETER
P7"
"2019","DFL","Groundwater","X2"," P-PO4 (mg/l) PIEZOMETER 3"
"2019","DFL","Groundwater","Y2","P-PO4 (mg/l) PIEZOMETER 4"
"2019","DFL","Groundwater","Z2","P-PO4 (mg/l) PIEZOMETER 7"
"2019","DFL","Groundwater","AA2","K (mg/l) PIEZOMETER 3"
"2019","DFL","Groundwater","AB2","K (mg/l) PIEZOMETER 4"
"2019","DFL","Groundwater","AC2","K (mg/l) PIEZOMETER 7"
"2019","DFL","Groundwater","AJ2","Pesticides content: MCPA (µg/L)  PIEZOMETER P3
"
"2019","DFL","Groundwater","AK2","Pesticides content: MCPA (µg/L) PIEZOMETER P4
"
"2019","DFL","Groundwater","AL2","Pesticides content: MCPA (µg/L) PIEZOMETER P7
"
"2019","DFL","Groundwater","AM2","Pesticides content: Clomazone  (µg/L)  PIEZOMETER P3
"
"2019","DFL","Groundwater","AN2","Pesticides content: Clomazone  (µg/L) PIEZOMETER P4
"
"2019","DFL","Groundwater","AO2","Pesticides content: Clomazone (µg/L) PIEZOMETER P7
"
"2019","WFL","Groundwater","A1","GROUNDWATER"
"2019","WFL","Groundwater","C1","NOTE: Groundwater quality sampling was conducted during 7 sampling events: (1) in piezometrs P2, P5, P6 and P7; (2 and 3) in all piezometers from P1 tp P7; (4,5,6,7)in piezometers P2, P5, P6 and P7."
"2019","WFL","Groundwater","A2","Date"
"2019","WFL","Groundwater","C2","Depth (cm) PIEZOMETER P1
"
"2019","WFL","Groundwater","D2","Depth (cm) PIEZOMETER P2
"
"2019","WFL","Groundwater","E2","Depth (cm) PIEZOMETER P5
"
"2019","WFL","Groundwater","I2","N-NO3 (mg/l) PIEZOMETER P1
"
"2019","WFL","Groundwater","J2","N-NO3 (mg/l) PIEZOMETER P2
"
"2019","WFL","Groundwater","K2","N-NO3 (mg/l) PIEZOMETER P5
"
"2019","WFL","Groundwater","L2","N-NO2 (mg/l) PIEZOMETER
P1"
"2019","WFL","Groundwater","M2","N-NO2 (mg/l)
PIEZOMETER P2"
"2019","WFL","Groundwater","N2","N-NO2 (mg/l)
PIEZOMETER P5"
"2019","WFL","Groundwater","O2","N-UREA (mg/l) PIEZOMETER 1"
"2019","WFL","Groundwater","P2","N-UREA (mg/l) PIEZOMETER 2"
"2019","WFL","Groundwater","Q2","N-UREA (mg/l) PIEZOMETER 5"
"2019","WFL","Groundwater","R2","N-NH3 (mg/l)
PIEZOMETER P1"
"2019","WFL","Groundwater","S2","N-NH3 (mg/l)
PIEZOMETER P2"
"2019","WFL","Groundwater","T2","N-NH3 (mg/l) PIEZOMETER
P5"
"2019","WFL","Groundwater","U2","N-TOT (mg/l) PIEZOMETER
P1"
"2019","WFL","Groundwater","V2","N-TOT (mg/l) PIEZOMETER
P2"
"2019","WFL","Groundwater","W2","N-TOT (mg/l) PIEZOMETER
P5"
"2019","WFL","Groundwater","X2","P-PO4 (mg/l) PIEZOMETER 1"
"2019","WFL","Groundwater","Y2","P-PO4 (mg/l) PIEZOMETER 2"
"2019","WFL","Groundwater","Z2","P-PO4 (mg/l) PIEZOMETER 5"
"2019","WFL","Groundwater","AA2","K (mg/l) PIEZOMETER 1"
"2019","WFL","Groundwater","AB2","K (mg/l) PIEZOMETER 2"
"2019","WFL","Groundwater","AC2","K (mg/l) PIEZOMETER 5"
"2019","WFL","Groundwater","AJ2","Pesticides content: MCPA (µg/L)  PIEZOMETER P1
"
"2019","WFL","Groundwater","AK2","Pesticides content: MCPA (µg/L) PIEZOMETER P2
"
"2019","WFL","Groundwater","AL2","Pesticides content: MCPA (µg/L) PIEZOMETER P5
"
"2019","WFL","Groundwater","AM2","Pesticides content: Clomazone  (µg/L)  PIEZOMETER P1
"
"2019","WFL","Groundwater","AN2","Pesticides content: Clomazone  (µg/L) PIEZOMETER P2
"
"2019","WFL","Groundwater","AO2","Pesticides content: Clomazone (µg/L) PIEZOMETER P5
"
"2020","AWD","Groundwater","A1","GROUNDWATER"
"2020","AWD","Groundwater","A2","Date"
"2020","AWD","Groundwater","C2","Depth (cm) PIEZOMETER P1
"
"2020","AWD","Groundwater","D2","Depth (cm) PIEZOMETER P2
"
"2020","AWD","Groundwater","E2","Depth (cm) PIEZOMETER P5
"
"2020","AWD","Groundwater","I2","N-NO3 (mg/l) PIEZOMETER P1
"
"2020","AWD","Groundwater","J2","N-NO3 (mg/l) PIEZOMETER P2
"
"2020","AWD","Groundwater","K2","N-NO3 (mg/l) PIEZOMETER P5
"
"2020","AWD","Groundwater","L2","N-NO2 (mg/l) PIEZOMETER P1"
"2020","AWD","Groundwater","M2","N-NO2 (mg/l)
PIEZOMETER P2"
"2020","AWD","Groundwater","N2","N-NO2 (mg/l)
PIEZOMETER P5"
"2020","AWD","Groundwater","O2","N-UREA (mg/l) PIEZOMETER 1"
