"year","treatment","sheet","row","column","cell","text"
"2019","AWD","Groundwater","1","1","A1","GROUNDWATER"
"2019","AWD","Groundwater","1","3","C1","NOTE: Groundwater quality sampling was conducted during 7 sampling events: (1) in piezometrs P2, P5, P6 and P7; (2 and 3) in all piezometers from P1 tp P7; (4,5,6,7)in piezometers P2, P5, P6 and P7."
"2019","AWD","Groundwater","2","1","A2","Date"
"2019","AWD","Groundwater","2","2","B2","Days after sowing"
"2019","AWD","Groundwater","2","3","C2","Depth (cm) PIEZOMETER P6
"
"2019","AWD","Groundwater","2","4","D2","Salinity (dS/m)
"
"2019","AWD","Groundwater","2","5","E2","N-NO3 (mg/l)"
"2019","AWD","Groundwater","2","6","F2","N-NO2 (mg/l)"
"2019","AWD","Groundwater","2","7","G2","N-UREA (mg/l)"
"2019","AWD","Groundwater","2","8","H2","N-NH3 (mg/l)"
"2019","AWD","Groundwater","2","9","I2","N-TOT (mg/l)"
"2019","AWD","Groundwater","2","10","J2","P-PO4 (mg/l)"
"2019","AWD","Groundwater","2","11","K2","K (mg/l)"
"2019","AWD","Groundwater","2","12","L2","Arsenic (mg/L)
"
"2019","AWD","Groundwater","2","13","M2","Cadmium (mg/L)
"
"2019","AWD","Groundwater","2","14","N2","Pesticides content: MCPA (µg/L)  PIEZOMETER P6
"
"2019","AWD","Groundwater","2","15","O2","Pesticides content: Clomazone  (µg/L)  PIEZOMETER P6
"
"2019","AWD","Groundwater","3","1","A3","4/29/2019"
"2019","AWD","Groundwater","3","2","B3","-17"
"2019","AWD","Groundwater","3","5","E3","0.29"
"2019","AWD","Groundwater","3","6","F3","0.23"
"2019","AWD","Groundwater","3","7","G3","< LOQ"
"2019","AWD","Groundwater","3","8","H3","0.131"
"2019","AWD","Groundwater","3","9","I3","3.04"
"2019","AWD","Groundwater","3","10","J3","0.27"
"2019","AWD","Groundwater","3","11","K3","< LOQ"
"2019","AWD","Groundwater","3","14","N3","5.44124E-06"
"2019","AWD","Groundwater","3","15","O3","< LOD"
"2019","AWD","Groundwater","4","1","A4","4/30/2019"
"2019","AWD","Groundwater","4","2","B4","-16"
"2019","AWD","Groundwater","5","1","A5","5/1/2019"
"2019","AWD","Groundwater","5","2","B5","-15"
"2019","AWD","Groundwater","6","1","A6","5/2/2019"
"2019","AWD","Groundwater","6","2","B6","-14"
"2019","AWD","Groundwater","7","1","A7","5/3/2019"
"2019","AWD","Groundwater","7","2","B7","-13"
"2019","AWD","Groundwater","8","1","A8","5/4/2019"
"2019","AWD","Groundwater","8","2","B8","-12"
"2019","AWD","Groundwater","9","1","A9","5/5/2019"
"2019","AWD","Groundwater","9","2","B9","-11"
"2019","AWD","Groundwater","10","1","A10","5/6/2019"
"2019","AWD","Groundwater","10","2","B10","-10"
"2019","AWD","Groundwater","11","1","A11","5/7/2019"
"2019","AWD","Groundwater","11","2","B11","-9"
"2019","AWD","Groundwater","12","1","A12","5/8/2019"
"2019","AWD","Groundwater","12","2","B12","-8"
"2019","AWD","Groundwater","13","1","A13","5/9/2019"
"2019","AWD","Groundwater","13","2","B13","-7"
"2019","AWD","Groundwater","14","1","A14","5/10/2019"
"2019","AWD","Groundwater","14","2","B14","-6"
"2019","AWD","Groundwater","14","5","E14","< LOQ"
"2019","AWD","Groundwater","14","6","F14","0.159"
"2019","AWD","Groundwater","14","7","G14","< LOQ"
"2019","AWD","Groundwater","14","8","H14","0.036"
"2019","AWD","Groundwater","14","9","I14","14.50"
"2019","AWD","Groundwater","14","10","J14","0.13"
"2019","AWD","Groundwater","14","11","K14","< LOQ"
"2019","AWD","Groundwater","14","14","N14","< LOD"
"2019","AWD","Groundwater","14","15","O14","< LOD"
"2019","AWD","Groundwater","15","1","A15","5/11/2019"
"2019","AWD","Groundwater","15","2","B15","-5"
"2019","AWD","Irrig","1","1","A1","IRRIGATION"
"2019","AWD","Irrig","2","1","A2","Date"
"2019","AWD","Irrig","2","2","B2","Days after sowing"
"2019","AWD","Irrig","2","3","C2","Irrig inflow (mm)
E3 (Flowmeter at inlet)"
"2019","AWD","Irrig","2","4","D2","Irrig outflow (mm)
 U3 (flowmeter at outlet)"
"2019","AWD","Irrig","2","5","E2","Irrig water ponding water level in the field (mm)"
"2019","AWD","Irrig","2","6","F2","Sampling point for nutrients (N, P, K) and pesticides (MCPA, Clomazone) analysis                                                                                                                                                                                                                                                              E(in): irrigation inlet                                                                                                                                                                                                                                                                                                  U(out): irrigation outlet"
"2019","AWD","Irrig","2","7","G2","Arsenic (mg/L)"
"2019","AWD","Irrig","2","8","H2","Cadmium (mg/L)"
"2019","AWD","Irrig","2","9","I2","N-NO3 (mg/l)"
"2019","AWD","Irrig","2","10","J2","N-NO2 (mg/l)"
"2019","AWD","Irrig","2","11","K2","N-UREA (mg/l)"
"2019","AWD","Irrig","2","12","L2","N-NH3 (mg/l)"
"2019","AWD","Irrig","2","13","M2","N-TOT (mg/l)"
"2019","AWD","Irrig","2","14","N2","P-PO4 (mg/l)"
"2019","AWD","Irrig","2","15","O2","K (mg/l)"
"2019","AWD","Irrig","2","16","P2","Pesticides content: MCPA (µg/L)"
"2019","AWD","Irrig","2","17","Q2","Pesticides content: Clomazone (µg/L)"
"2019","AWD","Irrig","3","1","A3","5/14/2019"
"2019","AWD","Irrig","3","2","B3","-2"
"2019","AWD","Irrig","3","3","C3","197.85"
"2019","AWD","Irrig","3","4","D3","11.49"
"2019","AWD","Irrig","3","5","E3","40.72"
"2019","AWD","Irrig","3","6","F3","E3 (in)"
"2019","AWD","Irrig","3","9","I3","1.360"
"2019","AWD","Irrig","3","10","J3","< LOQ"
"2019","AWD","Irrig","3","11","K3","< LOQ"
"2019","AWD","Irrig","3","12","L3","0.061"
"2019","AWD","Irrig","3","13","M3","6.59"
"2019","AWD","Irrig","3","14","N3","0.09"
"2019","AWD","Irrig","3","15","O3","< LOQ"
"2019","AWD","Irrig","3","16","P3","0.030063224"
"2019","AWD","Irrig","3","17","Q3","0.098166843"
"2019","AWD","Irrig","4","1","A4","5/15/2019"
"2019","AWD","Irrig","4","2","B4","-1"
"2019","AWD","Irrig","4","3","C4","62.86"
"2019","AWD","Irrig","4","4","D4","31.55"
"2019","AWD","Irrig","4","5","E4","97.91"
"2019","AWD","Irrig","5","1","A5","5/16/2019"
"2019","AWD","Irrig","5","2","B5","0"
"2019","AWD","Irrig","5","3","C5","97.84"
"2019","AWD","Irrig","5","4","D5","114.94"
"2019","AWD","Irrig","5","5","E5","105.82"
"2019","AWD","Irrig","6","1","A6","5/17/2019"
"2019","AWD","Irrig","6","2","B6","1"
"2019","AWD","Irrig","6","3","C6","70.30"
"2019","AWD","Irrig","6","4","D6","56.45"
"2019","AWD","Irrig","6","5","E6","96.79"
"2019","AWD","Irrig","7","1","A7","5/18/2019"
"2019","AWD","Irrig","7","2","B7","2"
"2019","AWD","Irrig","7","3","C7","56.40"
"2019","AWD","Irrig","7","4","D7","95.40"
"2019","AWD","Irrig","7","5","E7","101.45"
"2019","AWD","Irrig","8","1","A8","5/19/2019"
"2019","AWD","Irrig","8","2","B8","3"
"2019","AWD","Irrig","8","3","C8","37.70"
"2019","AWD","Irrig","8","4","D8","53.63"
"2019","AWD","Irrig","8","5","E8","97.31"
"2019","AWD","Irrig","9","1","A9","5/20/2019"
"2019","AWD","Irrig","9","2","B9","4"
"2019","AWD","Irrig","9","3","C9","54.18"
"2019","AWD","Irrig","9","4","D9","32.00"
"2019","AWD","Irrig","9","5","E9","94.74"
"2019","AWD","Irrig","10","1","A10","5/21/2019"
"2019","AWD","Irrig","10","2","B10","5"
"2019","AWD","Irrig","10","3","C10","26.25"
"2019","AWD","Irrig","10","4","D10","27.90"
"2019","AWD","Irrig","10","5","E10","97.34"
"2019","AWD","Irrig","11","1","A11","5/22/2019"
"2019","AWD","Irrig","11","2","B11","6"
