"workbook","sheet","used_rows","used_columns","first_row_headers"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","General","151","8","Table1: Dataset that will be collected for each farm-scale Case Study (CS) and for each experimental year  | NOTE: Data are measured at hourly time scale, but they will be provided in the DMP Excel file at a daily time scale, as mentioned in  the Deliverable D1.2"" Data Management Plan"" submitted to PRIMA-IS.
"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Agro-climatic","179","19","AGRO-CLIMATIC DATA"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Soil phy-ch","61","26","SOIL PHYSICO-CHEMICAL STANDARD ANALYSIS FOR THE Ap HORIZON"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Soil water-occ","49","6","SOIL WATER STATUS: OCCASIONAL MEASUREMENTS | NOTE: tensiometers were installed at a depht of -10 cm at the beginning of the experiment, then at date 16/07 they were moved at -5 cm . Between 14/05 and 08/07 no measurements were taken since plots were flooded."
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Soil water-probes","146","3","SOIL WATER STATUS: WATER PROBES"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Soil pore","18","13","SOIL PORE WATER (BY MEANS OF POROUS CUPS)"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Groundwater","165","41","GROUNDWATER | NOTE: Groundwater quality sampling was conducted during 7 sampling events: (1) in piezometrs P2, P5, P6 and P7; (2 and 3) in all piezometers from P1 tp P7; (4,5,6,7)in piezometers P2, P5, P6 and P7."
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Irrig","221","22","IRRIGATION |   "
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Other water","185","41","OTHER WATER (OR NUTRIENT, OR PESTICIDE) BALANCE COMPONENTS"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Crop evol","183","7","CROP EVOLUTION"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Yield+product","23","22","YIELD AND PRODUCT QUALITY"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Gas emiss","2","7","GAS EMISSIONS"
"MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","Managem oper","43","3","SOIL, CROP AND IRRIGATION MANAGEMENT OPERATIONS"
