"dataset_title","persistent_id","url","publication_date","description","authors","subjects","type"
"Agricultural season 2021","doi:10.13130/RD_UNIMI/RHHUKK","https://doi.org/10.13130/RD_UNIMI/RHHUKK","2025-10-24T14:32:08Z","This dataset contains data collected during the 2021 agricultural season in the Lis Valley case study area (Portugal). The experiments were carried out in pilot fields at the Nuno Guilherme pilot farm, testing two irrigation strategies: (i) wet seeding with traditional continuous flooding (WFL) and (ii) wet seeding with alternate wetting and drying (AWD). It also includes data from a surface drip irrigation (DRIP) field tested at the Delfim Eugénio pilot farm. The dataset further provides the experimental field layouts and details of the cultivated rice varieties.","Goncalves, José","Agricultural Sciences; Earth and Environmental Sciences","dataset"
"Agricultural season 2020","doi:10.13130/RD_UNIMI/LZROVZ","https://doi.org/10.13130/RD_UNIMI/LZROVZ","2025-10-24T14:33:54Z","This dataset contains data collected during the 2020 agricultural season in the Lis Valley case study area (Portugal). The experiments were carried out in pilot fields at the Nuno Guilherme pilot farm, testing two irrigation strategies: (i) wet seeding with traditional continuous flooding (WFL) and (ii) wet seeding with alternate wetting and drying (AWD). It also includes data from a surface drip irrigation (DRIP) field tested at the Delfim Eugénio pilot farm. The dataset further provides the experimental field layouts and details of the cultivated rice varieties.","Goncalves, José","Agricultural Sciences; Earth and Environmental Sciences","dataset"
"Agricultural season 2019","doi:10.13130/RD_UNIMI/VANAOD","https://doi.org/10.13130/RD_UNIMI/VANAOD","2025-10-24T14:33:59Z","This dataset includes data gathered during the 2019 agricultural season in the Lis Valley case study (Portugal). The experiment was carried out in a pilot field located at the Nuno Guilherme pilot farm under a wet seeding and continuous flooding irrigation regime. The dataset also contains the experimental field layouts and information on the cultivated rice variety.","Goncalves, José","Agricultural Sciences; Earth and Environmental Sciences","dataset"
"Agricultural Season 2021","doi:10.13130/RD_UNIMI/Q4S2PN","https://doi.org/10.13130/RD_UNIMI/Q4S2PN","2025-10-24T14:34:56Z","This dataset contains data collected during the agricultural season 2021. The experimentation was conducted in two fields located at the Desmaisieres farms: 1) wet seeding and continuous flooding (Control); 2) 14% reduction in water inflow/outflow during whole crop cycle and 22% reduction in water inflow/outflow from day 100 after sowing (RT2). The dataset includes also the experimental layouts of the pilot fields and the rice varieties cultivated under each irrigation treatment.","Mira, Concepcion","Agricultural Sciences","dataset"
"Agricultural Season 2020","doi:10.13130/RD_UNIMI/QWCKD4","https://doi.org/10.13130/RD_UNIMI/QWCKD4","2025-10-24T14:35:16Z","This dataset contains data collected during the agricultural season 2020. The experimentation was conducted in four fields. Three of them were located at the Desmaisieres farms: 1) wet seeding and continuous flooding (Control); 2) 14% reduction in water inflow/outflow during whole crop cycle and 22% reduction in water inflow/outflow from day 100 after sowing (RT2); 3) longer drying periods and 30% reduction in water inflow/outflow (LDP-RT3); while the last one was located at the Rubiales Farm (and 5) surface drip irrigation (DRIP). The dataset also includes the experimental layouts of the pilot fields and the rice varieties cultivated under each irrigation treatment.","Mira, Concepcion","Agricultural Sciences","dataset"
"Agricultural Season 2019","doi:10.13130/RD_UNIMI/24OL4W","https://doi.org/10.13130/RD_UNIMI/24OL4W","2025-10-24T14:35:26Z","This dataset contains data collected during the agricultural season 2019. The experimentation was conducted in four fields located at the Desmaisieres Farm : 1) wet seeding and continuous flooding (Control); 2) 26% reduction in water inflow/outflow during whole crop cycle (RT1); 3) 14% reduction in water inflow/outflow until day 100 after sowing and 22% reduction from day 100 after sowing) (RT2); 4) longer drying periods and 30% reduction in water inflow/outflow (LDP-RT3). The dataset includes also the experimental layouts of the pilot fields and the rice varieties cultivated under each irrigation treatment.","Mira, Concepcion","Agricultural Sciences","dataset"
"Agricultural season 2021","doi:10.13130/RD_UNIMI/NFTARS","https://doi.org/10.13130/RD_UNIMI/NFTARS","2025-10-24T14:35:48Z","This dataset contains data collected during the 2021 agricultural season in the Lower Mondego Valley case study (Portugal). The experiment was conducted in pilot fields located on two experimental farms: Quinta do Canal (Alqueidão) and Bico da Barca (Alqueidão). At each farm, two experimental irrigation strategies were tested: (1) wet seeding with continuous flooding (WFL) and (2) wet seeding with alternate wetting and drying (AWD). The dataset also includes the experimental field layouts and details on the cultivated rice varieties.","de Lima, Isabel","Agricultural Sciences; Earth and Environmental Sciences","dataset"
"Agricultural season 2020","doi:10.13130/RD_UNIMI/UJFGAF","https://doi.org/10.13130/RD_UNIMI/UJFGAF","2025-10-24T14:35:57Z","This dataset contains data collected during the 2020 agricultural season in the Lower Mondego Valley case study (Portugal). The experiment was conducted in pilot fields located on two experimental farms: Quinta do Canal (Alqueidão) and Bico da Barca (Alqueidão). At each farm, two experimental irrigation strategies were tested: (1) wet seeding with continuous flooding (WFL) and (2) wet seeding with alternate wetting and drying (AWD). The dataset also includes the experimental field layouts and details on the cultivated rice varieties.","de Lima, Isabel","Agricultural Sciences; Earth and Environmental Sciences","dataset"
"Agricultural season 2019","doi:10.13130/RD_UNIMI/LQW5P2","https://doi.org/10.13130/RD_UNIMI/LQW5P2","2025-10-24T14:35:57Z","This dataset comprises data gathered during the 2019 agricultural season in the Lower Mondego Valley case study (Portugal). The experiment was carried out in a pilot field at the Quinta do Canal (Alqueidão) experimental site, under a wet seeding and continuous flooding irrigation regime. The dataset also contains the experimental field layouts and information on the cultivated rice variety.","de Lima, Isabel","Agricultural Sciences; Earth and Environmental Sciences","dataset"
"Agricultural season 2021","doi:10.13130/RD_UNIMI/UE2OA1","https://doi.org/10.13130/RD_UNIMI/UE2OA1","2025-10-24T14:36:50Z","This dataset contains data collected during the 2021 agricultural season from a pilot field located in Brandezzata (Italy), where Dry Seeding and delayed Flooding (DFL-aut) were applied with enhanced control of ponding water levels through automated gates. It includes also the experimental layout and the rice variety cultivated in the pilot field.","Gharsallah, Olfa","Agricultural Sciences; Earth and Environmental Sciences","dataset"
