"persistent_id","dataset_title","file_id","filename","content_type","filesize_bytes","checksum_type","checksum_value","description","directory_label","restricted"
"doi:10.13130/RD_UNIMI/RHHUKK","Agricultural season 2021","17323","MEDWATERICE DMP_CS5_LisValley_PT_AWD_2021.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","95629","MD5","014b4db65406f7ac75ec1234af58a944","Data collected at pilot field adopting the irrigation strategy alternate wetting and drying (AWD) 2021",,"False"
"doi:10.13130/RD_UNIMI/RHHUKK","Agricultural season 2021","17321","MEDWATERICE DMP_CS5_LisValley_PT_DRIP_2021.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","85020","MD5","809d1e39a7286b7b0b37a62a4ff585fe","Data collected at pilot field adopting the irrigation strategy surface drip irrigation (DRIP) 2021",,"False"
"doi:10.13130/RD_UNIMI/RHHUKK","Agricultural season 2021","17324","MEDWATERICE DMP_CS5_LisValley_PT_RICE-varieties_2021.pdf","application/pdf","423760","MD5","a2b4549c1d5b87cd3b2efe95a230a60e","Cultivated rice varieties in 2021",,"False"
"doi:10.13130/RD_UNIMI/RHHUKK","Agricultural season 2021","17325","MEDWATERICE DMP_CS5_LisValley_PT_WFL_2021.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","96511","MD5","4c7722ca98fad2d85b010127908642be","Data collected at pilot field adopting the irrigation strategy wet seeding and continuous flooding (WFL) 2021",,"False"
"doi:10.13130/RD_UNIMI/RHHUKK","Agricultural season 2021","17322","MEDWATERICE_EXPERIMENTAL LAYOUT_CS5_PORTUGAL_2021.pdf","application/pdf","1026142","MD5","90ab5de69b62c2ab2b2100301f32c3da","Experimental layout 2021",,"False"
"doi:10.13130/RD_UNIMI/RHHUKK","Agricultural season 2021","214147","README FILE CS5_LIS VALLEY_PORTUGAL_2021.txt","text/plain","4738","MD5","a1daf2f5e2cfb6f08a8ab47fdc25c48e",,,"False"
"doi:10.13130/RD_UNIMI/LZROVZ","Agricultural season 2020","8631","MEDWATERICE DMP_CS5_LisValley_PT_AWD_2020.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","90874","MD5","b85ff86e299ede19ae643d7167d8d2fa","Data collected at pilot field adopting the irrigation strategy alternate wetting and drying (AWD) 2020",,"False"
"doi:10.13130/RD_UNIMI/LZROVZ","Agricultural season 2020","8632","MEDWATERICE DMP_CS5_LisValley_PT_DRIP_2020.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","83355","MD5","cfb36b9e79befb509e32fc08cd1bd9b0","Data collected at pilot field adopting the irrigation strategy surface drip irrigation (DRIP) 2020",,"False"
"doi:10.13130/RD_UNIMI/LZROVZ","Agricultural season 2020","8633","MEDWATERICE DMP_CS5_LisValley_PT_RICE-varieties_2020.pdf","application/pdf","36454","MD5","c648bd429585c1237d8577d612568273","Cultivated rice varieties in 2020",,"False"
"doi:10.13130/RD_UNIMI/LZROVZ","Agricultural season 2020","8630","MEDWATERICE DMP_CS5_LisValley_PT_WFL_2020.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","89793","MD5","9cfbc9fcf1d84c61f235cd1a74b11cae","Data collected at pilot field adopting the irrigation strategy wet seeding and continuous flooding (WFL) 2020",,"False"
"doi:10.13130/RD_UNIMI/LZROVZ","Agricultural season 2020","8706","MEDWATERICE_EXPERIMENTAL LAYOUT_CS5_PORTUGAL_2020.pdf","application/pdf","1025833","MD5","638337a7e8d1b7c142b7d1096d841929","Experimental layout 2020",,"False"
"doi:10.13130/RD_UNIMI/LZROVZ","Agricultural season 2020","214146","README FILE CS5_LIS VALLEY_PORTUGAL_2020.txt","text/plain","4664","MD5","5815cefca5c0a1ee84058d6505bb8546",,,"False"
"doi:10.13130/RD_UNIMI/VANAOD","Agricultural season 2019","8628","MEDWATERICE DMP_CS5_LisValley_PT_RICE-varieties_2019.pdf","application/pdf","36446","MD5","b8ee604c9447f1f434fffa44f5aeee5a","Cultivated rice varieties in 2019",,"False"
"doi:10.13130/RD_UNIMI/VANAOD","Agricultural season 2019","8627","MEDWATERICE DMP_CS5_LisValley-PT_WFL_2019.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","92381","MD5","d4728c49701c689239a55afabfc44c93","Data collected at pilot field adopting the irrigation strategy wet seeding and continuous flooding (WFL) 2019",,"False"
"doi:10.13130/RD_UNIMI/VANAOD","Agricultural season 2019","8707","MEDWATERICE_EXPERIMENTAL LAYOUT_CS5_PORTUGAL_2019.pdf","application/pdf","758956","MD5","eaff03bc0dfb79f71765cf5d7b0a040c","Experimental layout 2019",,"False"
"doi:10.13130/RD_UNIMI/VANAOD","Agricultural season 2019","214145","README FILE CS5_LIS VALLEY_PORTUGAL_2019.txt","text/plain","4459","MD5","f2d51831122dc5b79041f96b63ef2dad",,,"False"
"doi:10.13130/RD_UNIMI/Q4S2PN","Agricultural Season 2021","8676","DMP_CS3_CONTROL_Desmaisieres_2021.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","4829863","MD5","503fb7de42796d0c5bee297e45453a6d",,,"False"
"doi:10.13130/RD_UNIMI/Q4S2PN","Agricultural Season 2021","8677","DMP_CS3_RT2_Desmaisieres_2021.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","5978513","MD5","96e4b1eac04e8869727a90b5f8679cf3",,,"False"
"doi:10.13130/RD_UNIMI/Q4S2PN","Agricultural Season 2021","17311","EXPERIMENTAL LAYOUT_2021.pdf","application/pdf","367659","MD5","76b40966e5d4c696e47aaaad6a922a78",,,"False"
"doi:10.13130/RD_UNIMI/Q4S2PN","Agricultural Season 2021","8675","MEDWATERICEDMP_CS3_Varieties_2021.pdf","application/pdf","38285","MD5","8260bd19234cc6840e1c476f6477907e",,,"False"
"doi:10.13130/RD_UNIMI/Q4S2PN","Agricultural Season 2021","214137","README FILE CS3_QUADALQUIVIR_SPAIN_2021.txt","text/plain","4452","MD5","3de2a920c0336c7c3105dc51f82f13d9",,,"False"
"doi:10.13130/RD_UNIMI/QWCKD4","Agricultural Season 2020","8670","DMP_CS3_CONTROL_Desmaisieres_2020.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","1791665","MD5","c09c3de667b1c51c50a976cae1f50c48",,,"False"
"doi:10.13130/RD_UNIMI/QWCKD4","Agricultural Season 2020","8672","DMP_CS3_DRIP_Rubiales_2020.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","1000484","MD5","55d8e3f62d9a0971f3fc176ecc320f5f",,,"False"
"doi:10.13130/RD_UNIMI/QWCKD4","Agricultural Season 2020","8671","DMP_CS3_LDP-RT3_Desmaisieres_2020.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","2270427","MD5","76fb1186d65c2854875df7460dc20b5f",,,"False"
"doi:10.13130/RD_UNIMI/QWCKD4","Agricultural Season 2020","8669","DMP_CS3_RT2_Desmaisieres_2020.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","2173060","MD5","2f0da0386e89af1b2b04b7f47f374d25",,,"False"
"doi:10.13130/RD_UNIMI/QWCKD4","Agricultural Season 2020","17310","EXPERIMENTAL LAYOUT_2020.pdf","application/pdf","411008","MD5","166f49f982e7c73619758732eadc29a2",,,"False"
"doi:10.13130/RD_UNIMI/QWCKD4","Agricultural Season 2020","8673","MEDWATERICEDMP_CS3_Varieties_2020.pdf","application/pdf","39794","MD5","cc554df1c23f88a89230281ac6c2d248",,,"False"
"doi:10.13130/RD_UNIMI/QWCKD4","Agricultural Season 2020","214136","README FILE CS3_QUADALQUIVIR_SPAIN_2020.txt","text/plain","4706","MD5","f8c01e09387da1e4fbdb8daaac6e2254",,,"False"
"doi:10.13130/RD_UNIMI/24OL4W","Agricultural Season 2019","8664","DMP_CS3_CONTROL_Desmaisieres_2019.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","581457","MD5","f7c87303db1fed6fdee5f2c50f21b20e",,,"False"
"doi:10.13130/RD_UNIMI/24OL4W","Agricultural Season 2019","8665","DMP_CS3_LDP-RT3_Desmaisieres_2019.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","572472","MD5","880a46a44dffa7fc8dc17d846a8be783",,,"False"
"doi:10.13130/RD_UNIMI/24OL4W","Agricultural Season 2019","8667","DMP_CS3_RT1_Desmaisieres_2019.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","1169366","MD5","d26bf287518d38e9b55b76be48021a1c",,,"False"
"doi:10.13130/RD_UNIMI/24OL4W","Agricultural Season 2019","8663","DMP_CS3_RT2_Desmaisieres_2019.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","2524155","MD5","258587861b9ca2f628ed68bdfa1f558b",,,"False"
"doi:10.13130/RD_UNIMI/24OL4W","Agricultural Season 2019","8662","EXPERIMENTAL LAYOUT_2019.pdf","application/pdf","837873","MD5","bb9a7d24ebfb66cbe8ba742a49028157",,,"False"
"doi:10.13130/RD_UNIMI/24OL4W","Agricultural Season 2019","8666","MEDWATERICEDMP_CS3_Varieties_2019.pdf","application/pdf","40341","MD5","69d6943d4f84f39db9c7301a41f9d178",,,"False"
"doi:10.13130/RD_UNIMI/24OL4W","Agricultural Season 2019","214138","README FILE CS3_QUADALQUIVIR_SPAIN_2019.txt","text/plain","4662","MD5","1866f5272e470f2b0c2d45596b698fe3",,,"False"
"doi:10.13130/RD_UNIMI/NFTARS","Agricultural season 2021","8716","MEDWATERICE DMP_CS4_BB_Rice_variety_2021.pdf","application/pdf","94188","MD5","60e8395292eadc0fa48c76ed2c60e2b2","Rice variety cultivated in 2021, at pilot farm Bico da Barca (CS4).",,"False"
"doi:10.13130/RD_UNIMI/NFTARS","Agricultural season 2021","8731","MEDWATERICE DMP_CS4_Portugal_LowerMondego_Bico_da_Barca_AWD_2021.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","1002682","MD5","b2329fb55bd8aa7c443dd1265ef57043","Data collected in 2021 at Bico da Barca (Plot 2), in the Lower Mondego Valley; wet seeding and alternate wetting and drying irrigation (AWD) was adopted",,"False"
"doi:10.13130/RD_UNIMI/NFTARS","Agricultural season 2021","8729","MEDWATERICE DMP_CS4_Portugal_LowerMondego_Bico_da_Barca_WFL_2021.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","1002057","MD5","f9a078c4349b637c1b0195e5a7870a21","Data collected in 2021 at Bico da Barca (Plot 1), in the Lower Mondego Valley; wet seeding and conventional continuous flooding irrigation (WFL) was adopted",,"False"
"doi:10.13130/RD_UNIMI/NFTARS","Agricultural season 2021","8730","MEDWATERICE DMP_CS4_Portugal_LowerMondego_Quinta_do_Canal_AWD_2021.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","1557005","MD5","c4a8da9c0be116528af440750af5247c","Data collected in 2021 at Quinta do Canal (Plot 2), in the Lower Mondego Valley; wet seeding and alternate wetting and drying irrigation (AWD) was adopted",,"False"
"doi:10.13130/RD_UNIMI/NFTARS","Agricultural season 2021","8728","MEDWATERICE DMP_CS4_Portugal_LowerMondego_Quinta_do_Canal_WFL_2021.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","1558288","MD5","a651dbb1664493ceef1837ee9bdb0c38","Data collected in 2021 at Quinta do Canal (Plot 1), in the Lower Mondego Valley; wet seeding and conventional continuous flooding irrigation (WFL) was adopted",,"False"
"doi:10.13130/RD_UNIMI/NFTARS","Agricultural season 2021","8715","MEDWATERICE DMP_CS4_QC_Rice_variety_2021.pdf","application/pdf","94198","MD5","920a0431404b8e357f15a503766069fe","Rice variety cultivated in 2021, at pilot farm Quinta do Canal (CS4).",,"False"
"doi:10.13130/RD_UNIMI/NFTARS","Agricultural season 2021","8722","MEDWATERICE_EXPERIMENTAL LAYOUT_CS4_BB_PORTUGAL_2021.pdf","application/pdf","92125","MD5","daddaec3722b03c894f135f5346eff2b","Layout of the pilot plots at Bico da Barca (Pilot Farm 2 of CS4) reporting details about the instrumentation installed in 2021",,"False"
