"persistent_id","dataset_title","file_id","filename","content_type","filesize_bytes","checksum_type","checksum_value","description","directory_label","restricted"
"doi:10.13130/RD_UNIMI/LQAFO9","Agricultural season 2019","11820","MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","6358893","MD5","b281f94262b5fe86a3b23f803c77ce82","Data collected at pilot field adopting the irrigation strategy alternate wetting and drying (AWD) 2019","","False"
"doi:10.13130/RD_UNIMI/LQAFO9","Agricultural season 2019","11821","MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","6153596","MD5","14bff3e6bbbd7a8e9e2aae8ec57e3f6d","Data collected at pilot field adopting the irrigation strategy dry seeding rice with continuous flooding (DFL) 2019","","False"
"doi:10.13130/RD_UNIMI/LQAFO9","Agricultural season 2019","11819","MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","2756707","MD5","4e38eec220a1932bf99a3fbcbe22f72f","Data collected at pilot field adopting the irrigation strategy water seeding with continuous flooding (WFL) 2019","","False"
"doi:10.13130/RD_UNIMI/LQAFO9","Agricultural season 2019","8057","MEDWATERICE DMP_CS1_varieties_2019.pdf","application/pdf","9752","MD5","c0115dde55813aa0f9b47548b21d11e5","Cultivated rice varieties in 2019","","False"
"doi:10.13130/RD_UNIMI/LQAFO9","Agricultural season 2019","5757","MEDWATERICE_EXPERIMENTAL LAYOUT_CS1_ITALY_2019 .pdf","application/pdf","817659","MD5","6e2083db02a6dbe3d15a6bf774ab04ca","Layout of the experimental platform at ENR-CRR reporting details about the instrumentation installed in the pilot fields","","False"
"doi:10.13130/RD_UNIMI/LQAFO9","Agricultural season 2019","214132","README FILE_CS1_LOMELLINA_ITALY_2019.txt","text/plain","5530","MD5","0972cb695c56f86934eff0ff3791c948","","","False"
"doi:10.13130/RD_UNIMI/OZSVBI","Agricultural season 2020","11824","MEDWATERICE DMP_CS1_ITALY_AWD_2020_03_12_2021.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","214832","MD5","02b01b7a5737e97d88cf042febb31a27","Data collected at pilot field adopting the irrigation strategy alternate wetting and drying (AWD) 2020","","False"
"doi:10.13130/RD_UNIMI/OZSVBI","Agricultural season 2020","11822","MEDWATERICE DMP_CS1_ITALY_DFL_2020_03_12_2021.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","168616","MD5","faa737fa86d2bed46abb50c846af296b","Data collected at pilot field adopting the irrigation strategy dry seeding rice with continuous flooding (DFL) 2020","","False"
"doi:10.13130/RD_UNIMI/OZSVBI","Agricultural season 2020","11823","MEDWATERICE DMP_CS1_ITALY_WFL_2020_03_12_2021.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","163173","MD5","ce0f34b16380f481230d39421db44c5c","Data collected at pilot field adopting the irrigation strategy water seeding with continuous flooding (WFL) 2020","","False"
"doi:10.13130/RD_UNIMI/OZSVBI","Agricultural season 2020","8061","MEDWATERICE DMP_CS1_varieties_2020.pdf","application/pdf","9261","MD5","f9c72513f1dc56debcf5dfc3cf9336ab","Cultivated rice varieties in 2020","","False"
"doi:10.13130/RD_UNIMI/OZSVBI","Agricultural season 2020","6156","MEDWATERICE_EXPERIMENTAL LAYOUT_CS1_ITALY_2020.pdf","application/pdf","169341","MD5","2b730b45464641aa86dc839e0b0b9f34","Layout of the experimental platform at ENR-CRR reporting details about the instrumentation installed in the pilot fields 2020","","False"
"doi:10.13130/RD_UNIMI/OZSVBI","Agricultural season 2020","214133","README FILE_CS1_LOMELLINA_ITALY_2020.txt","text/plain","5529","MD5","2b7e8c33089b60b051e8365548a74b81","","","False"
"doi:10.13130/RD_UNIMI/UE2OA1","Agricultural season 2021","17553","MEDWATERICE DMP_CS1_ITALY_AutomGate_2021.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","97976","MD5","4c582d3809d71af545a05166413b147a","Data collected at pilot field adopting the automated gate (AutomGate) 2021","","False"
"doi:10.13130/RD_UNIMI/UE2OA1","Agricultural season 2021","17555","MEDWATERICE DMP_CS1_varieties_2021.pdf","application/pdf","377561","MD5","ca9a5fc99237de76dd5ec04dfaa24b5b","Cultivated rice varieties in 2021","","False"
"doi:10.13130/RD_UNIMI/UE2OA1","Agricultural season 2021","17554","MEDWATERICE_EXPERIMENTAL LAYOUT_CS1_ITALY_AutomGate_2021.pdf","application/pdf","8934403","MD5","9ebe94e0178578de0ff3611ce4db1023","Experimental layout during the agricultural season 2021","","False"
"doi:10.13130/RD_UNIMI/UE2OA1","Agricultural season 2021","214134","README FILE_CS1_LOMELLINA_ITALY_2021.txt","text/plain","4166","MD5","f16c7b081676c2091ae852fc6be11744","","","False"
