"persistent_id","filename","local_path","size_bytes","expected_md5","calculated_md5","checksum_match","verified_date"
"doi:10.13130/RD_UNIMI/LQAFO9","MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","data\raw\MEDWATERICE\CS1_Lomellina_2019\MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","6358893","b281f94262b5fe86a3b23f803c77ce82","b281f94262b5fe86a3b23f803c77ce82","True","2026-08-29"
"doi:10.13130/RD_UNIMI/LQAFO9","MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","data\raw\MEDWATERICE\CS1_Lomellina_2019\MEDWATERICE DMP_CS1_ITALY_DFL_2019.xlsx","6153596","14bff3e6bbbd7a8e9e2aae8ec57e3f6d","14bff3e6bbbd7a8e9e2aae8ec57e3f6d","True","2026-08-29"
"doi:10.13130/RD_UNIMI/LQAFO9","MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","data\raw\MEDWATERICE\CS1_Lomellina_2019\MEDWATERICE DMP_CS1_ITALY_WFL_2019.xlsx","2756707","4e38eec220a1932bf99a3fbcbe22f72f","4e38eec220a1932bf99a3fbcbe22f72f","True","2026-08-29"
"doi:10.13130/RD_UNIMI/LQAFO9","MEDWATERICE DMP_CS1_varieties_2019.pdf","data\raw\MEDWATERICE\CS1_Lomellina_2019\MEDWATERICE DMP_CS1_varieties_2019.pdf","9752","c0115dde55813aa0f9b47548b21d11e5","c0115dde55813aa0f9b47548b21d11e5","True","2026-08-29"
"doi:10.13130/RD_UNIMI/LQAFO9","MEDWATERICE_EXPERIMENTAL LAYOUT_CS1_ITALY_2019 .pdf","data\raw\MEDWATERICE\CS1_Lomellina_2019\MEDWATERICE_EXPERIMENTAL LAYOUT_CS1_ITALY_2019 .pdf","817659","6e2083db02a6dbe3d15a6bf774ab04ca","6e2083db02a6dbe3d15a6bf774ab04ca","True","2026-08-29"
"doi:10.13130/RD_UNIMI/LQAFO9","README FILE_CS1_LOMELLINA_ITALY_2019.txt","data\raw\MEDWATERICE\CS1_Lomellina_2019\README FILE_CS1_LOMELLINA_ITALY_2019.txt","5530","0972cb695c56f86934eff0ff3791c948","0972cb695c56f86934eff0ff3791c948","True","2026-08-29"
"doi:10.13130/RD_UNIMI/OZSVBI","MEDWATERICE DMP_CS1_ITALY_AWD_2020_03_12_2021.xlsx","data\raw\MEDWATERICE\CS1_Lomellina_2020\MEDWATERICE DMP_CS1_ITALY_AWD_2020_03_12_2021.xlsx","214832","02b01b7a5737e97d88cf042febb31a27","02b01b7a5737e97d88cf042febb31a27","True","2026-08-29"
"doi:10.13130/RD_UNIMI/OZSVBI","MEDWATERICE DMP_CS1_ITALY_DFL_2020_03_12_2021.xlsx","data\raw\MEDWATERICE\CS1_Lomellina_2020\MEDWATERICE DMP_CS1_ITALY_DFL_2020_03_12_2021.xlsx","168616","faa737fa86d2bed46abb50c846af296b","faa737fa86d2bed46abb50c846af296b","True","2026-08-29"
"doi:10.13130/RD_UNIMI/OZSVBI","MEDWATERICE DMP_CS1_ITALY_WFL_2020_03_12_2021.xlsx","data\raw\MEDWATERICE\CS1_Lomellina_2020\MEDWATERICE DMP_CS1_ITALY_WFL_2020_03_12_2021.xlsx","163173","ce0f34b16380f481230d39421db44c5c","ce0f34b16380f481230d39421db44c5c","True","2026-08-29"
"doi:10.13130/RD_UNIMI/OZSVBI","MEDWATERICE DMP_CS1_varieties_2020.pdf","data\raw\MEDWATERICE\CS1_Lomellina_2020\MEDWATERICE DMP_CS1_varieties_2020.pdf","9261","f9c72513f1dc56debcf5dfc3cf9336ab","f9c72513f1dc56debcf5dfc3cf9336ab","True","2026-08-29"
"doi:10.13130/RD_UNIMI/OZSVBI","MEDWATERICE_EXPERIMENTAL LAYOUT_CS1_ITALY_2020.pdf","data\raw\MEDWATERICE\CS1_Lomellina_2020\MEDWATERICE_EXPERIMENTAL LAYOUT_CS1_ITALY_2020.pdf","169341","2b730b45464641aa86dc839e0b0b9f34","2b730b45464641aa86dc839e0b0b9f34","True","2026-08-29"
"doi:10.13130/RD_UNIMI/OZSVBI","README FILE_CS1_LOMELLINA_ITALY_2020.txt","data\raw\MEDWATERICE\CS1_Lomellina_2020\README FILE_CS1_LOMELLINA_ITALY_2020.txt","5529","2b7e8c33089b60b051e8365548a74b81","2b7e8c33089b60b051e8365548a74b81","True","2026-08-29"
"doi:10.13130/RD_UNIMI/UE2OA1","MEDWATERICE DMP_CS1_ITALY_AutomGate_2021.xlsx","data\raw\MEDWATERICE\CS1_Brandezzata_2021\MEDWATERICE DMP_CS1_ITALY_AutomGate_2021.xlsx","97976","4c582d3809d71af545a05166413b147a","4c582d3809d71af545a05166413b147a","True","2026-08-29"
