"persistent_id","title","geography_raw","descriptions_raw"
"doi:10.13130/RD_UNIMI/RHHUKK","Agricultural season 2021","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset contains data collected during the 2021 agricultural season in the Lis Valley case study area (Portugal). The experiments were carried out in pilot fields at the Nuno Guilherme pilot farm, testing two irrigation strategies: (i) wet seeding with traditional continuous flooding (WFL) and (ii) wet seeding with alternate wetting and drying (AWD). It also includes data from a surface drip irrigation (DRIP) field tested at the Delfim Eugénio pilot farm. The dataset further provides the experimental field layouts and details of the cultivated rice varieties.""}}"
"doi:10.13130/RD_UNIMI/LZROVZ","Agricultural season 2020","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset contains data collected during the 2020 agricultural season in the Lis Valley case study area (Portugal). The experiments were carried out in pilot fields at the Nuno Guilherme pilot farm, testing two irrigation strategies: (i) wet seeding with traditional continuous flooding (WFL) and (ii) wet seeding with alternate wetting and drying (AWD). It also includes data from a surface drip irrigation (DRIP) field tested at the Delfim Eugénio pilot farm. The dataset further provides the experimental field layouts and details of the cultivated rice varieties.""}}"
"doi:10.13130/RD_UNIMI/VANAOD","Agricultural season 2019","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset includes data gathered during the 2019 agricultural season in the Lis Valley case study (Portugal). The experiment was carried out in a pilot field located at the Nuno Guilherme pilot farm under a wet seeding and continuous flooding irrigation regime. The dataset also contains the experimental field layouts and information on the cultivated rice variety.""}}"
"doi:10.13130/RD_UNIMI/Q4S2PN","Agricultural Season 2021","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset contains data collected during the agricultural season 2021. The experimentation was conducted in two fields located at the Desmaisieres farms: 1) wet seeding and continuous flooding (Control); 2) 14% reduction in water inflow/outflow during whole crop cycle and  22% reduction in water inflow/outflow from day 100 after sowing (RT2). The dataset includes also the experimental layouts of the pilot fields and the rice varieties cultivated under each irrigation treatment.""}}"
"doi:10.13130/RD_UNIMI/QWCKD4","Agricultural Season 2020","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset contains data collected during the agricultural season 2020. The experimentation was conducted in four fields. Three  of them were located at the Desmaisieres  farms: 1) wet seeding and continuous flooding (Control); 2) 14% reduction in water inflow/outflow during whole crop cycle and  22% reduction in water inflow/outflow from day 100 after sowing (RT2); 3) longer drying periods and 30% reduction in water inflow/outflow (LDP-RT3); while the last one was located at the Rubiales Farm (and 5) surface drip irrigation (DRIP).\nThe dataset also includes the experimental layouts of the pilot fields and the rice varieties cultivated under each irrigation treatment.""}}"
"doi:10.13130/RD_UNIMI/24OL4W","Agricultural Season 2019","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset contains data collected during the agricultural season 2019. The experimentation was conducted in four fields located at the Desmaisieres Farm : 1) wet seeding and continuous flooding (Control); 2) 26% reduction in water inflow/outflow during whole crop cycle (RT1); 3) 14% reduction in water inflow/outflow until day 100 after sowing and 22% reduction from day 100 after sowing) (RT2); 4) longer drying periods and 30% reduction in water inflow/outflow (LDP-RT3).\nThe dataset includes also the experimental layouts of the pilot fields and the rice varieties cultivated under each irrigation treatment.""}}"
"doi:10.13130/RD_UNIMI/NFTARS","Agricultural season 2021","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset contains data collected during the 2021 agricultural season in the Lower Mondego Valley case study (Portugal). The experiment was conducted in pilot fields located on two experimental farms: Quinta do Canal (Alqueidão) and Bico da Barca (Alqueidão). At each farm, two experimental irrigation strategies were tested: (1) wet seeding with continuous flooding (WFL) and (2) wet seeding with alternate wetting and drying (AWD). The dataset also includes the experimental field layouts and details on the cultivated rice varieties.""}}"
"doi:10.13130/RD_UNIMI/UJFGAF","Agricultural season 2020","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset contains data collected during the 2020 agricultural season in the Lower Mondego Valley case study (Portugal). The experiment was conducted in pilot fields located on two experimental farms: Quinta do Canal (Alqueidão) and Bico da Barca (Alqueidão). At each farm, two experimental irrigation strategies were tested: (1) wet seeding with continuous flooding (WFL) and (2) wet seeding with alternate wetting and drying (AWD). The dataset also includes the experimental field layouts and details on the cultivated rice varieties.""}}"
"doi:10.13130/RD_UNIMI/LQW5P2","Agricultural season 2019","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset comprises data gathered during the 2019 agricultural season in the Lower Mondego Valley case study (Portugal). The experiment was carried out in a pilot field at the Quinta do Canal (Alqueidão) experimental site, under a wet seeding and continuous flooding irrigation regime. The dataset also contains the experimental field layouts and information on the cultivated rice variety.""}}"
"doi:10.13130/RD_UNIMI/UE2OA1","Agricultural season 2021","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset contains data collected during the 2021 agricultural season from a pilot field located in Brandezzata (Italy), where Dry Seeding and delayed Flooding (DFL-aut) were applied with enhanced control of ponding water levels through automated gates. It includes also the experimental layout and the rice variety cultivated in the pilot field.""}}"
"doi:10.13130/RD_UNIMI/LQAFO9","Agricultural season 2019","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset includes data collected during the 2019 agricultural season from pilot fields located in Lomellina (Italy), under three irrigation methods: Wet Seeding with continuous Flooding (WFL), Dry Seeding with delayed Flooding (DFL), and Alternate Wetting and Drying (AWD). It also includes the experimental layout and the rice variety cultivated in the pilot fields.""}}"
"doi:10.13130/RD_UNIMI/OZSVBI","Agricultural season 2020","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset contains data collected at pilot fields: Wet Seeding and continuous Flooding irrigation (WFL), Dry seeding and delayed FLooding (DFL), and Alternate Wetting and Drying (AWD), during the agricultural season 2020. It contains also the Experimental layout, and the rice variety cultivated in the pilot fields.""}}"
"doi:10.13130/RD_UNIMI/FDQL63","Agricultural season 2019","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset contains data collected during the 2019 agricultural season as part of the Baix Ter case study (CS2), where three irrigation strategies were tested: (i) wet seeding with continuous flooding (WFL); (ii) dry seeding with delayed flooding starting from the three-leaf stage (DFL); and (iii) dry seeding with subsurface drip irrigation (SDI). WFL and DFL were applied at the Mas Pla pilot farm, located in the Pals area within a traditional rice-growing region. SDI was implemented at the Camp del Cobert pilot farm, also in Pals, but outside the conventional rice cultivation area. The dataset also includes the experimental layouts of the FL and SDI pilot fields, as well as the rice varieties cultivated in those fields.""}}"
"doi:10.13130/RD_UNIMI/BDYJEY","Agricultural season 2020","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset contains data collected during the 2020 agricultural season in the Nile Delta case study (Egypt). Four irrigation strategies were tested: in the Northern Nile Delta, traditional flooding (WFL) and HYBRID, each tested with two water qualities (freshwater and drainage water); and in the Eastern Nile Delta, sprinkler irrigation and surface drip irrigation. For each strategy, three cultivation methods were applied (drill seeding, raised beds, and the System of Rice Intensification (SRI)) in combination with five rice varieties (Giza 177, Giza 178, Sakha Super 300, Hybrid Rice-EH1, and Dry Rice-L1). The dataset also includes the experimental field layouts and detailed information on the cultivated rice varieties.""}}"
"doi:10.13130/RD_UNIMI/FFENIN","Agricultural season 2021","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset contains data collected during the 2021 agricultural season in the Nile Delta case study (Egypt). Four irrigation strategies were tested: in the Northern Nile Delta, traditional flooding (WFL) and HYBRID, each tested with two water qualities (freshwater and drainage water); and in the Eastern Nile Delta, sprinkler irrigation and surface drip irrigation. For each strategy, three cultivation methods were applied (drill seeding, raised beds, and the System of Rice Intensification (SRI)) in combination with five rice varieties (Giza 177, Giza 178, Sakha Super 300, Hybrid Rice-EH1, and Dry Rice-L1). The dataset also includes the experimental field layouts and detailed information on the cultivated rice varieties.""}}"
"doi:10.13130/RD_UNIMI/0ZXBCN","Agricultural season 2019","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset contains data collected during the 2019 agricultural season in the Nile Delta (Egypt). The experiment was conducted in pilot fields at the pilot farm Sakha (North Nile Delta) under traditional flooding (WFL) using both fresh water and drainage water. Three cultivation methods were tested (drill seeding, raised beds, and the System of Rice Intensification), along with five rice varieties (Giza 177, Giza 178, Sakha 107, Hybrid Rice-EH1, and Dry Rice-L1). The dataset also includes the experimental field layouts and details of the cultivated rice varieties.""}}"
"doi:10.13130/RD_UNIMI/XANAWW","Agricultural season 2021","","{""dsDescriptionValue"":{""typeName"":""dsDescriptionValue"",""multiple"":false,""typeClass"":""primitive"",""value"":""This dataset contains data collected during the 2021 agricultural season for the Baix Ter case study (CS2). The irrigation strategies applied were similar to those used in 2020: wet seeding with continuous flooding (WFL), dry seeding with delayed flooding (DFL), and dry seeding with subsurface drip irrigation (SDI). As in the previous year, the SDI method was implemented in two pilot farms: Camp del Cobert and Benzinera, both located in Pals. The dataset also includes the experimental layouts of the pilot fields and the rice varieties cultivated under each irrigation treatment.""},""dsDescriptionDate"":{""typeName"":""dsDescriptionDate"",""multiple"":false,""typeClass"":""primitive"",""value"":""2022-01-14""}}"
