"year","n_full","mean_ff_full","n_balanced","mean_ff_balanced","difference"
"2000","3540","0.301712","2419","0.383478","0.081766"
"2001","3914","0.214492","2419","0.292842","0.078351"
"2002","3619","0.280056","2419","0.348231","0.068175"
"2003","4016","0.207255","2419","0.297399","0.090144"
"2004","3886","0.263597","2419","0.356455","0.092858"
"2005","3635","0.243949","2419","0.311756","0.067807"
"2006","3658","0.236841","2419","0.311331","0.07449"
"2007","3381","0.246426","2419","0.300968","0.054542"
"2008","3500","0.291019","2419","0.36099","0.069971"
"2009","3766","0.255999","2419","0.336394","0.080395"
"2010","3807","0.208236","2419","0.279895","0.071659"
"2011","3865","0.13912","2419","0.190896","0.051776"
"2012","3678","0.207536","2419","0.269071","0.061535"
"2013","3636","0.219896","2419","0.280667","0.060772"
"2014","3743","0.150188","2419","0.201962","0.051774"
"2015","3637","0.116419","2419","0.1537","0.037281"
"2016","3693","0.110605","2419","0.147562","0.036956"
"2017","3635","0.093252","2419","0.122753","0.029501"
"2018","3345","0.135252","2419","0.167059","0.031807"
"2019","3412","0.100638","2419","0.126791","0.026153"
"2020","3782","0.068284","2419","0.094888","0.026603"
"2021","3778","0.059418","2419","0.082912","0.023494"
