"year","ff_records","ff_pixels","ff_subdistricts","ws_records","ws_subdistricts"
"2000","3540","3540","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2001","3914","3914","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2002","3619","3619","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2003","4016","4016","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2004","3886","3886","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2005","3635","3635","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2006","3658","3658","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2007","3381","3381","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2008","3500","3500","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2009","3766","3766","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2010","3807","3807","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2011","3865","3865","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2012","3678","3678","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2013","3636","3636","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2014","3743","3743","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2015","3637","3637","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2016","3693","3693","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2017","3635","3635","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2018","3345","3345","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2019","3412","3412","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2020","3782","3782","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
"2021","3778","3778","A,B,C,D,E,F,G","8","A,all,B,C,D,E,F,G"
