"workbook","sheet","row","column","value"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","1","1","GROUNDWATER"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","1","3","NOTE: Groundwater quality sampling was conducted during 7 sampling events: (1) in piezometrs P2, P5, P6 and P7; (2 and 3) in all piezometers from P1 tp P7; (4,5,6,7)in piezometers P2, P5, P6 and P7."
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","2","1","Date"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","2","2","Days after sowing"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","2","3","Depth (cm) PIEZOMETER P6
"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","2","4","Salinity (dS/m)
"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","2","5","N-NO3 (mg/l)"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","2","6","N-NO2 (mg/l)"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","2","7","N-UREA (mg/l)"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","2","8","N-NH3 (mg/l)"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","2","9","N-TOT (mg/l)"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","2","10","P-PO4 (mg/l)"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","2","11","K (mg/l)"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","2","12","Arsenic (mg/L)
"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","2","13","Cadmium (mg/L)
"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","2","14","Pesticides content: MCPA (µg/L)  PIEZOMETER P6
"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","2","15","Pesticides content: Clomazone  (µg/L)  PIEZOMETER P6
"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","3","1","4/29/2019"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","3","2","-17"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","3","5","0.29"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","3","6","0.23"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","3","7","< LOQ"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","3","8","0.131"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","3","9","3.04"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","3","10","0.27"
"MEDWATERICE DMP_CS1_ITALY_AWD_2019.xlsx","Groundwater","3","11","< LOQ"
