station,start_date,end_date,observations_n,years_observed_n,years_observed,median_obs_per_year,median_gap_days,rice_season_obs_n,median_rice_season_obs_per_year,median_rice_season_months_per_year,years_with_all_apr_sep_months,years_with_at_least_4_rice_months,has_all_2015_2023_years,utm_e,utm_n,measuring_point_elev_masl,well_depth_m,screen_top_m,screen_bottom_m,gwb
PO0180480U0004,2015-02-19,2023-12-06,87,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,11.0,31.0,43,6.0,6.0,5,7,True,539643.0,5000554.0,58.81,20.0,8,14,GWB ISS MPTLS
PO0181140U0002,2015-01-29,2023-12-06,87,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,12.0,31.0,41,6.0,6.0,5,6,True,534746.0,4995245.0,55.383,24.0,12,18,GWB ISS BPPO
PO018047NR0001,2015-02-27,2023-12-28,94,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,11.0,30.0,48,6.0,5.0,4,6,True,499957.0,4986727.0,74.589,22.5,12,21,GWB ISS MPOP
PO0180880U0001,2015-01-27,2023-08-23,77,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,11.0,32.0,39,5.0,5.0,4,6,True,479549.0,4993807.0,92.936,53.0,30,48,GWB ISS MPP
PO018173NUP001,2015-07-14,2023-08-29,77,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,10.0,31.0,39,5.0,5.0,3,6,True,507665.885333,5013301.88233,92.8769999999999,15.0, - , - ,GWB ISS MPTLS
PO018062NRD002,2015-02-27,2023-04-27,76,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,10.0,32.0,38,5.0,5.0,4,5,True,489193.0,4993809.0,86.799,20.0,1,15,GWB ISS MPP
PO018162NUP001,2015-07-13,2023-08-30,76,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,10.0,31.0,39,5.0,5.0,3,6,True,512843.2754,4999704.7415,61.197,14.0, - , - ,GWB ISS BPPO
PO018176NUP001,2015-07-14,2023-08-29,76,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,10.0,31.0,39,5.0,5.0,3,6,True,518046.1505,5015899.1052,88.2519999999999,20.0, - , - ,GWB ISS MPTLS
PO018072NUP001,2015-07-14,2023-08-30,74,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,10.0,31.0,39,5.0,5.0,3,6,True,512563.9021,5011157.222,87.134,20.0, - , - ,GWB ISS MPTLS
PO0180690U0002,2015-01-28,2023-05-04,66,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,8.0,31.0,34,5.0,5.0,2,5,True,494013.0,5004960.0,92.741,57.0,28,51,GWB ISS MPP
PO0181150U0006,2015-01-27,2023-05-24,77,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,9.0,32.5,38,4.0,4.0,3,6,True,512380.0,4989928.0,67.287,19.5,10.5,14.5,GWB ISS MPOP
PO0181550U0001,2015-01-27,2023-05-24,77,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,8.0,32.0,39,4.0,4.0,4,6,True,505656.0,4980492.0,116.616,33.0,9,29,GWB ISS MPOP
PO0180470U0001,2015-02-20,2023-05-24,68,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,7.0,34.0,35,4.0,4.0,3,5,True,501288.0,4989873.0,71.908,81.0,42,77,GWB ISS BPPO
PO018147NUP001,2015-05-14,2023-08-23,67,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,7.0,34.0,35,4.0,4.0,3,5,True,492497.439,4996514.76967,86.584,60.0,7,50,GWB ISS MPP
PO0181770U0020,2015-01-28,2023-05-04,67,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,8.0,31.0,34,4.0,4.0,3,5,True,488853.0,5017022.0,103.06,46.0,30,42,GWB ISS MPP
PO018180NUP001,2015-05-27,2023-12-06,68,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,7.0,31.0,33,3.0,3.0,4,4,True,528164.265,5007156.563,73.0199999999999,73.0,56,68,GWB ISS MPTLS
PO018014NRP001,2015-06-03,2023-08-31,66,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,8.0,35.0,32,3.0,3.0,3,3,True,501192.230333,5013351.97267,96.1099999999999,47.0,35,41,GWB ISS MPTLS
PO0180810U0111,2015-07-13,2023-08-30,35,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,4.0,64.5,19,2.0,2.0,0,0,True,521130.0,5000547.0,74.97,20.0,10,20,GWB ISS MPTLS
PO0180350U0002,2015-05-15,2023-05-03,34,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,4.0,85.0,17,2.0,2.0,0,1,True,485404.0,5022621.0,117.58,46.5,30.5,40.5,GWB ISS MPP
PO018065NRG001,2015-05-20,2023-08-23,33,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,4.0,88.0,18,2.0,2.0,0,0,True,476409.0,4987902.0,86.66,10.0, - , - ,GWB ISS MPP
PO0181220U0001,2015-05-28,2023-05-24,33,9,2015_2016_2017_2018_2019_2020_2021_2022_2023,4.0,84.5,18,2.0,2.0,0,0,True,501728.0,4974258.0,151.09,24.0, - , - ,GWB ISS MPOP
PO018003NR0009,2016-01-15,2023-09-30,94,8,2016_2017_2018_2019_2020_2021_2022_2023,12.0,31.0,49,6.0,6.0,8,8,False,477798.0,5014771.0,113.49,19.0,1,15,GWB ISS MPP
PO0181100U0111,2016-03-29,2023-08-30,75,8,2016_2017_2018_2019_2020_2021_2022_2023,10.0,31.0,38,5.0,5.0,3,6,False,511138.0,5006846.0,83.4,17.0, - , - ,GWB ISS MPTLS
PO018043NUP001,2016-03-29,2023-08-29,71,8,2016_2017_2018_2019_2020_2021_2022_2023,10.0,31.0,35,5.0,5.0,1,6,False,518426.612333,5011543.40033,82.7429999999999,15.0, - , - ,GWB ISS MPTLS
PO018048NRP001,2016-02-25,2023-12-06,64,8,2016_2017_2018_2019_2020_2021_2022_2023,9.5,31.0,32,4.5,4.5,4,4,False,522279.911,5003718.75567,74.8709999999999,13.0,10.5,12.5,GWB ISS MPTLS
PO018146NRP001,2015-05-14,2021-05-20,57,7,2015_2016_2017_2018_2019_2020_2021,11.0,32.0,30,5.0,5.0,3,5,False,473582.7089,4995758.0701,99.039,50.0,39.5,43.5,GWB ISS MPP
PO0180490U0003,2015-01-22,2022-05-30,54,7,2015_2016_2017_2018_2019_2021_2022,10.0,30.0,26,5.0,5.0,2,4,False,520341.0,4986376.0,107.259,10.0,4.5,9.5,GWB ISS MPOP
PO0181180U0019,2015-01-29,2022-05-30,54,7,2015_2016_2017_2018_2019_2021_2022,10.0,30.0,26,5.0,5.0,3,4,False,524321.0,4993134.0,68.079,17.2,10.3,16.3,GWB ISS MPOP
PO018032NR0001,2015-02-27,2020-12-22,47,6,2015_2016_2017_2018_2019_2020,8.0,41.5,23,3.0,3.0,2,2,False,508567.0,4988324.0,75.728,17.0,15.2,16.4,GWB ISS MPOP
PO018039NR0001,2018-11-26,2023-08-24,31,6,2018_2019_2020_2021_2022_2023,4.5,47.5,15,2.0,2.0,0,2,False,476494.0,5010571.0,108.154,51.5,27,48,GWB ISS MPP
PO018068NRP001,2015-02-27,2019-07-23,49,5,2015_2016_2017_2018_2019,12.0,29.5,26,6.0,6.0,3,4,False,492857.0,5011583.0,100.934,53.5,46,49,GWB ISS MPP
PO0180500U0002,2015-01-27,2019-05-20,45,5,2015_2016_2017_2018_2019,11.0,31.0,26,6.0,6.0,4,4,False,480174.0,5017487.0,115.897,50.0,41,48.8,GWB ISS MPP
PO0180130U0005,2015-01-29,2019-05-21,50,5,2015_2016_2017_2018_2019,11.0,29.0,24,5.0,5.0,2,4,False,523764.0,5000838.0,74.964,60.0,25,47,GWB ISS MPTLS
PO018039NRP001,2016-02-23,2018-08-22,29,3,2016_2017_2018,10.0,30.0,16,6.0,6.0,2,3,False,474622.390667,5007946.94967,107.215,58.0,33.46,51.46,GWB ISS MPP
PO0180130U0006,2021-11-02,2022-05-30,2,2,2021_2022,1.0,209.0,1,0.5,0.5,0,0,False,523765.0,5000850.0,73.99,65.0,25,45,GWB ISS MPTLS
