station,year,annual_obs_n,rice_season_obs_n,rice_season_months_n,rice_season_months,rice_season_first_date,rice_season_last_date,rice_season_median_gap_days,has_apr_sep_all_6_months,has_at_least_4_rice_months
PO018003NR0009,2016,13,6,6,4_5_6_7_8_9,2016-04-15,2016-09-30,31.0,True,True
PO018003NR0009,2017,13,7,6,4_5_6_7_8_9,2017-04-30,2017-09-30,30.0,True,True
PO018003NR0009,2018,12,6,6,4_5_6_7_8_9,2018-04-30,2018-09-30,30.0,True,True
PO018003NR0009,2019,12,6,6,4_5_6_7_8_9,2019-04-29,2019-09-30,31.0,True,True
PO018003NR0009,2020,12,6,6,4_5_6_7_8_9,2020-04-30,2020-09-30,31.0,True,True
PO018003NR0009,2021,12,6,6,4_5_6_7_8_9,2021-04-30,2021-09-30,31.0,True,True
PO018003NR0009,2022,11,6,6,4_5_6_7_8_9,2022-04-28,2022-09-30,31.0,True,True
PO018003NR0009,2023,9,6,6,4_5_6_7_8_9,2023-04-30,2023-09-30,31.0,True,True
PO0180130U0005,2015,11,5,5,4_5_6_7_9,2015-04-21,2015-09-14,35.0,False,True
PO0180130U0005,2016,12,6,6,4_5_6_7_8_9,2016-04-26,2016-09-23,30.0,True,True
PO0180130U0005,2017,12,6,6,4_5_6_7_8_9,2017-04-21,2017-09-25,31.0,True,True
PO0180130U0005,2018,10,5,5,4_5_7_8_9,2018-04-23,2018-09-24,34.5,False,True
PO0180130U0005,2019,5,2,2,4_5,2019-04-19,2019-05-21,32.0,False,False
PO0180130U0006,2021,1,0,0,,,,,False,False
PO0180130U0006,2022,1,1,1,5,2022-05-30,2022-05-30,,False,False
PO018014NRP001,2015,3,2,2,6_7,2015-06-03,2015-07-24,51.0,False,False
PO018014NRP001,2016,11,6,6,4_5_6_7_8_9,2016-04-18,2016-09-19,33.0,True,True
PO018014NRP001,2017,12,6,6,4_5_6_7_8_9,2017-04-07,2017-09-05,28.0,True,True
PO018014NRP001,2018,9,3,3,5_7_8,2018-05-02,2018-08-10,50.0,False,False
PO018014NRP001,2019,12,6,6,4_5_6_7_8_9,2019-04-02,2019-09-03,30.0,True,True
PO018014NRP001,2020,8,3,3,6_7_8,2020-06-29,2020-08-28,30.0,False,False
