IdSensore,Tipologia,IdTipologia,UnitaMisura,DataMinimaRT,DataMinimaPubblicazione,DataMassimaRT,UTM Nord,UTM Est,Quota,idStazione,Nome,Provincia,Comune,_lon_wgs84,_lat_wgs84
1,Livello Idrometrico,1,cm,24/11/1987,23/03/2021,31/08/2026,5142077,604122,1125,1,Valdisotto Cepina,SO,Valdisotto,10.355083759645424,46.4242371209765
3,Livello Idrometrico,1,cm,24/11/1987,,31/08/2026,5133847,604242,950,3,Sondalo Le Prese,SO,Sondalo,10.354811516997517,46.35017157750913
6,Livello Idrometrico,1,cm,24/11/1987,,31/08/2026,5146642,605400,1250,6,Frodolfo ,SO,Bormio,10.372742774828891,46.465110425499475
9,Precipitazione,2,mm,24/11/1987,,31/08/2026,5133847,604242,950,3,Sondalo Le Prese,SO,Sondalo,10.354811516997517,46.35017157750913
11,Precipitazione,2,mm,24/11/1987,,31/08/2026,5146642,605400,1250,6,Frodolfo ,SO,Bormio,10.372742774828891,46.465110425499475
12,Temperatura,3,°C,24/11/1987,,31/08/2026,5133847,604242,950,3,Sondalo Le Prese,SO,Sondalo,10.354811516997517,46.35017157750913
13,Temperatura,3,°C,25/11/1987,,31/08/2026,5146642,605400,1250,6,Frodolfo ,SO,Bormio,10.372742774828891,46.465110425499475
15,Livello Idrometrico,1,cm,01/05/1988,,31/08/2026,5118488,566593,645,8,Spriana,SO,Spriana,9.863393832472694,46.21670843700786
16,Livello Idrometrico,1,cm,24/03/1989,,31/08/2026,5113305,566873,300,9,Sondrio Ponte Eifell,SO,Sondrio,9.866290464580677,46.17003910863182
19,Precipitazione,2,mm,02/05/1988,,31/08/2026,5145777,595373,1880,12,Arnoga,SO,Valdidentro,10.242005735112159,46.45882031955658
20,Precipitazione,2,mm,03/05/1988,,31/08/2026,5152051,601015,1930,13,Cancano ,SO,Valdidentro,10.316821804332276,46.51444736332192
