file,rows_n,columns_n,read_error
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2010.csv,259860,36,
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2011.csv,259860,36,
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2012.csv,259860,36,
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2013.csv,259860,36,
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2014.csv,259860,36,
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2015.csv,259860,36,
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2016.csv,259860,36,
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2017.csv,259860,36,
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2018.csv,259860,36,
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2019.csv,259860,36,
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2020.csv,259860,36,
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2021.csv,259860,36,
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2022.csv,259860,36,
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2023.csv,259860,36,
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2024.csv,259860,36,
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2025.csv,259860,36,
data\processed\post2021\ricefloodit_compatible_ff_2022_2025.csv,17324,14,
data\processed\publication_groundwater\ricefloodit_georef.csv,80926,11,
data\processed\publication_groundwater\well_ricefloodit_exposures.csv,518,26,
