file,columns,station_like,year_like,coordinate_like,flood_like,contains_groundwater_depth_column
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2010.csv,rice_cell_id|rice_x|rice_y|native_position|modis_row|modis_col|source_file|year|composite_start_doy|red_raw|nir_raw|swir2_raw|red|nir|swir2|valid_b01|valid_b02|valid_b07|valid_reflectance|pixel_doy|state_valid|qc_valid|cloud_state|cloud_shadow|land_water|aerosol|cirrus|internal_cloud|snow_ice|adjacent_cloud|modland|band1_quality|band2_quality|band7_quality|ndvi|ndfi,,year,,rice_cell_id|rice_x|rice_y|land_water,False
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2011.csv,rice_cell_id|rice_x|rice_y|native_position|modis_row|modis_col|source_file|year|composite_start_doy|red_raw|nir_raw|swir2_raw|red|nir|swir2|valid_b01|valid_b02|valid_b07|valid_reflectance|pixel_doy|state_valid|qc_valid|cloud_state|cloud_shadow|land_water|aerosol|cirrus|internal_cloud|snow_ice|adjacent_cloud|modland|band1_quality|band2_quality|band7_quality|ndvi|ndfi,,year,,rice_cell_id|rice_x|rice_y|land_water,False
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2012.csv,rice_cell_id|rice_x|rice_y|native_position|modis_row|modis_col|source_file|year|composite_start_doy|red_raw|nir_raw|swir2_raw|red|nir|swir2|valid_b01|valid_b02|valid_b07|valid_reflectance|pixel_doy|state_valid|qc_valid|cloud_state|cloud_shadow|land_water|aerosol|cirrus|internal_cloud|snow_ice|adjacent_cloud|modland|band1_quality|band2_quality|band7_quality|ndvi|ndfi,,year,,rice_cell_id|rice_x|rice_y|land_water,False
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2013.csv,rice_cell_id|rice_x|rice_y|native_position|modis_row|modis_col|source_file|year|composite_start_doy|red_raw|nir_raw|swir2_raw|red|nir|swir2|valid_b01|valid_b02|valid_b07|valid_reflectance|pixel_doy|state_valid|qc_valid|cloud_state|cloud_shadow|land_water|aerosol|cirrus|internal_cloud|snow_ice|adjacent_cloud|modland|band1_quality|band2_quality|band7_quality|ndvi|ndfi,,year,,rice_cell_id|rice_x|rice_y|land_water,False
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2014.csv,rice_cell_id|rice_x|rice_y|native_position|modis_row|modis_col|source_file|year|composite_start_doy|red_raw|nir_raw|swir2_raw|red|nir|swir2|valid_b01|valid_b02|valid_b07|valid_reflectance|pixel_doy|state_valid|qc_valid|cloud_state|cloud_shadow|land_water|aerosol|cirrus|internal_cloud|snow_ice|adjacent_cloud|modland|band1_quality|band2_quality|band7_quality|ndvi|ndfi,,year,,rice_cell_id|rice_x|rice_y|land_water,False
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2015.csv,rice_cell_id|rice_x|rice_y|native_position|modis_row|modis_col|source_file|year|composite_start_doy|red_raw|nir_raw|swir2_raw|red|nir|swir2|valid_b01|valid_b02|valid_b07|valid_reflectance|pixel_doy|state_valid|qc_valid|cloud_state|cloud_shadow|land_water|aerosol|cirrus|internal_cloud|snow_ice|adjacent_cloud|modland|band1_quality|band2_quality|band7_quality|ndvi|ndfi,,year,,rice_cell_id|rice_x|rice_y|land_water,False
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2016.csv,rice_cell_id|rice_x|rice_y|native_position|modis_row|modis_col|source_file|year|composite_start_doy|red_raw|nir_raw|swir2_raw|red|nir|swir2|valid_b01|valid_b02|valid_b07|valid_reflectance|pixel_doy|state_valid|qc_valid|cloud_state|cloud_shadow|land_water|aerosol|cirrus|internal_cloud|snow_ice|adjacent_cloud|modland|band1_quality|band2_quality|band7_quality|ndvi|ndfi,,year,,rice_cell_id|rice_x|rice_y|land_water,False
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2017.csv,rice_cell_id|rice_x|rice_y|native_position|modis_row|modis_col|source_file|year|composite_start_doy|red_raw|nir_raw|swir2_raw|red|nir|swir2|valid_b01|valid_b02|valid_b07|valid_reflectance|pixel_doy|state_valid|qc_valid|cloud_state|cloud_shadow|land_water|aerosol|cirrus|internal_cloud|snow_ice|adjacent_cloud|modland|band1_quality|band2_quality|band7_quality|ndvi|ndfi,,year,,rice_cell_id|rice_x|rice_y|land_water,False
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2018.csv,rice_cell_id|rice_x|rice_y|native_position|modis_row|modis_col|source_file|year|composite_start_doy|red_raw|nir_raw|swir2_raw|red|nir|swir2|valid_b01|valid_b02|valid_b07|valid_reflectance|pixel_doy|state_valid|qc_valid|cloud_state|cloud_shadow|land_water|aerosol|cirrus|internal_cloud|snow_ice|adjacent_cloud|modland|band1_quality|band2_quality|band7_quality|ndvi|ndfi,,year,,rice_cell_id|rice_x|rice_y|land_water,False
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2019.csv,rice_cell_id|rice_x|rice_y|native_position|modis_row|modis_col|source_file|year|composite_start_doy|red_raw|nir_raw|swir2_raw|red|nir|swir2|valid_b01|valid_b02|valid_b07|valid_reflectance|pixel_doy|state_valid|qc_valid|cloud_state|cloud_shadow|land_water|aerosol|cirrus|internal_cloud|snow_ice|adjacent_cloud|modland|band1_quality|band2_quality|band7_quality|ndvi|ndfi,,year,,rice_cell_id|rice_x|rice_y|land_water,False
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2020.csv,rice_cell_id|rice_x|rice_y|native_position|modis_row|modis_col|source_file|year|composite_start_doy|red_raw|nir_raw|swir2_raw|red|nir|swir2|valid_b01|valid_b02|valid_b07|valid_reflectance|pixel_doy|state_valid|qc_valid|cloud_state|cloud_shadow|land_water|aerosol|cirrus|internal_cloud|snow_ice|adjacent_cloud|modland|band1_quality|band2_quality|band7_quality|ndvi|ndfi,,year,,rice_cell_id|rice_x|rice_y|land_water,False
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2021.csv,rice_cell_id|rice_x|rice_y|native_position|modis_row|modis_col|source_file|year|composite_start_doy|red_raw|nir_raw|swir2_raw|red|nir|swir2|valid_b01|valid_b02|valid_b07|valid_reflectance|pixel_doy|state_valid|qc_valid|cloud_state|cloud_shadow|land_water|aerosol|cirrus|internal_cloud|snow_ice|adjacent_cloud|modland|band1_quality|band2_quality|band7_quality|ndvi|ndfi,,year,,rice_cell_id|rice_x|rice_y|land_water,False
data\processed\post2021\mod09a1_ricefloodit_native_pixels_2022.csv,rice_cell_id|rice_x|rice_y|native_position|modis_row|modis_col|source_file|year|composite_start_doy|red_raw|nir_raw|swir2_raw|red|nir|swir2|valid_b01|valid_b02|valid_b07|valid_reflectance|pixel_doy|state_valid|qc_valid|cloud_state|cloud_shadow|land_water|aerosol|cirrus|internal_cloud|snow_ice|adjacent_cloud|modland|band1_quality|band2_quality|band7_quality|ndvi|ndfi,,year,,rice_cell_id|rice_x|rice_y|land_water,False
