year,scenes_n,acquisition_dates_n,platforms_n,relative_orbits_n,year_status
2014,34,28,1,7,PARTIAL_START_YEAR
2015,150,116,1,6,COMPLETE_CANDIDATE_YEAR
2016,236,133,2,5,COMPLETE_CANDIDATE_YEAR
2017,423,199,2,5,COMPLETE_CANDIDATE_YEAR
2018,615,212,2,5,COMPLETE_CANDIDATE_YEAR
2019,875,205,2,5,COMPLETE_CANDIDATE_YEAR
2020,869,209,2,5,COMPLETE_CANDIDATE_YEAR
2021,510,210,2,5,COMPLETE_CANDIDATE_YEAR
2022,218,119,1,4,COMPLETE_CANDIDATE_YEAR
2023,214,122,1,4,COMPLETE_CANDIDATE_YEAR
2024,223,122,1,4,COMPLETE_CANDIDATE_YEAR
2025,348,183,2,5,COMPLETE_CANDIDATE_YEAR
2026,279,143,2,5,PARTIAL_CURRENT_YEAR
