year,year_status,rice_season_scenes_n,rice_season_acquisition_dates_n,rice_season_months_present_n,rice_season_months,rice_season_first_date,rice_season_last_date,rice_season_median_gap_days,rice_season_max_gap_days,all_apr_sep_months_present
2015,COMPLETE_CANDIDATE_YEAR,70,53,6,4_5_6_7_8_9,2015-04-01,2015-09-30,4.0,12,True
2016,COMPLETE_CANDIDATE_YEAR,98,57,6,4_5_6_7_8_9,2016-04-02,2016-09-30,2.5,19,True
2017,COMPLETE_CANDIDATE_YEAR,213,100,6,4_5_6_7_8_9,2017-04-03,2017-09-30,1.0,5,True
2018,COMPLETE_CANDIDATE_YEAR,279,104,6,4_5_6_7_8_9,2018-04-03,2018-09-30,1.0,5,True
2019,COMPLETE_CANDIDATE_YEAR,449,102,6,4_5_6_7_8_9,2019-04-01,2019-09-28,1.0,5,True
2020,COMPLETE_CANDIDATE_YEAR,432,104,6,4_5_6_7_8_9,2020-04-01,2020-09-28,1.0,5,True
2021,COMPLETE_CANDIDATE_YEAR,226,105,6,4_5_6_7_8_9,2021-04-01,2021-09-29,1.0,5,True
2022,COMPLETE_CANDIDATE_YEAR,104,60,6,4_5_6_7_8_9,2022-04-02,2022-09-30,4.0,7,True
2023,COMPLETE_CANDIDATE_YEAR,110,62,6,4_5_6_7_8_9,2023-04-02,2023-09-30,1.0,6,True
2024,COMPLETE_CANDIDATE_YEAR,115,61,6,4_5_6_7_8_9,2024-04-03,2024-09-30,2.5,6,True
2025,COMPLETE_CANDIDATE_YEAR,195,99,6,4_5_6_7_8_9,2025-04-03,2025-09-30,1.0,6,True
2026,PARTIAL_CURRENT_YEAR,182,90,6,4_5_6_7_8_9,2026-04-04,2026-09-02,1.0,4,True
