orbit_state,relative_orbit,year,scenes_n,dates_n
ascending,15,2015,14,14
ascending,15,2016,24,12
ascending,15,2017,60,30
ascending,15,2018,56,28
ascending,15,2019,82,28
ascending,15,2020,84,29
ascending,15,2021,49,31
ascending,15,2022,16,16
ascending,15,2023,15,15
ascending,15,2024,16,15
ascending,15,2025,30,27
ascending,15,2026,34,29
ascending,88,2015,10,10
ascending,88,2016,27,15
ascending,88,2017,56,28
ascending,88,2018,76,29
ascending,88,2019,120,30
ascending,88,2020,96,28
ascending,88,2021,60,30
ascending,88,2022,30,15
ascending,88,2023,33,16
ascending,88,2024,33,15
ascending,88,2025,59,30
ascending,88,2026,58,29
descending,66,2015,23,12
descending,66,2016,25,15
descending,66,2017,47,30
descending,66,2018,64,30
descending,66,2019,109,29
descending,66,2020,102,30
descending,66,2021,44,29
descending,66,2022,30,15
descending,66,2023,32,16
descending,66,2024,32,15
descending,66,2025,45,29
descending,66,2026,37,29
descending,139,2015,2,2
descending,139,2017,10,10
descending,139,2018,21,16
descending,139,2019,30,15
descending,139,2020,30,15
descending,139,2021,15,14
descending,139,2025,13,13
descending,139,2026,17,17
descending,168,2015,21,15
descending,168,2016,19,14
descending,168,2017,40,30
descending,168,2018,62,30
descending,168,2019,108,29
descending,168,2020,120,30
descending,168,2021,58,31
descending,168,2022,28,14
descending,168,2023,30,15
descending,168,2024,34,16
descending,168,2025,46,30
descending,168,2026,36,29
