orbit_state,relative_orbit,date,year,scenes_on_date_n,valid_scene_bboxes_n,invalid_scene_bboxes_n,study_bbox_coverage_fraction,study_bbox_coverage_pct,full_coverage_ge_99_5pct,high_coverage_ge_95pct
ascending,15,2015-04-04,2015,1,1,0,1.0,100.0,True,True
ascending,15,2015-04-16,2015,1,1,0,1.0,100.0,True,True
ascending,15,2015-04-28,2015,1,1,0,0.7904074593869718,79.04074593869717,False,False
ascending,15,2015-05-22,2015,1,1,0,1.0,100.0,True,True
ascending,15,2015-06-03,2015,1,1,0,1.0,100.0,True,True
ascending,15,2015-06-15,2015,1,1,0,1.0,100.0,True,True
ascending,15,2015-06-27,2015,1,1,0,1.0,100.0,True,True
ascending,15,2015-07-09,2015,1,1,0,1.0,100.0,True,True
ascending,15,2015-07-21,2015,1,1,0,1.0,100.0,True,True
ascending,15,2015-08-02,2015,1,1,0,0.7899248506785671,78.9924850678567,False,False
ascending,15,2015-08-14,2015,1,1,0,1.0,100.0,True,True
ascending,15,2015-08-26,2015,1,1,0,1.0,100.0,True,True
ascending,15,2015-09-07,2015,1,1,0,1.0,100.0,True,True
ascending,15,2015-09-19,2015,1,1,0,1.0,100.0,True,True
ascending,15,2016-04-10,2016,2,2,0,1.0,100.0,True,True
ascending,15,2016-04-22,2016,2,2,0,1.0,100.0,True,True
ascending,15,2016-05-04,2016,2,2,0,1.0,100.0,True,True
ascending,15,2016-05-16,2016,2,2,0,1.0,100.0,True,True
ascending,15,2016-05-28,2016,2,2,0,1.0,100.0,True,True
ascending,15,2016-06-09,2016,2,2,0,1.0,100.0,True,True
ascending,15,2016-07-15,2016,2,2,0,1.0,100.0,True,True
ascending,15,2016-07-27,2016,2,2,0,1.0,100.0,True,True
ascending,15,2016-08-08,2016,2,2,0,1.0,100.0,True,True
ascending,15,2016-09-01,2016,2,2,0,1.0,100.0,True,True
ascending,15,2016-09-13,2016,2,2,0,1.0,100.0,True,True
ascending,15,2016-09-25,2016,2,2,0,1.0,100.0,True,True
ascending,15,2017-04-05,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-04-11,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-04-17,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-04-23,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-04-29,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-05-05,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-05-11,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-05-17,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-05-23,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-05-29,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-06-04,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-06-10,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-06-16,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-06-22,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-06-28,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-07-04,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-07-10,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-07-16,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-07-22,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-07-28,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-08-03,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-08-09,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-08-15,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-08-21,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-08-27,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-09-02,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-09-08,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-09-14,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-09-20,2017,2,2,0,1.0,100.0,True,True
ascending,15,2017-09-26,2017,2,2,0,1.0,100.0,True,True
ascending,15,2018-04-06,2018,2,2,0,1.0,100.0,True,True
ascending,15,2018-04-12,2018,1,1,0,1.0,100.0,True,True
ascending,15,2018-04-24,2018,1,1,0,1.0,100.0,True,True
ascending,15,2018-04-30,2018,2,2,0,1.0,100.0,True,True
ascending,15,2018-05-06,2018,1,1,0,1.0,100.0,True,True
ascending,15,2018-05-12,2018,2,2,0,1.0,100.0,True,True
ascending,15,2018-05-18,2018,1,1,0,1.0,100.0,True,True
ascending,15,2018-05-24,2018,2,2,0,1.0,100.0,True,True
ascending,15,2018-05-30,2018,1,1,0,1.0,100.0,True,True
ascending,15,2018-06-05,2018,2,2,0,1.0,100.0,True,True
ascending,15,2018-06-11,2018,1,1,0,1.0,100.0,True,True
ascending,15,2018-06-17,2018,2,2,0,1.0,100.0,True,True
ascending,15,2018-06-23,2018,1,1,0,1.0,100.0,True,True
ascending,15,2018-07-05,2018,1,1,0,1.0,100.0,True,True
ascending,15,2018-07-11,2018,2,2,0,1.0,100.0,True,True
ascending,15,2018-07-17,2018,1,1,0,1.0,100.0,True,True
ascending,15,2018-07-23,2018,2,2,0,1.0,100.0,True,True
ascending,15,2018-07-29,2018,1,1,0,1.0,100.0,True,True
ascending,15,2018-08-04,2018,4,4,0,1.0,100.0,True,True
ascending,15,2018-08-10,2018,2,2,0,1.0,100.0,True,True
ascending,15,2018-08-16,2018,4,4,0,1.0,100.0,True,True
ascending,15,2018-08-22,2018,2,2,0,1.0,100.0,True,True
ascending,15,2018-08-28,2018,4,4,0,1.0,100.0,True,True
ascending,15,2018-09-03,2018,2,2,0,1.0,100.0,True,True
ascending,15,2018-09-09,2018,4,4,0,1.0,100.0,True,True
ascending,15,2018-09-15,2018,2,2,0,1.0,100.0,True,True
ascending,15,2018-09-21,2018,4,4,0,1.0,100.0,True,True
ascending,15,2018-09-27,2018,2,2,0,1.0,100.0,True,True
ascending,15,2019-04-01,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-04-07,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-04-13,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-04-19,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-05-01,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-05-07,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-05-13,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-05-19,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-05-25,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-05-31,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-06-06,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-06-12,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-06-18,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-06-30,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-07-06,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-07-12,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-07-18,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-07-24,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-07-30,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-08-05,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-08-11,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-08-17,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-08-29,2019,2,2,0,1.0,100.0,True,True
ascending,15,2019-09-04,2019,4,4,0,1.0,100.0,True,True
ascending,15,2019-09-10,2019,2,2,0,1.0,100.0,True,True
