orbit_state,relative_orbit,year,acquisition_dates_n,median_scenes_per_date,max_scenes_per_date,median_coverage_fraction,min_coverage_fraction,p10_coverage_fraction,full_coverage_dates_n,high_coverage_dates_n,full_coverage_share,high_coverage_share
ascending,15,2015,14,1.0,1,1.0,0.7899248506785671,0.8532852215708803,12,12,0.8571428571428571,0.8571428571428571
ascending,15,2016,12,2.0,2,1.0,1.0,1.0,12,12,1.0,1.0
ascending,15,2017,30,2.0,2,1.0,1.0,1.0,30,30,1.0,1.0
ascending,15,2018,28,2.0,4,1.0,1.0,1.0,28,28,1.0,1.0
ascending,15,2019,28,2.0,4,1.0,1.0,1.0,28,28,1.0,1.0
ascending,15,2020,29,2.0,4,1.0,1.0,1.0,29,29,1.0,1.0
ascending,15,2021,31,2.0,4,1.0,1.0,1.0,31,31,1.0,1.0
ascending,15,2022,16,1.0,1,1.0,1.0,1.0,16,16,1.0,1.0
ascending,15,2023,15,1.0,1,1.0,1.0,1.0,15,15,1.0,1.0
ascending,15,2024,15,1.0,2,1.0,1.0,1.0,15,15,1.0,1.0
ascending,15,2025,27,1.0,3,1.0,1.0,1.0,27,27,1.0,1.0
ascending,88,2015,10,1.0,1,0.819625846545187,0.815094822073384,0.8153304388837078,0,0,0.0,0.0
ascending,88,2016,15,2.0,2,0.8711328251673701,0.8473859997945526,0.8521117796028168,0,0,0.0,0.0
ascending,88,2017,28,2.0,2,0.8689530596187119,0.8436776906364255,0.8442006919776422,0,0,0.0,0.0
ascending,88,2018,29,2.0,4,0.8674264005685333,0.4010579834213183,0.8426237263920043,0,0,0.0,0.0
ascending,88,2019,30,4.0,4,0.8557056940704477,0.8433874709258768,0.8435830496568484,0,0,0.0,0.0
ascending,88,2020,28,4.0,4,0.8669983279852127,0.8435762809930365,0.8442922948380341,0,0,0.0,0.0
ascending,88,2021,30,2.0,2,0.8882510114469454,0.868769718021474,0.869130249158206,0,0,0.0,0.0
ascending,88,2022,15,2.0,2,0.888776373253749,0.8876525353146163,0.8882056098093203,0,0,0.0,0.0
ascending,88,2023,16,2.0,3,0.8887757836220909,0.8731988944951335,0.8878621493688463,0,0,0.0,0.0
ascending,88,2024,15,2.0,4,0.8902368908692936,0.24538729002873758,0.888597007303547,0,0,0.0,0.0
ascending,88,2025,30,2.0,2,0.8771417224095615,0.018556135118049065,0.8598011962816324,0,0,0.0,0.0
descending,66,2015,12,2.0,2,1.0,0.799781807460857,1.0,11,11,0.9166666666666666,0.9166666666666666
descending,66,2016,15,2.0,2,1.0,1.0,1.0,15,15,1.0,1.0
descending,66,2017,30,2.0,2,1.0,1.0,1.0,30,30,1.0,1.0
descending,66,2018,30,2.0,4,1.0,1.0,1.0,30,30,1.0,1.0
descending,66,2019,29,4.0,4,1.0,1.0,1.0,29,29,1.0,1.0
descending,66,2020,30,3.5,4,1.0,1.0,1.0,30,30,1.0,1.0
descending,66,2021,29,2.0,2,1.0,1.0,1.0,29,29,1.0,1.0
descending,66,2022,15,2.0,2,1.0,1.0,1.0,15,15,1.0,1.0
descending,66,2023,16,2.0,2,1.0,1.0,1.0,16,16,1.0,1.0
descending,66,2024,15,2.0,4,1.0,1.0,1.0,15,15,1.0,1.0
descending,66,2025,29,2.0,2,1.0,0.8216016872252929,1.0,28,28,0.9655172413793104,0.9655172413793104
descending,168,2015,15,1.0,2,0.6272598192546659,0.5808864686582182,0.5810058101056893,0,0,0.0,0.0
descending,168,2016,14,1.0,2,0.743404873510817,0.6594755241236786,0.662905778268362,0,0,0.0,0.0
descending,168,2017,30,1.0,2,0.744093268470909,0.6803638152210978,0.6886307458746105,0,0,0.0,0.0
descending,168,2018,30,2.0,3,0.7449404951945049,0.6802612193126978,0.6807136436834722,0,0,0.0,0.0
descending,168,2019,29,4.0,4,0.7869616984223612,0.6420077321078533,0.6810576937556044,0,0,0.0,0.0
descending,168,2020,30,4.0,4,0.789566706134545,0.6566811530154033,0.6941664315604522,0,0,0.0,0.0
descending,168,2021,31,2.0,3,0.7205135305914045,0.7102752395727298,0.7107829124298088,0,0,0.0,0.0
descending,168,2022,14,2.0,2,0.7467010641709384,0.7453368817786701,0.7455466250844572,0,0,0.0,0.0
descending,168,2023,15,2.0,2,0.7466960838978738,0.7451337685100868,0.74611204083706,0,0,0.0,0.0
descending,168,2024,16,2.0,4,0.7466842508523306,0.7444960712040702,0.7452381875208736,0,0,0.0,0.0
descending,168,2025,30,2.0,2,0.7349751004838969,0.6554949208041206,0.719149608759766,0,0,0.0,0.0
