orbit_state,relative_orbit,year,acquisition_dates_n,median_scenes_per_date,max_scenes_per_date,median_rice_support_coverage_fraction,min_rice_support_coverage_fraction,p10_rice_support_coverage_fraction,full_rice_support_dates_n,rice_support_ge_99pct_dates_n,full_rice_support_share,rice_support_ge_99pct_share
ascending,15,2015,14,1.0,1,1.0,0.9572846917571,0.9700992842299699,12,12,0.8571428571428571,0.8571428571428571
ascending,15,2016,12,2.0,2,1.0,1.0,1.0,12,12,1.0,1.0
ascending,15,2017,30,2.0,2,1.0,1.0,1.0,30,30,1.0,1.0
ascending,15,2018,28,2.0,4,1.0,1.0,1.0,28,28,1.0,1.0
ascending,15,2019,28,2.0,4,1.0,1.0,1.0,28,28,1.0,1.0
ascending,15,2020,29,2.0,4,1.0,1.0,1.0,29,29,1.0,1.0
ascending,15,2021,31,2.0,4,1.0,1.0,1.0,31,31,1.0,1.0
ascending,15,2022,16,1.0,1,1.0,1.0,1.0,16,16,1.0,1.0
ascending,15,2023,15,1.0,1,1.0,1.0,1.0,15,15,1.0,1.0
ascending,15,2024,15,1.0,2,1.0,1.0,1.0,15,15,1.0,1.0
ascending,15,2025,27,1.0,3,1.0,1.0,1.0,27,27,1.0,1.0
ascending,88,2015,10,1.0,1,0.9518586931424613,0.9482798429923806,0.9484876471946433,0,0,0.0,0.0
ascending,88,2016,15,2.0,2,0.985453705841607,0.9729854537058416,0.9753867467097668,0,3,0.0,0.2
ascending,88,2017,28,2.0,2,0.98718540752713,0.9842992380512584,0.9842992380512584,0,10,0.0,0.35714285714285715
ascending,88,2018,29,2.0,4,0.9842992380512584,0.4576310320942046,0.9836065573770492,0,4,0.0,0.13793103448275862
ascending,88,2019,30,4.0,4,0.9864927268529208,0.98291387670284,0.9835603786654352,0,4,0.0,0.13333333333333333
ascending,88,2020,28,4.0,4,0.9836065573770492,0.971830985915493,0.9731470791964905,0,2,0.0,0.07142857142857142
ascending,88,2021,30,2.0,2,0.9898406834449319,0.9896097898868621,0.9896097898868621,0,14,0.0,0.4666666666666667
ascending,88,2022,15,2.0,2,0.9896097898868621,0.9893788963287924,0.9894712537520203,0,1,0.0,0.06666666666666667
ascending,88,2023,16,2.0,3,0.9896097898868621,0.9856845993996768,0.9893788963287924,0,0,0.0,0.0
ascending,88,2024,15,2.0,4,0.9900715770030016,0.1648580004617871,0.9895636111752482,0,9,0.0,0.6
ascending,88,2025,30,2.0,2,0.9884553220965135,0.0,0.9776033248672362,0,7,0.0,0.23333333333333334
descending,66,2015,12,2.0,2,1.0,0.9651350727314708,1.0,11,11,0.9166666666666666,0.9166666666666666
descending,66,2016,15,2.0,2,1.0,1.0,1.0,15,15,1.0,1.0
descending,66,2017,30,2.0,2,1.0,1.0,1.0,30,30,1.0,1.0
descending,66,2018,30,2.0,4,1.0,1.0,1.0,30,30,1.0,1.0
descending,66,2019,29,4.0,4,1.0,1.0,1.0,29,29,1.0,1.0
descending,66,2020,30,3.5,4,1.0,1.0,1.0,30,30,1.0,1.0
descending,66,2021,29,2.0,2,1.0,1.0,1.0,29,29,1.0,1.0
descending,66,2022,15,2.0,2,1.0,1.0,1.0,15,15,1.0,1.0
descending,66,2023,16,2.0,2,1.0,1.0,1.0,16,16,1.0,1.0
descending,66,2024,15,2.0,4,1.0,1.0,1.0,15,15,1.0,1.0
descending,66,2025,29,2.0,2,1.0,0.9903024705610713,1.0,28,29,0.9655172413793104,1.0
descending,168,2015,15,1.0,2,0.5823135534518586,0.5054259986146387,0.5056568921727084,0,0,0.0,0.0
descending,168,2016,14,1.0,2,0.7719926114061417,0.6024012930039252,0.6252597552528284,0,0,0.0,0.0
descending,168,2017,30,1.0,2,0.7700300161625491,0.6839067190025399,0.6992149619025629,0,0,0.0,0.0
descending,168,2018,30,2.0,3,0.7704918032786885,0.6839067190025399,0.684599399676749,0,0,0.0,0.0
descending,168,2019,29,4.0,4,0.8152851535442162,0.5511429231124452,0.6839067190025399,0,0,0.0,0.0
descending,168,2020,30,4.0,4,0.828215192796121,0.5933964442392057,0.6728700069268068,0,0,0.0,0.0
descending,168,2021,31,2.0,3,0.7340106211036712,0.6804433156314939,0.6813668898637728,0,0,0.0,0.0
descending,168,2022,14,2.0,2,0.7732625259755253,0.770953590394828,0.7713230200877396,0,0,0.0,0.0
descending,168,2023,15,2.0,2,0.7732625259755253,0.7704918032786885,0.7722927730316324,0,0,0.0,0.0
descending,168,2024,16,2.0,4,0.7733779727545601,0.7695682290464096,0.7710690371738629,0,0,0.0,0.0
descending,168,2025,30,2.0,2,0.7614869545139691,0.636804433156315,0.7440314015238975,0,0,0.0,0.0
