orbit_state,relative_orbit,date,year,scenes_on_date_n,valid_scene_bboxes_n,rice_support_points_n,rice_support_points_covered_n,rice_support_coverage_fraction,rice_support_coverage_pct,all_rice_support_covered,rice_support_ge_99pct_covered,is_primary_track,eligibility_rule
ascending,15,2015-04-04,2015,1,1,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2015-04-16,2015,1,1,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2015-05-22,2015,1,1,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2015-06-03,2015,1,1,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2015-06-15,2015,1,1,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2015-06-27,2015,1,1,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2015-07-09,2015,1,1,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2015-07-21,2015,1,1,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2015-08-14,2015,1,1,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2015-08-26,2015,1,1,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
ascending,15,2015-09-07,2015,1,1,4331,4331,1.0,100.0,True,True,True,primary track + complete year + Apr-Sep IW VV|VH + actual rice-support coverage >=0.99
