scene_id,asset_key,title,media_type,roles,href,is_data_role,looks_like_tiff,polarization_asset,asset_rank,is_selected_asset
S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,vh,"VH: Vertical transmit, horizontal receive",image/tiff; application=geotiff; profile=cloud-optimized,data,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG.SAFE/measurement/s1a-iw-grd-vh-20150514t053449-20150514t053518-005913-0079e8-002-cog.tiff,True,True,VH,1,True
S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,schema-calibration-vh,VH calibration Schema,application/xml,metadata,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vh-20150514t053449-20150514t053518-005913-0079e8-002-cog.xml,False,False,VH,2,False
S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,schema-noise-vh,VH noise Schema,application/xml,metadata,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG.SAFE/annotation/calibration/noise-s1a-iw-grd-vh-20150514t053449-20150514t053518-005913-0079e8-002-cog.xml,False,False,VH,3,False
S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,schema-product-vh,VH product Schema,application/xml,metadata,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG.SAFE/annotation/s1a-iw-grd-vh-20150514t053449-20150514t053518-005913-0079e8-002-cog.xml,False,False,VH,4,False
S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,vv,"VV: Vertical transmit, vertical receive",image/tiff; application=geotiff; profile=cloud-optimized,data,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG.SAFE/measurement/s1a-iw-grd-vv-20150514t053449-20150514t053518-005913-0079e8-001-cog.tiff,True,True,VV,1,True
S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,schema-calibration-vv,VV calibration Schema,application/xml,metadata,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vv-20150514t053449-20150514t053518-005913-0079e8-001-cog.xml,False,False,VV,2,False
S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,schema-noise-vv,VV noise Schema,application/xml,metadata,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG.SAFE/annotation/calibration/noise-s1a-iw-grd-vv-20150514t053449-20150514t053518-005913-0079e8-001-cog.xml,False,False,VV,3,False
S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,schema-product-vv,VV product Schema,application/xml,metadata,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG.SAFE/annotation/s1a-iw-grd-vv-20150514t053449-20150514t053518-005913-0079e8-001-cog.xml,False,False,VV,4,False
S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG,vh,"VH: Vertical transmit, horizontal receive",image/tiff; application=geotiff; profile=cloud-optimized,data,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG.SAFE/measurement/s1a-iw-grd-vh-20150514t053518-20150514t053543-005913-0079e8-002-cog.tiff,True,True,VH,1,True
S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG,schema-calibration-vh,VH calibration Schema,application/xml,metadata,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vh-20150514t053518-20150514t053543-005913-0079e8-002-cog.xml,False,False,VH,2,False
S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG,schema-noise-vh,VH noise Schema,application/xml,metadata,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG.SAFE/annotation/calibration/noise-s1a-iw-grd-vh-20150514t053518-20150514t053543-005913-0079e8-002-cog.xml,False,False,VH,3,False
S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG,schema-product-vh,VH product Schema,application/xml,metadata,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG.SAFE/annotation/s1a-iw-grd-vh-20150514t053518-20150514t053543-005913-0079e8-002-cog.xml,False,False,VH,4,False
S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG,vv,"VV: Vertical transmit, vertical receive",image/tiff; application=geotiff; profile=cloud-optimized,data,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG.SAFE/measurement/s1a-iw-grd-vv-20150514t053518-20150514t053543-005913-0079e8-001-cog.tiff,True,True,VV,1,True
S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG,schema-calibration-vv,VV calibration Schema,application/xml,metadata,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vv-20150514t053518-20150514t053543-005913-0079e8-001-cog.xml,False,False,VV,2,False
