_dup_key,scene_ids_n,scene_ids,platform,datetime,end_datetime,orbit_state,relative_orbit,bbox,is_duplicate_group
"S1A|2015-05-14 05:34:49.450442+00:00|2015-05-14 05:35:18.352281+00:00|descending|66.0|(6.638903, 45.074821, 10.337654, 47.211933)",1,S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,S1A,2015-05-14 05:34:49.450442+00:00,2015-05-14 05:35:18.352281+00:00,descending,66.0,"[6.638903, 45.074821, 10.337654, 47.211933]",False
"S1A|2015-05-14 05:35:18.353775+00:00|2015-05-14 05:35:43.352342+00:00|descending|66.0|(6.310565, 43.575729, 9.890305, 45.475071)",1,S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG,S1A,2015-05-14 05:35:18.353775+00:00,2015-05-14 05:35:43.352342+00:00,descending,66.0,"[6.310565, 43.575729, 9.890305, 45.475071]",False
"S1A|2015-05-22 17:14:25.193808+00:00|2015-05-22 17:14:50.192030+00:00|ascending|15.0|(7.778301, 44.188496, 11.439551, 46.093578)",1,S1A_IW_GRDH_1SDV_20150522T171425_20150522T171450_006037_007CBA_4DE2_COG,S1A,2015-05-22 17:14:25.193808+00:00,2015-05-22 17:14:50.192030+00:00,ascending,15.0,"[7.778301, 44.188496, 11.439551, 46.093578]",False
"S1A|2015-07-09 17:14:26.849183+00:00|2015-07-09 17:14:51.847249+00:00|ascending|15.0|(7.778789, 44.188457, 11.354259, 46.084194)",1,S1A_IW_GRDH_1SDV_20150709T171426_20150709T171451_006737_009069_C5EF_COG,S1A,2015-07-09 17:14:26.849183+00:00,2015-07-09 17:14:51.847249+00:00,ascending,15.0,"[7.778789, 44.188457, 11.354259, 46.084194]",False
"S1A|2015-07-13 05:34:52.544109+00:00|2015-07-13 05:35:21.453953+00:00|descending|66.0|(6.643077, 45.078487, 10.304767, 47.212044)",1,S1A_IW_GRDH_1SDV_20150713T053452_20150713T053521_006788_0091FF_470D_COG,S1A,2015-07-13 05:34:52.544109+00:00,2015-07-13 05:35:21.453953+00:00,descending,66.0,"[6.643077, 45.078487, 10.304767, 47.212044]",False
"S1A|2015-07-13 05:35:21.455448+00:00|2015-07-13 05:35:46.453907+00:00|descending|66.0|(6.314782, 43.579346, 9.861492, 45.474312)",1,S1A_IW_GRDH_1SDV_20150713T053521_20150713T053546_006788_0091FF_45DD_COG,S1A,2015-07-13 05:35:21.455448+00:00,2015-07-13 05:35:46.453907+00:00,descending,66.0,"[6.314782, 43.579346, 9.861492, 45.474312]",False
"S1A|2015-08-26 17:14:29.880612+00:00|2015-08-26 17:14:54.880067+00:00|ascending|15.0|(7.778686, 44.188583, 11.353879, 46.084316)",1,S1A_IW_GRDH_1SDV_20150826T171429_20150826T171454_007437_00A3E8_5198_COG,S1A,2015-08-26 17:14:29.880612+00:00,2015-08-26 17:14:54.880067+00:00,ascending,15.0,"[7.778686, 44.188583, 11.353879, 46.084316]",False
"S1A|2015-08-30 05:34:49.710472+00:00|2015-08-30 05:35:18.634770+00:00|descending|66.0|(6.719585, 45.411697, 10.406863, 47.540188)",1,S1A_IW_GRDH_1SDV_20150830T053449_20150830T053518_007488_00A55C_50E8_COG,S1A,2015-08-30 05:34:49.710472+00:00,2015-08-30 05:35:18.634770+00:00,descending,66.0,"[6.719585, 45.411697, 10.406863, 47.540188]",False
"S1A|2015-08-30 05:35:18.636268+00:00|2015-08-30 05:35:43.635256+00:00|descending|66.0|(6.390315, 43.912659, 9.933832, 45.804462)",1,S1A_IW_GRDH_1SDV_20150830T053518_20150830T053543_007488_00A55C_E5D2_COG,S1A,2015-08-30 05:35:18.636268+00:00,2015-08-30 05:35:43.635256+00:00,descending,66.0,"[6.390315, 43.912659, 9.933832, 45.804462]",False
"S1A|2025-05-17 17:15:11.685819+00:00|2025-05-17 17:15:36.684507+00:00|ascending|15.0|(7.747691, 44.361984, 11.423233, 46.268589)",1,S1A_IW_GRDH_1SDV_20250517T171511_20250517T171536_059237_0759CE_DB5C_COG,S1A,2025-05-17 17:15:11.685819+00:00,2025-05-17 17:15:36.684507+00:00,ascending,15.0,"[7.747691, 44.361984, 11.423233, 46.268589]",False
"S1A|2025-07-16 17:15:08.687127+00:00|2025-07-16 17:15:33.685682+00:00|ascending|15.0|(7.748167, 44.362148, 11.405728, 46.266796)",1,S1A_IW_GRDH_1SDV_20250716T171508_20250716T171533_060112_077801_0775_COG,S1A,2025-07-16 17:15:08.687127+00:00,2025-07-16 17:15:33.685682+00:00,ascending,15.0,"[7.748167, 44.362148, 11.405728, 46.266796]",False
"S1A|2025-09-02 17:15:08.421746+00:00|2025-09-02 17:15:33.418929+00:00|ascending|15.0|(7.743996, 44.362003, 11.4024, 46.266674)",1,S1A_IW_GRDH_1SDV_20250902T171508_20250902T171533_060812_07921D_08D0_COG,S1A,2025-09-02 17:15:08.421746+00:00,2025-09-02 17:15:33.418929+00:00,ascending,15.0,"[7.743996, 44.362003, 11.4024, 46.266674]",False
"S1B|2020-05-13 17:14:03.408826+00:00|2020-05-13 17:14:28.407203+00:00|ascending|15.0|(7.911925, 43.593575, 11.567924, 45.50169)",2,S1B_IW_GRDH_1SDV_20200513T171403_20200513T171428_021566_028F1C_3676_COG|S1B_IW_GRDH_1SDV_20200513T171403_20200513T171428_021566_028F1C_9CEA_COG,S1B,2020-05-13 17:14:03.408826+00:00,2020-05-13 17:14:28.407203+00:00,ascending,15.0,"[7.911925, 43.593575, 11.567924, 45.50169]",True
"S1B|2020-05-13 17:14:28.408701+00:00|2020-05-13 17:14:53.407078+00:00|ascending|15.0|(7.517754, 45.09304, 11.243735, 47.003242)",2,S1B_IW_GRDH_1SDV_20200513T171428_20200513T171453_021566_028F1C_8C3C_COG|S1B_IW_GRDH_1SDV_20200513T171428_20200513T171453_021566_028F1C_C99D_COG,S1B,2020-05-13 17:14:28.408701+00:00,2020-05-13 17:14:53.407078+00:00,ascending,15.0,"[7.517754, 45.09304, 11.243735, 47.003242]",True
"S1B|2020-05-17 05:34:43.888249+00:00|2020-05-17 05:35:08.885738+00:00|descending|66.0|(6.58004, 45.007687, 10.199081, 46.908283)",1,S1B_IW_GRDH_1SDV_20200517T053443_20200517T053508_021617_02909E_D89D_COG,S1B,2020-05-17 05:34:43.888249+00:00,2020-05-17 05:35:08.885738+00:00,descending,66.0,"[6.58004, 45.007687, 10.199081, 46.908283]",False
"S1B|2020-05-17 05:34:51.613606+00:00|2020-05-17 05:35:16.612611+00:00|descending|66.0|(6.418803, 44.546024, 10.085383, 46.448708)",1,S1B_IW_GRDH_1SDV_20200517T053451_20200517T053516_021617_02909E_5D39_COG,S1B,2020-05-17 05:34:51.613606+00:00,2020-05-17 05:35:16.612611+00:00,descending,66.0,"[6.418803, 44.546024, 10.085383, 46.448708]",False
"S1B|2020-05-17 05:35:08.887223+00:00|2020-05-17 05:35:33.886209+00:00|descending|66.0|(6.253438, 43.508427, 9.819246, 45.405556)",1,S1B_IW_GRDH_1SDV_20200517T053508_20200517T053533_021617_02909E_1E32_COG,S1B,2020-05-17 05:35:08.887223+00:00,2020-05-17 05:35:33.886209+00:00,descending,66.0,"[6.253438, 43.508427, 9.819246, 45.405556]",False
"S1B|2020-07-12 17:14:07.000654+00:00|2020-07-12 17:14:31.999085+00:00|ascending|15.0|(7.911259, 43.593483, 11.567106, 45.501568)",1,S1B_IW_GRDH_1SDV_20200712T171407_20200712T171431_022441_02A977_56E1_COG,S1B,2020-07-12 17:14:07.000654+00:00,2020-07-12 17:14:31.999085+00:00,ascending,15.0,"[7.911259, 43.593483, 11.567106, 45.501568]",False
"S1B|2020-07-12 17:14:07.000655+00:00|2020-07-12 17:14:31.999086+00:00|ascending|15.0|(7.911258, 43.593483, 11.567105, 45.501568)",1,S1B_IW_GRDH_1SDV_20200712T171407_20200712T171431_022441_02A977_2B36_COG,S1B,2020-07-12 17:14:07.000655+00:00,2020-07-12 17:14:31.999086+00:00,ascending,15.0,"[7.911258, 43.593483, 11.567105, 45.501568]",False
