anchor_year,season_phase,selected_date,orbit_state,relative_orbit,canonical_scene_id,platform,vv_asset_found,vv_asset_key,vv_href,vh_asset_found,vh_asset_key,vh_href,canonical_scenes_n,platforms,vv_assets_complete,vh_assets_complete
2015,establishment,2015-05-22,ascending,15,S1A_IW_GRDH_1SDV_20150522T171425_20150522T171450_006037_007CBA_4DE2_COG,S1A,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/22/S1A_IW_GRDH_1SDV_20150522T171425_20150522T171450_006037_007CBA_4DE2_COG.SAFE/measurement/s1a-iw-grd-vv-20150522t171425-20150522t171450-006037-007cba-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/22/S1A_IW_GRDH_1SDV_20150522T171425_20150522T171450_006037_007CBA_4DE2_COG.SAFE/measurement/s1a-iw-grd-vh-20150522t171425-20150522t171450-006037-007cba-002-cog.tiff,1,S1A,True,True
2015,mid_season,2015-07-09,ascending,15,S1A_IW_GRDH_1SDV_20150709T171426_20150709T171451_006737_009069_C5EF_COG,S1A,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/07/09/S1A_IW_GRDH_1SDV_20150709T171426_20150709T171451_006737_009069_C5EF_COG.SAFE/measurement/s1a-iw-grd-vv-20150709t171426-20150709t171451-006737-009069-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/07/09/S1A_IW_GRDH_1SDV_20150709T171426_20150709T171451_006737_009069_C5EF_COG.SAFE/measurement/s1a-iw-grd-vh-20150709t171426-20150709t171451-006737-009069-002-cog.tiff,1,S1A,True,True
2015,late_season,2015-08-26,ascending,15,S1A_IW_GRDH_1SDV_20150826T171429_20150826T171454_007437_00A3E8_5198_COG,S1A,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/08/26/S1A_IW_GRDH_1SDV_20150826T171429_20150826T171454_007437_00A3E8_5198_COG.SAFE/measurement/s1a-iw-grd-vv-20150826t171429-20150826t171454-007437-00a3e8-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/08/26/S1A_IW_GRDH_1SDV_20150826T171429_20150826T171454_007437_00A3E8_5198_COG.SAFE/measurement/s1a-iw-grd-vh-20150826t171429-20150826t171454-007437-00a3e8-002-cog.tiff,1,S1A,True,True
2015,establishment,2015-05-14,descending,66,S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,S1A,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG.SAFE/measurement/s1a-iw-grd-vv-20150514t053449-20150514t053518-005913-0079e8-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG.SAFE/measurement/s1a-iw-grd-vh-20150514t053449-20150514t053518-005913-0079e8-002-cog.tiff,2,S1A,True,True
2015,establishment,2015-05-14,descending,66,S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG,S1A,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG.SAFE/measurement/s1a-iw-grd-vv-20150514t053518-20150514t053543-005913-0079e8-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG.SAFE/measurement/s1a-iw-grd-vh-20150514t053518-20150514t053543-005913-0079e8-002-cog.tiff,2,S1A,True,True
2015,mid_season,2015-07-13,descending,66,S1A_IW_GRDH_1SDV_20150713T053452_20150713T053521_006788_0091FF_470D_COG,S1A,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/07/13/S1A_IW_GRDH_1SDV_20150713T053452_20150713T053521_006788_0091FF_470D_COG.SAFE/measurement/s1a-iw-grd-vv-20150713t053452-20150713t053521-006788-0091ff-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/07/13/S1A_IW_GRDH_1SDV_20150713T053452_20150713T053521_006788_0091FF_470D_COG.SAFE/measurement/s1a-iw-grd-vh-20150713t053452-20150713t053521-006788-0091ff-002-cog.tiff,2,S1A,True,True
2015,mid_season,2015-07-13,descending,66,S1A_IW_GRDH_1SDV_20150713T053521_20150713T053546_006788_0091FF_45DD_COG,S1A,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/07/13/S1A_IW_GRDH_1SDV_20150713T053521_20150713T053546_006788_0091FF_45DD_COG.SAFE/measurement/s1a-iw-grd-vv-20150713t053521-20150713t053546-006788-0091ff-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/07/13/S1A_IW_GRDH_1SDV_20150713T053521_20150713T053546_006788_0091FF_45DD_COG.SAFE/measurement/s1a-iw-grd-vh-20150713t053521-20150713t053546-006788-0091ff-002-cog.tiff,2,S1A,True,True
2015,late_season,2015-08-30,descending,66,S1A_IW_GRDH_1SDV_20150830T053449_20150830T053518_007488_00A55C_50E8_COG,S1A,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/08/30/S1A_IW_GRDH_1SDV_20150830T053449_20150830T053518_007488_00A55C_50E8_COG.SAFE/measurement/s1a-iw-grd-vv-20150830t053449-20150830t053518-007488-00a55c-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/08/30/S1A_IW_GRDH_1SDV_20150830T053449_20150830T053518_007488_00A55C_50E8_COG.SAFE/measurement/s1a-iw-grd-vh-20150830t053449-20150830t053518-007488-00a55c-002-cog.tiff,2,S1A,True,True
2015,late_season,2015-08-30,descending,66,S1A_IW_GRDH_1SDV_20150830T053518_20150830T053543_007488_00A55C_E5D2_COG,S1A,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/08/30/S1A_IW_GRDH_1SDV_20150830T053518_20150830T053543_007488_00A55C_E5D2_COG.SAFE/measurement/s1a-iw-grd-vv-20150830t053518-20150830t053543-007488-00a55c-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/08/30/S1A_IW_GRDH_1SDV_20150830T053518_20150830T053543_007488_00A55C_E5D2_COG.SAFE/measurement/s1a-iw-grd-vh-20150830t053518-20150830t053543-007488-00a55c-002-cog.tiff,2,S1A,True,True
2020,establishment,2020-05-13,ascending,15,S1B_IW_GRDH_1SDV_20200513T171403_20200513T171428_021566_028F1C_3676_COG,S1B,True,vv,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/13/S1B_IW_GRDH_1SDV_20200513T171403_20200513T171428_021566_028F1C_3676_COG.SAFE/measurement/s1b-iw-grd-vv-20200513t171403-20200513t171428-021566-028f1c-001-cog.tiff,True,vh,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2020/05/13/S1B_IW_GRDH_1SDV_20200513T171403_20200513T171428_021566_028F1C_3676_COG.SAFE/measurement/s1b-iw-grd-vh-20200513t171403-20200513t171428-021566-028f1c-002-cog.tiff,2,S1B,True,True
