anchor_year,season_phase,selected_date,orbit_state,relative_orbit,platform,polarization,rice_support_points_sampled_n,rice_support_point_coverage_fraction,points_with_multi_scene_overlap_n,raw_n,raw_min,raw_p01,raw_p10,raw_median,raw_mean,raw_p90,raw_p99,raw_max,raw_sd,raw_zero_share
2015,establishment,2015-05-14,descending,66,S1A,VH,4331,1.0,0,4331,16.0,24.0,38.0,64.0,70.77326252597553,110.0,188.39999999999964,588.0,34.10422601122327,0.0
2015,establishment,2015-05-14,descending,66,S1A,VV,4331,1.0,0,4331,27.0,47.0,83.0,165.0,178.90117755714616,280.0,496.7999999999993,2018.0,93.96123433365749,0.0
2015,establishment,2015-05-22,ascending,15,S1A,VH,4331,1.0,0,4331,19.0,30.0,44.0,75.0,82.04802586007851,126.0,187.69999999999982,1380.0,40.80173435899917,0.0
2015,establishment,2015-05-22,ascending,15,S1A,VV,4331,1.0,0,4331,30.0,66.0,114.0,207.0,230.63588085892403,363.0,618.0999999999995,2912.0,131.63089691153615,0.0
2015,late_season,2015-08-26,ascending,15,S1A,VH,4331,1.0,0,4331,29.0,49.0,71.0,106.0,109.12699145693836,149.0,211.69999999999982,1367.0,38.30647698385021,0.0
2015,late_season,2015-08-26,ascending,15,S1A,VV,4331,1.0,0,4331,41.0,88.0,131.0,198.0,213.57769568229045,303.0,488.09999999999945,2945.0,103.11544529790145,0.0
2015,late_season,2015-08-30,descending,66,S1A,VH,4331,1.0,0,4331,26.0,48.0,72.0,108.0,109.89586700531055,150.0,197.0,977.0,36.75793746591514,0.0
2015,late_season,2015-08-30,descending,66,S1A,VV,4331,1.0,0,4331,35.0,92.0,136.0,206.0,214.049642114985,297.0,427.6999999999998,2099.0,84.8313723708661,0.0
2015,mid_season,2015-07-09,ascending,15,S1A,VH,4331,1.0,0,4331,26.0,44.0,62.0,93.0,96.95197413992149,133.0,187.69999999999982,1331.0,36.32072303274677,0.0
2015,mid_season,2015-07-09,ascending,15,S1A,VV,4331,1.0,0,4331,54.0,87.0,129.0,209.0,224.99746017086125,329.0,506.59999999999854,3014.0,111.20639423279172,0.0
2015,mid_season,2015-07-13,descending,66,S1A,VH,4331,1.0,0,4331,23.0,40.0,61.0,90.0,93.88247517894251,129.0,185.0,515.0,31.61807000764488,0.0
2015,mid_season,2015-07-13,descending,66,S1A,VV,4331,1.0,0,4331,49.0,82.0,124.0,199.0,211.97667975063496,308.0,490.59999999999854,1946.0,92.63175329939415,0.0
2020,establishment,2020-05-13,ascending,15,S1B,VH,4331,1.0,0,4331,17.0,29.0,44.0,80.0,85.11244516277996,132.0,191.69999999999982,593.0,36.91920596206916,0.0
2020,establishment,2020-05-13,ascending,15,S1B,VV,4331,1.0,0,4331,31.0,49.300000000000004,101.0,221.0,238.7490187023782,368.0,749.8999999999987,3383.0,150.74614436972965,0.0
2020,establishment,2020-05-17,descending,66,S1B,VH,4331,1.0,4331,4331,20.0,28.0,44.5,79.0,82.77903486492727,122.5,177.54999999999973,576.0,35.880316631302534,0.0
2020,establishment,2020-05-17,descending,66,S1B,VV,4331,1.0,4331,4331,36.0,52.5,109.5,206.5,212.72789194181482,303.5,484.3499999999999,1772.0,99.15985189979017,0.0
2020,late_season,2020-08-29,ascending,15,S1B,VH,4331,1.0,4331,4331,25.0,47.0,74.0,108.0,112.07042253521126,155.0,203.69999999999982,732.0,35.02255960882249,0.0
2020,late_season,2020-08-29,ascending,15,S1B,VV,4331,1.0,4331,4331,45.0,89.30000000000001,137.0,207.0,218.5161625490649,306.0,473.7999999999993,3461.0,97.83892400517276,0.0
2020,late_season,2020-09-02,descending,66,S1B,VH,4331,1.0,4331,4331,38.5,54.0,73.5,98.5,100.8470330177788,128.5,167.8499999999999,671.5,26.793192274912556,0.0
2020,late_season,2020-09-02,descending,66,S1B,VV,4331,1.0,4331,4331,61.0,101.30000000000001,137.0,185.0,193.34645578388364,255.0,368.3499999999999,1338.0,63.31643995712651,0.0
2020,mid_season,2020-07-12,ascending,15,S1B,VH,4330,0.9997691064419303,4330,4330,22.0,39.0,59.0,87.0,91.43117782909931,127.0,192.35500000000002,533.0,31.481810780573117,0.0
2020,mid_season,2020-07-12,ascending,15,S1B,VV,4330,0.9997691064419303,4330,4330,45.5,77.0,123.45000000000002,197.0,209.71593533487297,305.0,482.61500000000024,1745.0,87.12866505123885,0.0
2020,mid_season,2020-07-16,descending,66,S1B,VH,4331,1.0,4331,4331,32.0,48.5,63.0,85.0,88.54109905333641,115.5,166.54999999999973,573.5,27.08800423241378,0.0
2020,mid_season,2020-07-16,descending,66,S1B,VV,4331,1.0,4331,4331,55.5,99.0,133.0,190.5,197.6198337566382,264.0,383.39999999999964,1161.5,63.43204307926896,0.0
2025,establishment,2025-05-15,descending,66,S1C,VH,4331,1.0,0,4331,14.0,20.300000000000004,33.0,61.0,67.14453936735165,105.0,170.0,2332.0,47.58891403100469,0.0
2025,establishment,2025-05-15,descending,66,S1C,VV,4331,1.0,0,4331,24.0,39.0,82.0,169.0,178.05610713461095,277.0,444.7999999999993,2997.0,96.41729139474846,0.0
2025,establishment,2025-05-17,ascending,15,S1A,VH,4331,1.0,0,4331,18.0,31.0,45.0,70.0,77.00623412606788,118.0,188.39999999999964,899.0,35.5672242915536,0.0
2025,establishment,2025-05-17,ascending,15,S1A,VV,4331,1.0,0,4331,30.0,61.0,92.0,159.0,176.73701223735858,274.0,494.29999999999836,2319.0,96.11758514867377,0.0
2025,late_season,2025-08-31,descending,66,S1C,VH,4331,1.0,0,4331,25.0,43.300000000000004,66.0,98.0,101.0,138.0,184.69999999999982,584.0,32.11729369471403,0.0
2025,late_season,2025-08-31,descending,66,S1C,VV,4331,1.0,0,4331,25.0,85.0,128.0,190.0,198.6017086123297,271.0,401.0,2176.0,81.33556066660289,0.0
2025,late_season,2025-09-02,ascending,15,S1A,VH,4331,1.0,0,4331,24.0,49.0,70.0,105.0,107.854306164858,148.0,196.0,893.0,33.53547316037266,0.0
2025,late_season,2025-09-02,ascending,15,S1A,VV,4331,1.0,0,4331,51.0,86.0,129.0,195.0,205.15700761948742,290.0,423.39999999999964,1308.0,77.10421733839802,0.0
2025,mid_season,2025-07-14,descending,66,S1C,VH,4331,1.0,0,4331,19.0,35.0,53.0,79.0,82.62710690371739,115.0,166.39999999999964,651.0,28.340908736351324,0.0
