canonical_scene_id,platform,polarization,calibration_xml_href,xml_fetch_attempts,raster_metadata_attempts,xml_bytes_n,calibration_vectors_n,first_vector_line,last_vector_line,min_pixel_lut_points_n,max_pixel_lut_points_n,absolute_calibration_constant,gcp_count,gcp_crs,sample_rows_n,sample_image_row_min,sample_image_row_max,sample_image_col_min,sample_image_col_max,row_outside_lut_support_n,range_outside_lut_support_n,sigma_lut_min,sigma_lut_max,sigma0_finite_n,status
S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,S1A,VH,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vh-20150514t053449-20150514t053518-005913-0079e8-002-cog.xml,1,1,1168677,31,0,20083,649,649,1.0,231,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",2812,15694,19348,2886,14543,0,0,591.6640825,646.371505,2812,PASS
S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,S1A,VV,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vv-20150514t053449-20150514t053518-005913-0079e8-001-cog.xml,1,1,1168677,31,0,20083,649,649,1.0,231,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",2812,15694,19348,2886,14543,0,0,591.6640825,646.371505,2812,PASS
S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG,S1A,VH,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vh-20150514t053518-20150514t053543-005913-0079e8-002-cog.xml,1,1,1017965,27,0,17405,649,649,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",1519,2,2235,2795,14650,0,0,592.8311,649.391075,1519,PASS
S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG,S1A,VV,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/14/S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vv-20150514t053518-20150514t053543-005913-0079e8-001-cog.xml,1,1,1017965,27,0,17405,649,649,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",1519,2,2235,2795,14650,0,0,592.8311,649.391075,1519,PASS
S1A_IW_GRDH_1SDV_20150522T171425_20150522T171450_006037_007CBA_4DE2_COG,S1A,VH,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/22/S1A_IW_GRDH_1SDV_20150522T171425_20150522T171450_006037_007CBA_4DE2_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vh-20150522t171425-20150522t171450-006037-007cba-002-cog.xml,1,1,1033625,27,0,17353,659,659,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",4331,7891,14776,1105,12550,0,0,599.593025,658.19615,4331,PASS
S1A_IW_GRDH_1SDV_20150522T171425_20150522T171450_006037_007CBA_4DE2_COG,S1A,VV,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/05/22/S1A_IW_GRDH_1SDV_20150522T171425_20150522T171450_006037_007CBA_4DE2_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vv-20150522t171425-20150522t171450-006037-007cba-001-cog.xml,1,1,1033625,27,0,17353,659,659,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",4331,7891,14776,1105,12550,0,0,599.593025,658.19615,4331,PASS
S1A_IW_GRDH_1SDV_20150709T171426_20150709T171451_006737_009069_C5EF_COG,S1A,VH,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/07/09/S1A_IW_GRDH_1SDV_20150709T171426_20150709T171451_006737_009069_C5EF_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vh-20150709t171426-20150709t171451-006737-009069-002-cog.xml,1,1,1007003,27,0,17385,642,642,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",4331,7907,14805,1101,12546,0,0,599.6204299999999,658.2409425,4331,PASS
S1A_IW_GRDH_1SDV_20150709T171426_20150709T171451_006737_009069_C5EF_COG,S1A,VV,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/07/09/S1A_IW_GRDH_1SDV_20150709T171426_20150709T171451_006737_009069_C5EF_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vv-20150709t171426-20150709t171451-006737-009069-001-cog.xml,1,1,1007003,27,0,17385,642,642,1.0,210,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",4331,7907,14805,1101,12546,0,0,599.6204299999999,658.2409425,4331,PASS
S1A_IW_GRDH_1SDV_20150713T053452_20150713T053521_006788_0091FF_470D_COG,S1A,VH,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/07/13/S1A_IW_GRDH_1SDV_20150713T053452_20150713T053521_006788_0091FF_470D_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vh-20150713t053452-20150713t053521-006788-0091ff-002-cog.xml,1,1,1156091,31,0,20057,642,642,1.0,231,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",2815,15676,19328,2655,14312,0,0,591.57006,646.2326125,2815,PASS
S1A_IW_GRDH_1SDV_20150713T053452_20150713T053521_006788_0091FF_470D_COG,S1A,VV,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2015/07/13/S1A_IW_GRDH_1SDV_20150713T053452_20150713T053521_006788_0091FF_470D_COG.SAFE/annotation/calibration/calibration-s1a-iw-grd-vv-20150713t053452-20150713t053521-006788-0091ff-001-cog.xml,1,1,1156091,31,0,20057,642,642,1.0,231,"GEOGCS[""WGS 84"",DATUM[""World Geodetic System 1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",2815,15676,19328,2655,14312,0,0,591.57006,646.2326125,2815,PASS
