canonical_scene_id,platform,polarization,noise_schema,thermalNoiseCorrectionPerformed_input,noise_xml_bytes_n,legacy_vectors_n,range_vectors_n,azimuth_vectors_n,sample_rows_n,finite_noise_power_n,missing_noise_power_n,nonpositive_corrected_power_n,nonpositive_corrected_power_share,multiple_azimuth_block_matches_n,noise_to_raw_power_ratio_median,noise_to_raw_power_ratio_p99,sigma0_noise_effect_db_median,status
S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,S1A,VH,legacy_noiseVectorList,false,380129,31,0,0,2812,2812,0,0,0.0,0,1.808679995149306e-11,1.1107285211634394e-10,-7.855227579511848e-11,PASS
S1A_IW_GRDH_1SDV_20150514T053449_20150514T053518_005913_0079E8_64A1_COG,S1A,VV,legacy_noiseVectorList,false,380129,31,0,0,2812,2812,0,0,0.0,0,2.6075024145305468e-12,3.0547233751864486e-11,-1.1323386672756897e-11,PASS
S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG,S1A,VH,legacy_noiseVectorList,false,331146,27,0,0,1519,1519,0,0,0.0,0,2.000270635858174e-11,1.169133396684775e-10,-8.687095487402985e-11,PASS
S1A_IW_GRDH_1SDV_20150514T053518_20150514T053543_005913_0079E8_0FAE_COG,S1A,VV,legacy_noiseVectorList,false,331146,27,0,0,1519,1519,0,0,0.0,0,2.8093703551420447e-12,3.3328040419821777e-11,-1.220179512984032e-11,PASS
S1A_IW_GRDH_1SDV_20150522T171425_20150522T171450_006037_007CBA_4DE2_COG,S1A,VH,legacy_noiseVectorList,false,336276,27,0,0,4331,4331,0,0,0.0,0,1.431576759517698e-11,9.419401061995142e-11,-6.217248937900877e-11,PASS
S1A_IW_GRDH_1SDV_20150522T171425_20150522T171450_006037_007CBA_4DE2_COG,S1A,VV,legacy_noiseVectorList,false,336276,27,0,0,4331,4331,0,0,0.0,0,1.8691182872077135e-12,1.9342285273717747e-11,-8.116174399219744e-12,PASS
S1A_IW_GRDH_1SDV_20150709T171426_20150709T171451_006737_009069_C5EF_COG,S1A,VH,legacy_noiseVectorList,false,315442,26,0,0,4331,4331,0,7,0.0016162549064881089,0,0.14099928320596952,0.6193727645534467,-0.658656483090045,PASS
S1A_IW_GRDH_1SDV_20150709T171426_20150709T171451_006737_009069_C5EF_COG,S1A,VV,legacy_noiseVectorList,false,315442,26,0,0,4331,4331,0,0,0.0,0,0.027749896697655395,0.15360441241565886,-0.1222200203636703,PASS
S1A_IW_GRDH_1SDV_20150713T053452_20150713T053521_006788_0091FF_470D_COG,S1A,VH,legacy_noiseVectorList,false,376006,31,0,0,2815,2815,0,5,0.0017761989342806395,0,0.1166536872810398,0.5858306941441188,-0.5381799749076919,PASS
S1A_IW_GRDH_1SDV_20150713T053452_20150713T053521_006788_0091FF_470D_COG,S1A,VV,legacy_noiseVectorList,false,376006,31,0,0,2815,2815,0,0,0.0,0,0.023805029382276997,0.16848116328403248,-0.10463434170377539,PASS
S1A_IW_GRDH_1SDV_20150713T053521_20150713T053546_006788_0091FF_45DD_COG,S1A,VH,legacy_noiseVectorList,false,315442,26,0,0,1516,1516,0,4,0.002638522427440633,0,0.13113020902402817,0.668758201933479,-0.6097178930254676,PASS
S1A_IW_GRDH_1SDV_20150713T053521_20150713T053546_006788_0091FF_45DD_COG,S1A,VV,legacy_noiseVectorList,false,315442,26,0,0,1516,1516,0,0,0.0,0,0.02482259958333179,0.15254098042981343,-0.10916371988902185,PASS
S1A_IW_GRDH_1SDV_20150826T171429_20150826T171454_007437_00A3E8_5198_COG,S1A,VH,legacy_noiseVectorList,false,315442,26,0,0,4331,4331,0,1,0.00023089355806972986,0,0.10130840955531595,0.4349017846567367,-0.4638827952403952,PASS
S1A_IW_GRDH_1SDV_20150826T171429_20150826T171454_007437_00A3E8_5198_COG,S1A,VV,legacy_noiseVectorList,false,315442,26,0,0,4331,4331,0,0,0.0,0,0.02665694219114412,0.14025920273158926,-0.11734064300392966,PASS
S1A_IW_GRDH_1SDV_20150830T053518_20150830T053543_007488_00A55C_E5D2_COG,S1A,VH,legacy_noiseVectorList,false,324990,27,0,0,4331,4331,0,0,0.0,0,0.07184005194039006,0.4199027340311269,-0.323771761798584,PASS
S1A_IW_GRDH_1SDV_20150830T053518_20150830T053543_007488_00A55C_E5D2_COG,S1A,VV,legacy_noiseVectorList,false,324990,27,0,0,4331,4331,0,0,0.0,0,0.01913191464796929,0.10593588302340946,-0.08389395939020261,PASS
S1A_IW_GRDH_1SDV_20250517T171511_20250517T171536_059237_0759CE_DB5C_COG,S1A,VH,modern_range_x_azimuth,false,420450,0,26,3,4331,4331,0,429,0.0990533364119141,0,0.41022392793455903,2.0477128248956973,-2.0451287269577296,PASS
S1A_IW_GRDH_1SDV_20250517T171511_20250517T171536_059237_0759CE_DB5C_COG,S1A,VV,modern_range_x_azimuth,false,420450,0,26,3,4331,4331,0,6,0.001385361348418379,0,0.06808094031952423,0.49921890088158977,-0.30597972037725896,PASS
S1A_IW_GRDH_1SDV_20250716T171508_20250716T171533_060112_077801_0775_COG,S1A,VH,modern_range_x_azimuth,false,431697,0,27,3,4331,4331,0,70,0.01616254906488109,0,0.23820742943544412,1.1889323904722684,-1.166508524237809,PASS
S1A_IW_GRDH_1SDV_20250716T171508_20250716T171533_060112_077801_0775_COG,S1A,VV,modern_range_x_azimuth,false,431697,0,27,3,4331,4331,0,1,0.00023089355806972986,0,0.04833004590595421,0.28640001587941044,-0.2151078538776776,PASS
S1A_IW_GRDH_1SDV_20250902T171508_20250902T171533_060812_07921D_08D0_COG,S1A,VH,modern_range_x_azimuth,false,431550,0,27,3,4331,4331,0,27,0.006234126067882706,0,0.18146155423924812,0.8860064846714831,-0.865735404119544,PASS
S1A_IW_GRDH_1SDV_20250902T171508_20250902T171533_060812_07921D_08D0_COG,S1A,VV,modern_range_x_azimuth,false,431550,0,27,3,4331,4331,0,0,0.0,0,0.04770489568113386,0.26163605739762336,-0.21228448341059902,PASS
S1B_IW_GRDH_1SDV_20200513T171403_20200513T171428_021566_028F1C_3676_COG,S1B,VH,modern_range_x_azimuth,false,422632,0,26,3,1296,1296,0,52,0.040123456790123455,0,0.23849118749928921,1.6692781106562027,-1.1348036623597402,PASS
S1B_IW_GRDH_1SDV_20200513T171403_20200513T171428_021566_028F1C_3676_COG,S1B,VV,modern_range_x_azimuth,false,422632,0,26,3,1296,1296,0,1,0.0007716049382716049,0,0.03273392263556933,0.5155002517161179,-0.14396956110907588,PASS
S1B_IW_GRDH_1SDV_20200513T171428_20200513T171453_021566_028F1C_8C3C_COG,S1B,VH,modern_range_x_azimuth,false,422158,0,26,3,3035,3035,0,189,0.06227347611202636,0,0.23681963113298166,1.9400000337335825,-1.082125668558021,PASS
S1B_IW_GRDH_1SDV_20200513T171428_20200513T171453_021566_028F1C_8C3C_COG,S1B,VV,modern_range_x_azimuth,false,422158,0,26,3,3035,3035,0,12,0.003953871499176277,0,0.029801370573910572,0.7166536387308367,-0.1310568282828246,PASS
S1B_IW_GRDH_1SDV_20200517T053443_20200517T053508_021617_02909E_D89D_COG,S1B,VH,modern_range_x_azimuth,false,413773,0,26,3,3670,3670,0,216,0.05885558583106267,0,0.20981716156764746,1.7854579161862103,-0.9349070668554962,PASS
