anchor_year,season_phase,selected_date,orbit_state,relative_orbit,platform,polarization,points_n,corrected_finite_points_n,corrected_finite_share,sigma0_uncorrected_db_n,sigma0_uncorrected_db_min,sigma0_uncorrected_db_p01,sigma0_uncorrected_db_p10,sigma0_uncorrected_db_median,sigma0_uncorrected_db_mean,sigma0_uncorrected_db_p90,sigma0_uncorrected_db_p99,sigma0_uncorrected_db_max,sigma0_corrected_db_n,sigma0_corrected_db_min,sigma0_corrected_db_p01,sigma0_corrected_db_p10,sigma0_corrected_db_median,sigma0_corrected_db_mean,sigma0_corrected_db_p90,sigma0_corrected_db_p99,sigma0_corrected_db_max,noise_effect_db_n,noise_effect_db_min,noise_effect_db_p01,noise_effect_db_p10,noise_effect_db_median,noise_effect_db_mean,noise_effect_db_p90,noise_effect_db_p99,noise_effect_db_max
2015,establishment,2015-05-14,descending,66,S1A,VH,4331,4331,1.0,4331,-31.433691170448274,-27.937225934885724,-24.17829448548694,-19.621226285298714,-19.566245408620173,-14.959870474989138,-10.308428085658761,-0.39338798416322196,4331,-31.433691171268418,-27.937225935277034,-24.178294485658203,-19.62122628542106,-19.566245408729877,-14.959870475022356,-10.308428085670272,-0.39338798416449205,4331,-1.1156906509768305e-09,-4.87419526962185e-10,-2.283826461280114e-10,-8.182254873645434e-11,-1.0970306855904315e-10,-2.5995205987783265e-11,-9.433165359951115e-12,-1.270095140171179e-12
2015,establishment,2015-05-14,descending,66,S1A,VV,4331,4331,1.0,4331,-26.920042807011665,-22.21969273449112,-17.288866276843034,-11.411663737063684,-11.68061330800623,-6.778795362751158,-1.8133399735842608,10.011419582896186,4331,-26.920042807290724,-22.219692734592208,-17.288866276890275,-11.41166373707529,-11.68061330802628,-6.778795362754826,-1.8133399735855158,10.011419582896092,4331,-3.410960403016361e-10,-1.3663523645845996e-10,-4.360600769359735e-11,-1.162803187071404e-11,-2.004931661250223e-11,-3.6193270602780103e-12,-1.2287282302736465e-12,-9.414691248821327e-14
2015,establishment,2015-05-22,ascending,15,S1A,VH,4331,4331,1.0,4331,-30.20328479060241,-26.450183645469,-23.054768836388526,-18.446522258959185,-18.455154577125978,-13.926607556002363,-10.525071349530966,6.596263805659945,4331,-30.203284791836257,-26.450183645842788,-23.054768836585104,-18.446522259024597,-18.45515457721425,-13.926607556024258,-10.525071349540845,6.596263805659729,4331,-1.2338468025063776e-09,-4.089834249043633e-10,-1.8284751490682538e-10,-6.216893666532997e-11,-8.827016185125429e-11,-2.078870409150113e-11,-9.927347832672263e-12,-2.1671553440683056e-13
2015,establishment,2015-05-22,ascending,15,S1A,VV,4331,4331,1.0,4331,-26.540537063839306,-19.592391333871475,-14.81473245199612,-9.59715879320232,-9.693643211089926,-4.855264161612051,-0.003252939409589914,13.541345928249859,4331,-26.540537064246163,-19.59239133395191,-14.81473245202178,-9.597158793211351,-9.693643211103131,-4.855264161614398,-0.003252939410489323,13.541345928249818,4331,-4.0685677049623337e-10,-8.399148043736204e-11,-2.7693403126249905e-11,-8.116174399219744e-12,-1.3205295493311184e-11,-2.702726931147481e-12,-8.892497849188901e-13,-4.085620730620576e-14
2015,late_season,2015-08-26,ascending,15,S1A,VH,4331,4330,0.9997691064419303,4331,-26.813401243822348,-22.128625282125945,-18.85991184475081,-15.468914526326001,-15.607400019896986,-12.560735923710379,-9.586187460553486,6.51380998879251,4330,-46.36214920837594,-24.400600754874176,-19.93613500098786,-15.937845347439902,-16.202688160257335,-12.796641756306393,-9.69873449171775,6.510778710806997,4330,-21.143328506355456,-2.4423450037112326,-1.0693165611660131,-0.4638827952403872,-0.5978761314051378,-0.22449895814186274,-0.10997418742717802,-0.003031277985512837
2015,late_season,2015-08-26,ascending,15,S1A,VV,4331,4331,1.0,4331,-23.54182116979959,-17.060929111135586,-13.58676088264097,-10.037302341258268,-9.963031689043301,-6.40841712488601,-2.248912849932037,13.639035049050435,4331,-28.556649480608044,-17.688721681114522,-13.866795244927543,-10.145286548820224,-10.115467279611448,-6.462918137617352,-2.269122126626254,13.63853556750831,4331,-5.014828310808454,-0.6563246577008378,-0.27618867411736403,-0.11734064300392788,-0.15243559056814454,-0.04943219269504606,-0.01913246557579695,-0.0004994815421248688
2015,late_season,2015-08-30,descending,66,S1A,VH,4331,4331,1.0,4331,-27.281026397361966,-22.277319025738816,-18.659658354766407,-15.124940339827388,-15.335546174712299,-12.23874357747363,-9.92106896098052,4.013613218850929,4331,-43.61923039712356,-24.566878584737513,-19.440378897322987,-15.453092827506003,-15.791953943818429,-12.421099514418664,-10.035559946309874,4.008180875094473,4331,-17.955811946604914,-2.3649934889878406,-0.8297981987390699,-0.3237717617985769,-0.45640776910613035,-0.14771463779474558,-0.08355899269912173,-0.005432343756456071
2015,late_season,2015-08-30,descending,66,S1A,VV,4331,4331,1.0,4331,-25.103325901051264,-16.437874229691303,-13.10829671986147,-9.524285031881885,-9.627488243389797,-6.311302264695672,-3.236030563005252,10.43955583567035,4331,-32.12368321998322,-16.800960169759257,-13.285886855361397,-9.614287678703333,-9.737906811687632,-6.348715722100912,-3.253985759170889,10.438576106775844,4331,-7.020357318931957,-0.48631386052748515,-0.2064423989552111,-0.08389395939020261,-0.11041856829783368,-0.03676781862505418,-0.017057099363293776,-0.0008277670839227369
2015,mid_season,2015-07-09,ascending,15,S1A,VH,4331,4324,0.9983837450935119,4331,-27.4501512753333,-23.094903188296907,-20.06741201428691,-16.551050254845297,-16.65757782021064,-13.528091867195599,-10.500192174713064,6.281694041577493,4324,-36.79552696092174,-26.816079272657863,-21.680051066028835,-17.206723200902964,-17.517668109391387,-13.835176726102295,-10.649430374786732,6.27820631087117,4324,-11.627863623815895,-4.089701364333967,-1.6523905926607196,-0.6586564830900343,-0.874981601650728,-0.3079769886639242,-0.14528376405985227,-0.0034877307063236884
2015,mid_season,2015-07-09,ascending,15,S1A,VV,4331,4331,1.0,4331,-21.29434692432222,-17.06174840401755,-13.694691904433544,-9.560811797315683,-9.588350137153157,-5.6773239916842595,-1.8901320297883357,13.83994304116886,4331,-23.47424921648116,-17.714954946593465,-14.031253121924944,-9.689148026411464,-9.751485291884652,-5.727904170503608,-1.910680905605011,13.83939972371911,4331,-2.179902292158939,-0.7242673143721567,-0.32094576506002603,-0.1222200203636703,-0.1631351547314933,-0.04902930648147663,-0.02053273095212939,-0.0005433174497504467
