target_id,anchor_year,season_phase,s1_selected_date,optical_date,support_n,not_observed_n,not_observed_share,ambiguous_overlap_n,ambiguous_overlap_share,observed_scl_n,observed_scl_share,invalid_n,invalid_share_domain,cast_or_cloud_shadow_cloud_cirrus_snow_n,obscured_share_domain,unclassified_n,unclassified_share_domain,confirmed_usable_n,confirmed_usable_share_domain,confirmed_usable_share_among_observed,confirmed_usable_share_among_interpretable
2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,4331,0,0.0,2,0.0004617871161394597,4329,0.9995382128838606,0,0.0,740,0.17086123297160008,33,0.007619487416301085,3556,0.8210574924959594,0.8214368214368214,0.8214368214368214
2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,4331,667,0.15400600323250982,0,0.0,3664,0.8459939967674902,1763,0.40706534287693374,2,0.0004617871161394597,13,0.003001616254906488,1886,0.4354652505195105,0.5147379912663755,0.9921094160967912
2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,4331,667,0.15400600323250982,0,0.0,3664,0.8459939967674902,1897,0.4380050796582775,1094,0.2525975525282845,171,0.039482798429923804,502,0.11590856615100438,0.13700873362445415,0.2840973401245048
2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,4331,0,0.0,67,0.0154698683906719,4264,0.9845301316093281,0,0.0,3852,0.8894019856845994,185,0.04271530824290002,227,0.052412837681828674,0.05323639774859287,0.05323639774859287
2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,4331,667,0.15400600323250982,3,0.0006926806742091896,3661,0.845301316093281,1843,0.4255368275225121,621,0.14338489956130224,82,0.018933271761717847,1115,0.2574463172477488,0.3045615951925703,0.6133113311331133
2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,4331,0,0.0,52,0.012006465019625953,4279,0.987993534980374,0,0.0,2350,0.5425998614638652,21,0.004848764719464327,1908,0.44054490879704455,0.4458985744332788,0.4458985744332788
2020|late_season|2020-08-29|ascending|15,2020,late_season,2020-08-29,2020-08-29,4331,0,0.0,0,0.0,4331,1.0,0,0.0,4331,1.0,0,0.0,0,0.0,0.0,0.0
2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,4331,667,0.15400600323250982,0,0.0,3664,0.8459939967674902,1884,0.43500346340337104,2,0.0004617871161394597,7,0.0016162549064881089,1771,0.40891249134149155,0.48335152838427947,0.994943820224719
2025|establishment|2025-05-15|descending|66,2025,establishment,2025-05-15,2025-05-15,4331,0,0.0,1,0.00023089355806972986,4330,0.9997691064419303,0,0.0,39,0.009004848764719464,285,0.06580466404987301,4006,0.9249595936273378,0.9251732101616628,0.9251732101616628
2025|establishment|2025-05-17|ascending|15,2025,establishment,2025-05-17,2025-05-17,4331,0,0.0,11,0.002539829138767028,4320,0.997460170861233,0,0.0,575,0.13276379589009465,195,0.04502424382359732,3550,0.819672131147541,0.8217592592592593,0.8217592592592593
2025|mid_season|2025-07-14|descending|66,2025,mid_season,2025-07-14,2025-07-14,4331,0,0.0,10,0.0023089355806972986,4321,0.9976910644193027,0,0.0,154,0.0355576079427384,33,0.007619487416301085,4134,0.9545139690602632,0.9567229807914834,0.9567229807914834
2025|mid_season|2025-07-16|ascending|15,2025,mid_season,2025-07-16,2025-07-16,4331,0,0.0,207,0.04779496652043408,4124,0.9522050334795659,0,0.0,2643,0.610251673978296,9,0.0020780420226275687,1472,0.33987531747864236,0.3569350145489816,0.3569350145489816
2025|late_season|2025-08-31|descending|66,2025,late_season,2025-08-31,2025-08-31,4331,667,0.15400600323250982,0,0.0,3664,0.8459939967674902,1879,0.43384899561302237,1,0.00023089355806972986,9,0.0020780420226275687,1775,0.4098360655737705,0.48444323144104806,0.9943977591036415
2025|late_season|2025-09-02|ascending|15,2025,late_season,2025-09-02,2025-09-02,4331,0,0.0,41,0.009466635880858923,4290,0.9905333641191411,0,0.0,2785,0.6430385592241976,45,0.010390210113137843,1460,0.3371045947818056,0.34032634032634035,0.34032634032634035
