item_id,scl_href,open_attempts,driver,crs,crs_source,raster_crs_original,transform,width,height,dtype,nodata,support_points_inside_raster_n,support_points_sampled_n,unknown_scl_values_n,status,target_id,anchor_year,season_phase,s1_selected_date,optical_date,mgrs_tile,platform
S2A_MSIL2A_20150826T102026_N0500_R065_T32TMQ_20231011T014051,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TMQ_20231011T014051.SAFE/GRANULE/L2A_T32TMQ_A000920_20150826T102655/IMG_DATA/R20m/T32TMQ_20150826T102026_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,564,564,0,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,32TMQ,S2A
S2A_MSIL2A_20150826T102026_N0500_R065_T32TMR_20231011T014051,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TMR_20231011T014051.SAFE/GRANULE/L2A_T32TMR_A000920_20150826T102655/IMG_DATA/R20m/T32TMR_20150826T102026_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,3585,3585,0,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,32TMR,S2A
S2A_MSIL2A_20150826T102026_N0500_R065_T32TNQ_20231011T014051,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TNQ_20231011T014051.SAFE/GRANULE/L2A_T32TNQ_A000920_20150826T102655/IMG_DATA/R20m/T32TNQ_20150826T102026_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 499980.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,182,182,0,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,32TNQ,S2A
S2A_MSIL2A_20150826T102026_N0500_R065_T32TNR_20231011T014051,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TNR_20231011T014051.SAFE/GRANULE/L2A_T32TNR_A000920_20150826T102655/IMG_DATA/R20m/T32TNR_20150826T102026_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 499980.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,1022,1022,0,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,32TNR,S2A
S2A_MSIL2A_20150829T103026_N0500_R108_T32TMQ_20231011T023648,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/29/S2A_MSIL2A_20150829T103026_N0500_R108_T32TMQ_20231011T023648.SAFE/GRANULE/L2A_T32TMQ_A000963_20150829T103705/IMG_DATA/R20m/T32TMQ_20150829T103026_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,564,564,0,PASS,2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,32TMQ,S2A
S2A_MSIL2A_20150829T103026_N0500_R108_T32TMR_20231011T023648,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/29/S2A_MSIL2A_20150829T103026_N0500_R108_T32TMR_20231011T023648.SAFE/GRANULE/L2A_T32TMR_A000963_20150829T103705/IMG_DATA/R20m/T32TMR_20150829T103026_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,3585,3585,0,PASS,2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,32TMR,S2A
S2A_MSIL2A_20200514T103031_N0500_R108_T32TMQ_20230427T235543,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/05/14/S2A_MSIL2A_20200514T103031_N0500_R108_T32TMQ_20230427T235543.SAFE/GRANULE/L2A_T32TMQ_A025559_20200514T103747/IMG_DATA/R20m/T32TMQ_20200514T103031_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,564,564,0,PASS,2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,32TMQ,S2A
S2A_MSIL2A_20200514T103031_N0500_R108_T32TMR_20230427T235543,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/05/14/S2A_MSIL2A_20200514T103031_N0500_R108_T32TMR_20230427T235543.SAFE/GRANULE/L2A_T32TMR_A025559_20200514T103747/IMG_DATA/R20m/T32TMR_20200514T103031_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,3585,3585,0,PASS,2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,32TMR,S2A
S2A_MSIL2A_20200713T103031_N0500_R108_T32TMQ_20230529T131424,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/07/13/S2A_MSIL2A_20200713T103031_N0500_R108_T32TMQ_20230529T131424.SAFE/GRANULE/L2A_T32TMQ_A026417_20200713T103703/IMG_DATA/R20m/T32TMQ_20200713T103031_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5000040.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,564,564,0,PASS,2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,32TMQ,S2A
S2A_MSIL2A_20200713T103031_N0500_R108_T32TMR_20230529T131424,s3://eodata/Sentinel-2/MSI/L2A_N0500/2020/07/13/S2A_MSIL2A_20200713T103031_N0500_R108_T32TMR_20230529T131424.SAFE/GRANULE/L2A_T32TMR_A026417_20200713T103703/IMG_DATA/R20m/T32TMR_20200713T103031_SCL_20m.jp2,1,JP2OpenJPEG,EPSG:32632,mgrs_utm_fallback,,"(20.0, 0.0, 399960.0, 0.0, -20.0, 5100000.0, 0.0, 0.0, 1.0)",5490,5490,uint8,,3585,3585,0,PASS,2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,32TMR,S2A
