target_id,anchor_year,season_phase,s1_selected_date,optical_date,nearest_abs_day_offset,support_points_n,observed_unambiguous_n,observed_unambiguous_share,strict_clear_n,strict_clear_share,broad_clear_n,broad_clear_share,obscured_n,obscured_share,invalid_or_nodata_n,invalid_or_nodata_share,tile_overlap_ambiguous_n,tile_overlap_ambiguous_share,max_contributing_tile_items
2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,0,4331,4329,0.9995382128838606,3556,0.8210574924959594,3589,0.8286769799122604,740,0.17086123297160008,0,0.0,2,0.0004617871161394597,4
2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,1,4331,3664,0.8459939967674902,1886,0.4354652505195105,1900,0.4386977603324867,1,0.00023089355806972986,2430,0.5610713461094435,0,0.0,2
2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,1,4331,3664,0.8459939967674902,502,0.11590856615100438,673,0.1553913645809282,1094,0.2525975525282845,2564,0.5920110828907873,0,0.0,2
2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,1,4331,4264,0.9845301316093281,227,0.052412837681828674,412,0.0951281459247287,3852,0.8894019856845994,0,0.0,67,0.0154698683906719,4
2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,1,4331,3661,0.845301316093281,1115,0.2574463172477488,1197,0.27637958900946663,621,0.14338489956130224,2510,0.5795428307550219,3,0.0006926806742091896,2
2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,1,4331,4279,0.987993534980374,1908,0.44054490879704455,1929,0.4453936735165089,2350,0.5425998614638652,0,0.0,52,0.012006465019625953,4
2020|late_season|2020-08-29|ascending|15,2020,late_season,2020-08-29,2020-08-29,0,4331,4331,1.0,0,0.0,0,0.0,4331,1.0,0,0.0,0,0.0,4
2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,1,4331,3664,0.8459939967674902,1771,0.40891249134149155,1780,0.4109905333641191,0,0.0,2551,0.5890094666358808,0,0.0,2
2025|establishment|2025-05-15|descending|66,2025,establishment,2025-05-15,2025-05-15,0,4331,4330,0.9997691064419303,4006,0.9249595936273378,4293,0.9912260447933503,37,0.008543061648580005,0,0.0,1,0.00023089355806972986,4
2025|establishment|2025-05-17|ascending|15,2025,establishment,2025-05-17,2025-05-17,0,4331,4320,0.997460170861233,3550,0.819672131147541,3746,0.864927268529208,574,0.13253290233202494,0,0.0,11,0.002539829138767028,4
2025|mid_season|2025-07-14|descending|66,2025,mid_season,2025-07-14,2025-07-14,0,4331,4321,0.9976910644193027,4134,0.9545139690602632,4168,0.962364350034634,153,0.03532671438466867,0,0.0,10,0.0023089355806972986,4
2025|mid_season|2025-07-16|ascending|15,2025,mid_season,2025-07-16,2025-07-16,0,4331,4124,0.9522050334795659,1472,0.33987531747864236,1481,0.3419533595012699,2643,0.610251673978296,0,0.0,207,0.04779496652043408,4
2025|late_season|2025-08-31|descending|66,2025,late_season,2025-08-31,2025-08-31,0,4331,3664,0.8459939967674902,1775,0.4098360655737705,1785,0.4121450011544678,0,0.0,2546,0.5878549988455322,0,0.0,2
2025|late_season|2025-09-02|ascending|15,2025,late_season,2025-09-02,2025-09-02,0,4331,4290,0.9905333641191411,1460,0.3371045947818056,1505,0.34749480489494344,2785,0.6430385592241976,0,0.0,41,0.009466635880858923,4
