item_id,asset_key,href,open_attempts,stac_crs,stac_width,stac_height,raster_driver,raster_dtype,raster_crs_original,stac_nodata,support_inside_n,sampled_dn_n,nodata_dn0_n,valid_reflectance_n,reflectance_min,reflectance_max,status,target_id,anchor_year,season_phase,s1_selected_date,optical_date,processing_version,mgrs_tile,platform,quantification_value,boa_add_offset
S2A_MSIL2A_20150826T102026_N0500_R065_T32TMQ_20231011T014051,B02_20m,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TMQ_20231011T014051.SAFE/GRANULE/L2A_T32TMQ_A000920_20150826T102655/IMG_DATA/R20m/T32TMQ_20150826T102026_B02_20m.jp2,1,EPSG:32632,5490,5490,JP2OpenJPEG,uint16,,0,564,564,0,564.0,0.03,0.2515,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,05.00,32TMQ,S2A,10000.0,-1000.0
S2A_MSIL2A_20150826T102026_N0500_R065_T32TMQ_20231011T014051,B03_20m,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TMQ_20231011T014051.SAFE/GRANULE/L2A_T32TMQ_A000920_20150826T102655/IMG_DATA/R20m/T32TMQ_20150826T102026_B03_20m.jp2,1,EPSG:32632,5490,5490,JP2OpenJPEG,uint16,,0,564,564,0,564.0,0.0423,0.2637,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,05.00,32TMQ,S2A,10000.0,-1000.0
S2A_MSIL2A_20150826T102026_N0500_R065_T32TMQ_20231011T014051,B04_20m,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TMQ_20231011T014051.SAFE/GRANULE/L2A_T32TMQ_A000920_20150826T102655/IMG_DATA/R20m/T32TMQ_20150826T102026_B04_20m.jp2,1,EPSG:32632,5490,5490,JP2OpenJPEG,uint16,,0,564,564,0,564.0,0.0187,0.2609,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,05.00,32TMQ,S2A,10000.0,-1000.0
S2A_MSIL2A_20150826T102026_N0500_R065_T32TMQ_20231011T014051,B8A_20m,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TMQ_20231011T014051.SAFE/GRANULE/L2A_T32TMQ_A000920_20150826T102655/IMG_DATA/R20m/T32TMQ_20150826T102026_B8A_20m.jp2,1,EPSG:32632,5490,5490,JP2OpenJPEG,uint16,,0,564,564,0,564.0,0.0273,0.58,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,05.00,32TMQ,S2A,10000.0,-1000.0
S2A_MSIL2A_20150826T102026_N0500_R065_T32TMQ_20231011T014051,B11_20m,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TMQ_20231011T014051.SAFE/GRANULE/L2A_T32TMQ_A000920_20150826T102655/IMG_DATA/R20m/T32TMQ_20150826T102026_B11_20m.jp2,1,EPSG:32632,5490,5490,JP2OpenJPEG,uint16,,0,564,564,0,564.0,0.0147,0.3954,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,05.00,32TMQ,S2A,10000.0,-1000.0
S2A_MSIL2A_20150826T102026_N0500_R065_T32TMQ_20231011T014051,B12_20m,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TMQ_20231011T014051.SAFE/GRANULE/L2A_T32TMQ_A000920_20150826T102655/IMG_DATA/R20m/T32TMQ_20150826T102026_B12_20m.jp2,1,EPSG:32632,5490,5490,JP2OpenJPEG,uint16,,0,564,564,0,564.0,0.0097,0.3565,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,05.00,32TMQ,S2A,10000.0,-1000.0
S2A_MSIL2A_20150826T102026_N0500_R065_T32TMQ_20231011T014051,SCL_20m,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TMQ_20231011T014051.SAFE/GRANULE/L2A_T32TMQ_A000920_20150826T102655/IMG_DATA/R20m/T32TMQ_20150826T102026_SCL_20m.jp2,1,EPSG:32632,5490,5490,JP2OpenJPEG,uint8,,0,564,564,0,,,,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,05.00,32TMQ,S2A,,
S2A_MSIL2A_20150826T102026_N0500_R065_T32TMR_20231011T014051,B02_20m,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TMR_20231011T014051.SAFE/GRANULE/L2A_T32TMR_A000920_20150826T102655/IMG_DATA/R20m/T32TMR_20150826T102026_B02_20m.jp2,1,EPSG:32632,5490,5490,JP2OpenJPEG,uint16,,0,3585,3585,0,3585.0,0.008,1.4968,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,05.00,32TMR,S2A,10000.0,-1000.0
S2A_MSIL2A_20150826T102026_N0500_R065_T32TMR_20231011T014051,B03_20m,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TMR_20231011T014051.SAFE/GRANULE/L2A_T32TMR_A000920_20150826T102655/IMG_DATA/R20m/T32TMR_20150826T102026_B03_20m.jp2,1,EPSG:32632,5490,5490,JP2OpenJPEG,uint16,,0,3585,3585,0,3585.0,0.0152,1.4754,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,05.00,32TMR,S2A,10000.0,-1000.0
S2A_MSIL2A_20150826T102026_N0500_R065_T32TMR_20231011T014051,B04_20m,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TMR_20231011T014051.SAFE/GRANULE/L2A_T32TMR_A000920_20150826T102655/IMG_DATA/R20m/T32TMR_20150826T102026_B04_20m.jp2,1,EPSG:32632,5490,5490,JP2OpenJPEG,uint16,,0,3585,3585,0,3585.0,0.0067,1.4659,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,05.00,32TMR,S2A,10000.0,-1000.0
S2A_MSIL2A_20150826T102026_N0500_R065_T32TMR_20231011T014051,B8A_20m,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TMR_20231011T014051.SAFE/GRANULE/L2A_T32TMR_A000920_20150826T102655/IMG_DATA/R20m/T32TMR_20150826T102026_B8A_20m.jp2,1,EPSG:32632,5490,5490,JP2OpenJPEG,uint16,,0,3585,3585,0,3585.0,0.0178,1.4379,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,05.00,32TMR,S2A,10000.0,-1000.0
S2A_MSIL2A_20150826T102026_N0500_R065_T32TMR_20231011T014051,B11_20m,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TMR_20231011T014051.SAFE/GRANULE/L2A_T32TMR_A000920_20150826T102655/IMG_DATA/R20m/T32TMR_20150826T102026_B11_20m.jp2,1,EPSG:32632,5490,5490,JP2OpenJPEG,uint16,,0,3585,3585,0,3585.0,0.0131,0.9647,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,05.00,32TMR,S2A,10000.0,-1000.0
S2A_MSIL2A_20150826T102026_N0500_R065_T32TMR_20231011T014051,B12_20m,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TMR_20231011T014051.SAFE/GRANULE/L2A_T32TMR_A000920_20150826T102655/IMG_DATA/R20m/T32TMR_20150826T102026_B12_20m.jp2,1,EPSG:32632,5490,5490,JP2OpenJPEG,uint16,,0,3585,3585,0,3585.0,0.0091,0.7915,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,05.00,32TMR,S2A,10000.0,-1000.0
S2A_MSIL2A_20150826T102026_N0500_R065_T32TMR_20231011T014051,SCL_20m,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TMR_20231011T014051.SAFE/GRANULE/L2A_T32TMR_A000920_20150826T102655/IMG_DATA/R20m/T32TMR_20150826T102026_SCL_20m.jp2,1,EPSG:32632,5490,5490,JP2OpenJPEG,uint8,,0,3585,3585,0,,,,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,05.00,32TMR,S2A,,
S2A_MSIL2A_20150826T102026_N0500_R065_T32TNQ_20231011T014051,B02_20m,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TNQ_20231011T014051.SAFE/GRANULE/L2A_T32TNQ_A000920_20150826T102655/IMG_DATA/R20m/T32TNQ_20150826T102026_B02_20m.jp2,1,EPSG:32632,5490,5490,JP2OpenJPEG,uint16,,0,182,182,0,182.0,0.0337,0.5219,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,05.00,32TNQ,S2A,10000.0,-1000.0
S2A_MSIL2A_20150826T102026_N0500_R065_T32TNQ_20231011T014051,B03_20m,s3://eodata/Sentinel-2/MSI/L2A_N0500/2015/08/26/S2A_MSIL2A_20150826T102026_N0500_R065_T32TNQ_20231011T014051.SAFE/GRANULE/L2A_T32TNQ_A000920_20150826T102655/IMG_DATA/R20m/T32TNQ_20150826T102026_B03_20m.jp2,1,EPSG:32632,5490,5490,JP2OpenJPEG,uint16,,0,182,182,0,182.0,0.0447,0.49,PASS,2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,05.00,32TNQ,S2A,10000.0,-1000.0
