target_id,anchor_year,season_phase,s1_selected_date,optical_date,usable_n,NDVI_n,NDVI_median,NDVI_p10,NDVI_p90,NDVI_min,NDVI_max,NDWI_n,NDWI_median,NDWI_p10,NDWI_p90,NDWI_min,NDWI_max,MNDWI_n,MNDWI_median,MNDWI_p10,MNDWI_p90,MNDWI_min,MNDWI_max,LSWI_n,LSWI_median,LSWI_p10,LSWI_p90,LSWI_min,LSWI_max
2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,3556,3556,0.7337685042824091,0.46740924313810694,0.8320357644057774,0.04074917742343711,0.9169489029597997,3556,-0.6387413080330654,-0.7241518775495973,-0.4695847706366497,-0.8400000000000001,0.2416666666666666,3556,-0.3568866363935307,-0.5092365792806388,-0.24220399166167506,-0.6414835164835164,0.5050505050505051,3556,0.3832350592025405,0.047173509491952925,0.4767002885132127,-0.26505190311418686,0.5638518518518519
2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,1886,1886,0.7573378814217692,0.5658670226290363,0.8561770201828036,-0.6727272727272728,0.9484338376305135,1886,-0.6741176933686392,-0.7535644080484823,-0.55792766296973,-0.8690865813745908,0.8676470588235294,1886,-0.3726454610042748,-0.556706643403368,-0.279841532825797,-0.7570537570537571,0.6217303822937627,1886,0.4009054987270313,0.11791946567288439,0.4947686597260677,-0.7352941176470589,0.5733015494636472
2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,502,502,0.2591155593794532,0.01705864099071575,0.6937254873899601,-0.6121951219512196,0.9029990627928772,502,-0.26949865120699046,-0.6138937282229965,-0.01988127874572347,-0.786346913748467,0.6454849498327759,502,-0.23214281904721273,-0.3833942171957065,0.39048625498354783,-0.683491062039958,0.8879736408566722,502,0.15858107637680147,-0.052210634142301385,0.46802661336897666,-0.17207977207977204,0.8637274549098196
2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,244,244,0.34689686143729603,0.1802972716001037,0.6731147805920641,-0.29609929078014185,0.9209235209235209,244,-0.3693402777777778,-0.6114308663135134,-0.23696681202356779,-0.8691378826172425,0.14864864864864866,244,-0.3246236892088743,-0.4356500055011168,-0.1549026861928872,-0.6788421778084079,0.4944852941176471,244,0.07021736307844403,-0.05297421171180778,0.37254123869034866,-0.44319775596072936,0.5356148030242737
2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,1117,1111,0.849624060150376,0.5570063694267516,0.9236674709366091,0.11390319258496387,0.9814710836608646,1116,-0.7157015633960191,-0.8199416954896186,-0.4986867403158356,-0.9565059804276912,0.19225449515905946,1116,-0.420240876993093,-0.5412693230118966,-0.25204207557148733,-0.8603026775320138,0.31202435312024357,1117,0.433181751503594,0.2520531685452574,0.5212467187296914,-0.1478432663812974,0.6010969832959361
2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,1936,1936,0.795685398894945,0.4787681384393766,0.8818559884685775,-0.3028322440087146,0.9573667711598747,1936,-0.6701527000754226,-0.787991338194178,-0.4614076405119236,-0.8828268033687293,0.6261682242990654,1936,-0.3947853952223733,-0.5197061621416788,-0.23680861416490379,-0.6645739910313903,0.6492890995260663,1936,0.4124471350217442,0.09871077633091642,0.5133234925747003,-0.31189575451870527,0.6146831891512744
2020|late_season|2020-08-29|ascending|15,2020,late_season,2020-08-29,2020-08-29,0,0,,,,,,0,,,,,,0,,,,,,0,,,,,
2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,1771,1771,0.7796747967479676,0.5694639348863318,0.8746208291203236,-0.18681318681318682,0.9447092469018114,1771,-0.6913160250671442,-0.7732821764911058,-0.55565371024735,-0.8866487455197133,0.5487804878048781,1771,-0.37834132967786155,-0.5838150289017341,-0.2771381578947368,-0.7539988968560396,0.2758620689655172,1771,0.41840530486818706,0.10262659084754948,0.510411376333164,-0.5637860082304528,0.5966386554621849
2025|establishment|2025-05-15|descending|66,2025,establishment,2025-05-15,2025-05-15,4006,4006,0.2415340934462587,0.09365595793366535,0.7611825673285351,-0.6077235772357724,0.9462749213011543,4006,-0.291399307876827,-0.6763388658923764,-0.15853299677357427,-0.867626474705059,0.853658536585366,4006,-0.35499677951532305,-0.4887464898427654,-0.17346826868018286,-0.6933445661331088,0.9102773246329526,4006,-0.034822661205119294,-0.14007744170823655,0.4135875679980082,-0.4858044164037856,0.8809523809523808
2025|establishment|2025-05-17|ascending|15,2025,establishment,2025-05-17,2025-05-17,3554,3553,0.21494686321563247,0.08883287986613267,0.7035899486297287,-0.483644859813084,0.9369250985545334,3553,-0.26953026877668923,-0.6421414893934565,-0.15257390553960967,-0.8482788862091646,0.7780748663101604,3554,-0.3386642901293775,-0.4649361241512645,-0.15327798657945407,-0.6985230234578627,0.8937198067632849,3553,-0.04244402985074625,-0.138554943006789,0.38818407645993874,-0.5652173913043478,0.8585526315789475
