target_id,anchor_year,season_phase,s1_selected_date,optical_date,support_n,owner_scl_confirmed_usable_n,owner_scl_confirmed_usable_share,all_six_bands_present_n,all_six_bands_present_share,owner_vs_c2pb_scl_disagree_n,owner_vs_c2pb_scl_disagree_share,optical_usable_base_n,optical_usable_base_share,all_four_indices_valid_n,all_four_indices_valid_share,B02_median_all_available,B02_median_usable,B03_median_all_available,B03_median_usable,B04_median_all_available,B04_median_usable,B8A_median_all_available,B8A_median_usable,B11_median_all_available,B11_median_usable,B12_median_all_available,B12_median_usable
2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,4331,3556,0.8210574924959594,4331,1.0,0,0.0,3556,0.8210574924959594,3556,0.8210574924959594,0.0508,0.0498,0.0904,0.0896,0.0629,0.0617,0.4028,0.40505,0.1863,0.18595,0.0955,0.0952
2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,4331,1886,0.4354652505195105,1901,0.43892865389055646,0,0.0,1886,0.4354652505195105,1886,0.4354652505195105,0.0348,0.0348,0.0765,0.0765,0.0534,0.053599999999999995,0.3897,0.3906,0.1678,0.1682,0.0851,0.0852
2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,4331,502,0.11590856615100438,1767,0.40798891710921265,0,0.0,502,0.11590856615100438,502,0.11590856615100438,0.0894,0.0746,0.1095,0.098,0.1098,0.0966,0.1851,0.18365,0.1554,0.1545,0.1057,0.0997
2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,4331,244,0.056338028169014086,4331,1.0,3,0.0006926806742091896,244,0.056338028169014086,244,0.056338028169014086,0.379,0.0849,0.3751,0.11044999999999999,0.3695,0.11965,0.4427,0.26105,0.373,0.22105000000000002,0.3318,0.14884999999999998
2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,4331,1117,0.2579081043638882,1821,0.42045716924497806,0,0.0,1117,0.2579081043638882,1111,0.25652274301546985,0.0497,0.0332,0.079,0.0619,0.0523,0.0303,0.4154,0.3868,0.1774,0.154,0.0922,0.074
2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,4331,1936,0.44700992842299697,4331,1.0,1,0.00023089355806972986,1936,0.44700992842299697,1936,0.44700992842299697,0.0905,0.0556,0.1094,0.08,0.0804,0.04605,0.4159,0.408,0.1814,0.17404999999999998,0.1031,0.0881
2020|late_season|2020-08-29|ascending|15,2020,late_season,2020-08-29,2020-08-29,4331,0,0.0,4331,1.0,0,0.0,0,0.0,0,0.0,0.9907,,0.9562,,0.9237,,0.9147,,0.4059,,0.3966,
2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,4331,1771,0.40891249134149155,1780,0.4109905333641191,0,0.0,1771,0.40891249134149155,1771,0.40891249134149155,0.0294,0.0294,0.0743,0.0743,0.0499,0.0499,0.39475,0.3954,0.1642,0.1643,0.0824,0.0824
2025|establishment|2025-05-15|descending|66,2025,establishment,2025-05-15,2025-05-15,4331,4006,0.9249595936273378,4331,1.0,0,0.0,4006,0.9249595936273378,4006,0.9249595936273378,0.0728,0.07655,0.1074,0.1115,0.1164,0.1213,0.2504,0.25875,0.2336,0.2433,0.1707,0.1815
2025|establishment|2025-05-17|ascending|15,2025,establishment,2025-05-17,2025-05-17,4331,3554,0.8205957053798199,4331,1.0,0,0.0,3554,0.8205957053798199,3553,0.8203648118217501,0.0951,0.09755,0.1319,0.1362,0.1443,0.14945,0.2793,0.28375,0.2794,0.2917,0.2201,0.23375
2025|mid_season|2025-07-14|descending|66,2025,mid_season,2025-07-14,2025-07-14,4331,4139,0.9556684368506119,4331,1.0,0,0.0,4139,0.9556684368506119,4138,0.9554375432925422,0.0357,0.0354,0.0685,0.0683,0.0367,0.0364,0.3662,0.3672,0.1743,0.1747,0.0841,0.0843
2025|mid_season|2025-07-16|ascending|15,2025,mid_season,2025-07-16,2025-07-16,4331,1596,0.36850611867928884,4331,1.0,1,0.00023089355806972986,1596,0.36850611867928884,1596,0.36850611867928884,0.0531,0.0339,0.0802,0.064,0.0549,0.036,0.3631,0.36235,0.1757,0.1665,0.0948,0.08305
2025|late_season|2025-08-31|descending|66,2025,late_season,2025-08-31,2025-08-31,4331,1775,0.4098360655737705,1785,0.4121450011544678,0,0.0,1775,0.4098360655737705,1774,0.40960517201570074,0.0303,0.0303,0.0684,0.0683,0.0419,0.0418,0.3891,0.3895,0.1666,0.1667,0.0851,0.0852
2025|late_season|2025-09-02|ascending|15,2025,late_season,2025-09-02,2025-09-02,4331,1471,0.3396444239205726,4331,1.0,0,0.0,1471,0.3396444239205726,1471,0.3396444239205726,0.1735,0.0512,0.1874,0.0891,0.1644,0.0591,0.497,0.4133,0.2476,0.1865,0.1567,0.093
