target_id,anchor_year,season_phase,s1_selected_date,optical_date,support_n,s1_dualpol_valid_n,s1_dualpol_valid_share,optical_usable_base_n,optical_usable_base_share,joint_base_valid_n,joint_base_valid_share,VV_db_median_joint,VV_db_p10_joint,VV_db_p90_joint,VH_db_median_joint,VH_db_p10_joint,VH_db_p90_joint,VV_minus_VH_db_median_joint,VV_minus_VH_db_p10_joint,VV_minus_VH_db_p90_joint,NDVI_median_joint,NDVI_p10_joint,NDVI_p90_joint,NDWI_median_joint,NDWI_p10_joint,NDWI_p90_joint,MNDWI_median_joint,MNDWI_p10_joint,MNDWI_p90_joint,LSWI_median_joint,LSWI_p10_joint,LSWI_p90_joint
2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,4331,4330,0.9997691064419303,3556,0.8210574924959594,3555,0.8208265989378897,-10.207827986557028,-13.917147639178332,-6.5062444804094755,-15.946263769261824,-19.933109136373307,-12.887698575821508,5.93169247510075,1.6999548546779124,10.587893124705355,0.7338840007182619,0.4675940540301377,0.8320414371759245,-0.6387684301821336,-0.7241546668526202,-0.470091810683425,-0.3568464730290456,-0.5092434043392207,-0.2421787438030414,0.3832522585128561,0.04752394919775099,0.4767107843161052
2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,4331,4331,1.0,1886,0.4354652505195105,1886,0.4354652505195105,-9.530672669269741,-13.116097762214878,-6.555691193757607,-15.275732521288772,-18.938210962129503,-12.450674981192968,5.8241759799214305,1.8440713471872812,9.83533034063315,0.7573378814217692,0.5658670226290363,0.8561770201828036,-0.6741176933686392,-0.7535644080484823,-0.55792766296973,-0.3726454610042748,-0.556706643403368,-0.27984153282579693,0.40090549872703124,0.11791946567288436,0.4947686597260677
2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,4331,4081,0.9422766104825675,502,0.11590856615100438,468,0.10805818517663357,-8.779334878162555,-16.833934567999027,-4.492569299675634,-17.962441656086973,-25.825327006502278,-13.165054373798762,8.657459871126724,3.3905744995212173,15.262060416909316,0.2766642483401486,0.04215604218028126,0.6985040587912943,-0.2815306290805383,-0.6176520293362543,-0.042802513029656694,-0.23959744874913605,-0.38582668080593846,0.32217622666982265,0.154688110453759,-0.050034483268383896,0.44405488885513195
2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,4331,4294,0.99145693835142,244,0.056338028169014086,242,0.05587624105287462,-8.90322746669893,-12.255984577479493,-5.442304622258352,-17.568476851817785,-23.012599419115226,-13.415864003452308,8.710391222700046,4.627070979762762,14.264790626458781,0.34725781615388607,0.1799764253535519,0.6733342491323479,-0.3693402777777778,-0.6119691722923735,-0.23656469491694684,-0.32462368920887424,-0.4363367041987211,-0.15484949567980028,0.07134095244777665,-0.053200086310638106,0.3745080668941616
2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,4331,4292,0.9909951512352805,1117,0.2579081043638882,1106,0.25536827522512123,-9.873399287649619,-13.719143177371446,-6.448259134568032,-18.0632192077945,-22.44028256695612,-14.451242596629017,8.011920250107035,3.0278595296879347,13.058804717514544,0.8500737849743695,0.5579595422424145,0.9237005586219652,-0.7160520144958431,-0.8203449360271878,-0.5002084105275078,-0.4214837350807396,-0.5418144791772732,-0.25053475935828873,0.43337421154866607,0.2533710953124395,0.5215404105997504
2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,4331,4330,0.9997691064419303,1936,0.44700992842299697,1936,0.44700992842299697,-10.143604156717396,-13.291703729984489,-7.223721422639229,-17.395472575683396,-20.594510351046196,-14.530783865656648,7.148676611958433,3.734699282511306,10.829851370899494,0.795685398894945,0.47876813843937654,0.8818559884685775,-0.6701527000754226,-0.787991338194178,-0.4614076405119236,-0.3947853952223733,-0.5197061621416788,-0.23680861416490373,0.4124471350217441,0.09871077633091635,0.5133234925747003
2020|late_season|2020-08-29|ascending|15,2020,late_season,2020-08-29,2020-08-29,4331,4319,0.9972292773031632,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,
2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,4331,4331,1.0,1771,0.40891249134149155,1771,0.40891249134149155,-10.628442048731046,-13.20602112827246,-7.923700485793438,-16.357557082085336,-19.007673281230282,-14.030511989680164,5.7873753061760205,2.721312345793292,9.035667164797488,0.7796747967479676,0.5694639348863318,0.8746208291203236,-0.6913160250671442,-0.7732821764911058,-0.55565371024735,-0.3783413296778615,-0.5838150289017341,-0.2771381578947368,0.418405304868187,0.1026265908475494,0.510411376333164
2025|establishment|2025-05-15|descending|66,2025,establishment,2025-05-15,2025-05-15,4331,4161,0.960748095128146,4006,0.9249595936273378,3855,0.8900946663588086,-11.130276339511347,-16.776553042437886,-6.814477973986516,-20.521588285643514,-28.077422254886976,-15.43487206363485,9.32887747810517,4.19609323063937,15.514868343450196,0.2448754683711703,0.09566473704632843,0.7660269249031874,-0.2949667616334283,-0.6821734000523765,-0.1618478975063145,-0.3574315222272115,-0.4896581182470301,-0.19325997824449842,-0.0337078651685393,-0.13992521535342153,0.40931370000350065
2025|establishment|2025-05-17|ascending|15,2025,establishment,2025-05-17,2025-05-17,4331,3898,0.900023089355807,3554,0.8205957053798199,3216,0.7425536827522512,-11.80628970009038,-16.805266533858507,-7.083677085222206,-20.72996909163388,-28.003137893227144,-14.972714085997904,8.752534266561579,3.280049116124067,15.931010303552931,0.2252202961751958,0.09341115979442705,0.729709503963506,-0.2768290010829426,-0.6536397326289373,-0.15834758155935091,-0.3423438557577042,-0.46706143997725,-0.18464218708121144,-0.03843648192725365,-0.13742742148649623,0.38371360775927754
