target_id,anchor_year,season_phase,s1_selected_date,optical_date,ff_quartile_within_year,n,ff_median,ff_p10,ff_p90,VV_db_n,VV_db_median,VH_db_n,VH_db_median,VV_minus_VH_db_n,VV_minus_VH_db_median,NDVI_n,NDVI_median,NDWI_n,NDWI_median,MNDWI_n,MNDWI_median,LSWI_n,LSWI_median
2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,1,893,0.0,0.0,0.0,893,-10.094367280152236,893,-16.08041815181003,893,6.144013430449265,893,0.7296055151283033,893,-0.6383483626008544,893,-0.4112763749567624,893,0.344041450777202
2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,2,718,0.00936236853400865,0.00103216651128599,0.030033526048064276,718,-10.219627845396744,718,-15.85726570711294,718,6.0721964214169555,718,0.7327006623656729,718,-0.6383565340186839,718,-0.3619698602387091,718,0.3785555184826265
2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,3,709,0.100323332473636,0.05096731204539536,0.1739986653129258,709,-10.380663896235232,709,-15.909564084492107,709,5.703351386636099,709,0.7327973516197683,709,-0.6369536171025004,709,-0.3096484667165296,709,0.4162709718265274
2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,4,649,0.305673877087732,0.20885481203595818,0.517185215353966,649,-10.523067443458755,649,-15.977238718761964,649,5.535665563933602,649,0.7395169082125604,649,-0.6394569513662142,649,-0.2867892976588629,649,0.4306818181818181
2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,1,141,0.0,0.0,0.0,141,-8.788990310561957,141,-15.254196789465556,141,6.665639262583138,141,0.7088452088452089,141,-0.651528643514396,141,-0.4924496644295302,141,0.2657071053232808
2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,2,279,0.0126664158330338,0.00163800171576436,0.033135390592118126,279,-9.203704225014146,279,-15.134364486605673,279,6.114758165745844,279,0.7229795520934761,279,-0.6612965093977753,279,-0.4298093587521664,279,0.3224043715846994
2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,3,597,0.115711548676093,0.05539016537368296,0.1781096091493968,597,-9.519350369541376,597,-15.192698167681938,597,5.723263752044607,597,0.7576901302132478,597,-0.6730070527890575,597,-0.3581199579095054,597,0.4106847806131816
2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,4,710,0.301742092085381,0.2094335190951827,0.48166567652175796,710,-9.854298130015906,710,-15.341000216565622,710,5.466759397964404,710,0.7687926178437887,710,-0.6799688363655642,710,-0.34702441046004234,710,0.4313291880734321
2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,1,65,0.0,0.0,0.0,65,-7.543299086644418,65,-15.58702196575127,65,8.384971376152908,65,0.4370744010088272,65,-0.4210526315789473,65,-0.3089851325145443,65,0.1483775080505326
2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,2,38,0.006020282045938,0.00091407658183008,0.010587542504072171,38,-8.250894635713674,38,-15.715951864470323,38,8.95780598806051,38,0.3768176106727432,38,-0.3633959641428951,38,-0.30328909286364014,38,0.10162652810218009
2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,3,128,0.04397348954807965,0.015610843204194669,0.08510490107582881,128,-8.232744899621466,128,-16.929102068348534,128,8.377754091369702,128,0.2954648634965667,128,-0.300670365712415,128,-0.2647452731092437,128,0.0968545851158963
2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,4,183,0.188414628307025,0.114507001359016,0.32144565383593293,183,-9.359042856600976,183,-19.97449105175516,183,8.919721774304145,183,0.1872946330777656,183,-0.2034827475008061,183,-0.0565675934803451,183,0.2152834839769926
2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,1,133,0.0,0.0,0.0,133,-8.87665639288954,133,-17.719729650988736,133,8.837631896191617,133,0.3525487056311716,133,-0.3923990498812351,133,-0.340506329113924,133,0.0673873873873874
2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,2,38,0.0020792991466199,0.00028252318346246003,0.01064692803192887,38,-8.999925504397797,38,-17.787987946133683,38,9.147518705059564,38,0.3174208856022274,38,-0.33837736074993896,38,-0.29167967156814134,38,0.05199458726759855
2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,3,16,0.019898546413363298,0.0123278667393606,0.04624901013448835,16,-9.682935731027557,16,-18.321198712171572,16,9.207777008500301,16,0.3108354496815341,16,-0.31642972704908034,16,-0.3065998026567798,16,0.03018457557010605
2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,4,12,0.175294439867139,0.1277133548632265,0.2650155786735319,12,-10.363408224810184,12,-20.912536768717757,12,11.456918772432703,12,0.14638417917741614,12,-0.14224762635019939,12,0.07586381485969985,12,0.29728017615783386
2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,1,203,0.0,0.0,0.0,203,-10.312630451011117,203,-16.164617368138984,203,6.024994365880714,203,0.775502166207168,203,-0.6895340669632404,203,-0.4750175932441942,203,0.3470046827062814
2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,2,149,0.0060849679866805,0.0010750201763585,0.010539676994085303,149,-10.109510085750292,149,-16.008606660989045,149,5.641790003892131,149,0.7399705944129384,149,-0.6749708057609964,149,-0.4095536413469068,149,0.3774925509970203
2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,3,524,0.0476339458643148,0.015652588978409782,0.08778745995756865,524,-10.725581338091445,524,-16.353740234172896,524,5.89649201512071,524,0.7797043780296958,524,-0.6871416012745806,524,-0.3711058881309198,524,0.4229102878704688
2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,4,749,0.192075105383992,0.1178524665534496,0.3432723497351017,749,-10.815436153754924,749,-16.401774419162898,749,5.64190448872022,749,0.7842554035296452,749,-0.6945795065730236,749,-0.3554967888175293,749,0.4436838830118232
2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,1,105,0.0,0.0,0.0,105,-10.619339450483237,105,-17.142056794205025,105,6.800299147352661,104,0.7950391979451878,104,-0.6910945429898663,104,-0.4117282236999836,105,0.4043853342918763
2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,2,88,0.0060551276801561,0.00106149775674563,0.01082439580932259,88,-9.912005699629695,88,-18.392134034833983,88,7.890508352625259,88,0.8176515060370706,88,-0.7027702204785637,88,-0.41961318109333284,88,0.433316181144124
2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,3,321,0.0503012947738171,0.0156118820421398,0.0900683475968738,321,-9.901551634899317,321,-17.96960613699258,321,7.942303331476198,317,0.8414662084765177,321,-0.7084705178090391,321,-0.4167242570836212,321,0.4343720491029273
2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,4,528,0.1916601238772275,0.1179319713807972,0.3485094120105106,528,-9.682889671233557,528,-18.18601803811699,528,8.385087527394882,527,0.8658736669401148,528,-0.728659539519878,528,-0.4236494279746874,528,0.44118727409975
2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,1,724,0.0,0.0,0.0,724,-10.130529034117615,724,-16.957015917661515,724,6.830675917990898,724,0.8158540253981634,724,-0.6971096325600912,724,-0.43034010973476156,724,0.41031413763811453
2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,2,266,0.00291779829810055,0.00036335689655965,0.0085623926764431,266,-10.19720320270722,266,-17.25059127386141,266,6.977286136824876,266,0.8034149704267268,266,-0.6733057771683058,266,-0.3672271827042394,266,0.4186047188203977
2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,3,278,0.03406276060268285,0.01488932499196384,0.08800359688699247,278,-10.076134188110036,278,-17.95159781998767,278,7.862709831219666,278,0.7734312942064927,278,-0.6513570047878718,278,-0.3348454632810751,278,0.4238504097430461
2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,4,282,0.207515271380544,0.118346212230002,0.3767961629355952,282,-10.2676241018749,282,-18.38292529641847,282,7.775884305508969,282,0.7763967351964791,282,-0.639056447535521,282,-0.3032418230801772,282,0.43872809873705787
