target_id,anchor_year,season_phase,s1_selected_date,optical_date,sensor_variable,paired_n,spearman_rho_ff_sensor,absolute_rho
2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,VV_db,2969,-0.08059152998369892,0.08059152998369892
2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,VH_db,2969,-0.006371817006667772,0.006371817006667772
2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,VV_minus_VH_db,2969,-0.07072814839288542,0.07072814839288542
2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,NDVI,2969,0.04365337111242186,0.04365337111242186
2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,NDWI,2969,-0.0031929791018153637,0.0031929791018153637
2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,MNDWI,2969,0.4476218864997768,0.4476218864997768
2015|late_season|2015-08-26|ascending|15,2015,late_season,2015-08-26,2015-08-26,LSWI,2969,0.3528536151302571,0.3528536151302571
2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,VV_db,1727,-0.11446817540383905,0.11446817540383905
2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,VH_db,1727,-0.02905969995085542,0.02905969995085542
2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,VV_minus_VH_db,1727,-0.08248412825732226,0.08248412825732226
2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,NDVI,1727,0.17703435459075087,0.17703435459075087
2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,NDWI,1727,-0.13042477994685342,0.13042477994685342
2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,MNDWI,1727,0.2731425036303654,0.2731425036303654
2015|late_season|2015-08-30|descending|66,2015,late_season,2015-08-30,2015-08-29,LSWI,1727,0.37345986914599116,0.37345986914599116
2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,VV_db,414,-0.2507461264644153,0.2507461264644153
2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,VH_db,414,-0.33060055545810696,0.33060055545810696
2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,VV_minus_VH_db,414,0.06556891177590025,0.06556891177590025
2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,NDVI,414,-0.40089380283845816,0.40089380283845816
2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,NDWI,414,0.4385661495535766,0.4385661495535766
2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,MNDWI,414,0.5031013932592261,0.5031013932592261
2020|establishment|2020-05-13|ascending|15,2020,establishment,2020-05-13,2020-05-14,LSWI,414,0.16398654084168338,0.16398654084168338
2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,VV_db,199,-0.13337514393075048,0.13337514393075048
2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,VH_db,199,-0.13884411027312207,0.13884411027312207
2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,VV_minus_VH_db,199,0.08022999078224857,0.08022999078224857
2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,NDVI,199,-0.21994317216961726,0.21994317216961726
2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,NDWI,199,0.26847661217735264,0.26847661217735264
2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,MNDWI,199,0.3333951335273264,0.3333951335273264
2020|establishment|2020-05-17|descending|66,2020,establishment,2020-05-17,2020-05-16,LSWI,199,0.04895070323099813,0.04895070323099813
2020|late_season|2020-08-29|ascending|15,2020,late_season,2020-08-29,2020-08-29,VV_db,0,,
2020|late_season|2020-08-29|ascending|15,2020,late_season,2020-08-29,2020-08-29,VH_db,0,,
2020|late_season|2020-08-29|ascending|15,2020,late_season,2020-08-29,2020-08-29,VV_minus_VH_db,0,,
2020|late_season|2020-08-29|ascending|15,2020,late_season,2020-08-29,2020-08-29,NDVI,0,,
2020|late_season|2020-08-29|ascending|15,2020,late_season,2020-08-29,2020-08-29,NDWI,0,,
2020|late_season|2020-08-29|ascending|15,2020,late_season,2020-08-29,2020-08-29,MNDWI,0,,
2020|late_season|2020-08-29|ascending|15,2020,late_season,2020-08-29,2020-08-29,LSWI,0,,
2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,VV_db,1625,-0.11539606065037343,0.11539606065037343
2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,VH_db,1625,-0.05640645546492407,0.05640645546492407
2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,VV_minus_VH_db,1625,-0.05669140872627206,0.05669140872627206
2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,NDVI,1625,0.10537322107038434,0.10537322107038434
2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,NDWI,1625,-0.05239647361178363,0.05239647361178363
2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,MNDWI,1625,0.2391855795159482,0.2391855795159482
2020|late_season|2020-09-02|descending|66,2020,late_season,2020-09-02,2020-09-01,LSWI,1625,0.2996917157508834,0.2996917157508834
2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,VV_db,1042,0.08756470671853342,0.08756470671853342
2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,VH_db,1042,-0.04876972085606544,0.04876972085606544
2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,VV_minus_VH_db,1042,0.10954443329913964,0.10954443329913964
2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,NDVI,1036,0.1822545192251432,0.1822545192251432
2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,NDWI,1041,-0.08742154043522443,0.08742154043522443
2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,MNDWI,1041,-0.038876747343484,0.038876747343484
2020|mid_season|2020-07-12|ascending|15,2020,mid_season,2020-07-12,2020-07-13,LSWI,1042,0.09900598428215146,0.09900598428215146
2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,VV_db,1550,-0.02809582660570163,0.02809582660570163
2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,VH_db,1550,-0.2351991754151709,0.2351991754151709
2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,VV_minus_VH_db,1550,0.15417617967388403,0.15417617967388403
2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,NDVI,1550,-0.16682860729150958,0.16682860729150958
2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,NDWI,1550,0.21887932759473055,0.21887932759473055
2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,MNDWI,1550,0.4546001579821618,0.4546001579821618
2020|mid_season|2020-07-16|descending|66,2020,mid_season,2020-07-16,2020-07-15,LSWI,1550,0.09934663265308889,0.09934663265308889
