season_phase,sensor_variable,eligible_targets_n,positive_targets_n,negative_targets_n,majority_sign,sign_agreement_share,median_rho,median_absolute_rho
establishment,LSWI,2,2,0,positive,1.0,0.1064686220363407,0.1064686220363407
establishment,MNDWI,2,2,0,positive,1.0,0.41824826339327625,0.41824826339327625
establishment,NDVI,2,0,2,negative,1.0,-0.31041848750403767,0.31041848750403767
establishment,NDWI,2,2,0,positive,1.0,0.3535213808654646,0.3535213808654646
establishment,VH_db,2,0,2,negative,1.0,-0.23472233286561445,0.23472233286561445
establishment,VV_db,2,0,2,negative,1.0,-0.19206063519758285,0.19206063519758285
establishment,VV_minus_VH_db,2,2,0,positive,1.0,0.07289945127907435,0.07289945127907435
late_season,LSWI,3,3,0,positive,1.0,0.3528536151302571,0.3528536151302571
late_season,MNDWI,3,3,0,positive,1.0,0.2731425036303654,0.2731425036303654
late_season,NDVI,3,3,0,positive,1.0,0.1053732210703843,0.1053732210703843
late_season,NDWI,3,0,3,negative,1.0,-0.0523964736117836,0.0523964736117836
late_season,VH_db,3,0,3,negative,1.0,-0.0290596999508554,0.0290596999508554
late_season,VV_db,3,0,3,negative,1.0,-0.114468175403839,0.114468175403839
late_season,VV_minus_VH_db,3,0,3,negative,1.0,-0.0707281483928854,0.0707281483928854
mid_season,LSWI,2,2,0,positive,1.0,0.0991763084676201,0.0991763084676201
mid_season,MNDWI,2,1,1,tie,0.5,0.2078617053193389,0.2467384526628229
mid_season,NDVI,2,1,1,tie,0.5,0.007712955966816856,0.17454156325832637
mid_season,NDWI,2,1,1,tie,0.5,0.06572889357975305,0.15315043401497747
mid_season,VH_db,2,0,2,negative,1.0,-0.14198444813561817,0.14198444813561817
mid_season,VV_db,2,1,1,tie,0.5,0.0297344400564159,0.057830266662117505
mid_season,VV_minus_VH_db,2,2,0,positive,1.0,0.1318603064865118,0.1318603064865118
