year,orbit_state,relative_orbit,scenes_n,acquisition_dates_n,first_date,last_date,median_gap_days,max_gap_days
2015,ascending,15,14,14,2015-04-04,2015-09-19,12.0,24
2015,ascending,88,10,10,2015-04-21,2015-09-24,12.0,48
2015,descending,66,23,12,2015-05-02,2015-09-23,12.0,24
2015,descending,168,21,15,2015-04-03,2015-09-30,12.0,24
2016,ascending,15,27,14,2016-04-10,2016-09-25,12.0,24
2016,ascending,88,27,15,2016-04-03,2016-09-30,12.0,24
2016,descending,66,25,15,2016-04-02,2016-09-29,12.0,24
2016,descending,168,19,14,2016-04-09,2016-09-30,12.0,36
2017,ascending,15,60,30,2017-04-05,2017-09-26,6.0,6
2017,ascending,88,56,28,2017-04-04,2017-09-25,6.0,12
2017,descending,66,47,30,2017-04-03,2017-09-30,6.0,12
2017,descending,168,40,30,2017-04-04,2017-09-25,6.0,6
2018,ascending,15,56,28,2018-04-06,2018-09-27,6.0,12
2018,ascending,88,76,29,2018-04-05,2018-09-26,6.0,12
2018,descending,66,64,30,2018-04-04,2018-09-25,6.0,6
2018,descending,168,62,30,2018-04-05,2018-09-26,6.0,6
2019,ascending,15,82,28,2019-04-01,2019-09-28,6.0,12
2019,ascending,88,120,30,2019-04-06,2019-09-27,6.0,6
2019,descending,66,109,29,2019-04-05,2019-09-26,6.0,12
2019,descending,168,108,29,2019-04-06,2019-09-27,6.0,12
2020,ascending,15,84,29,2020-04-01,2020-09-28,6.0,12
2020,ascending,88,96,28,2020-04-06,2020-09-27,6.0,12
2020,descending,66,102,30,2020-04-05,2020-09-26,6.0,6
2020,descending,168,120,30,2020-04-06,2020-09-27,6.0,6
2021,ascending,15,49,31,2021-04-02,2021-09-29,6.0,6
2021,ascending,88,60,30,2021-04-01,2021-09-28,6.0,12
2021,descending,66,44,29,2021-04-06,2021-09-27,6.0,12
2021,descending,168,58,31,2021-04-01,2021-09-28,6.0,6
2022,ascending,15,16,16,2022-04-03,2022-09-30,12.0,12
2022,ascending,88,30,15,2022-04-08,2022-09-23,12.0,12
2022,descending,66,30,15,2022-04-07,2022-09-22,12.0,12
2022,descending,168,28,14,2022-04-02,2022-09-29,12.0,24
2023,ascending,15,15,15,2023-04-10,2023-09-25,12.0,12
2023,ascending,88,33,16,2023-04-03,2023-09-30,12.0,12
2023,descending,66,32,16,2023-04-02,2023-09-29,12.0,12
2023,descending,168,30,15,2023-04-09,2023-09-24,12.0,12
2024,ascending,15,16,15,2024-04-04,2024-09-19,12.0,12
2024,ascending,88,33,15,2024-04-09,2024-09-24,12.0,12
2024,descending,66,32,15,2024-04-08,2024-09-23,12.0,12
2024,descending,168,34,16,2024-04-03,2024-09-30,12.0,12
2025,ascending,15,30,27,2025-04-11,2025-09-26,6.0,12
2025,ascending,88,59,30,2025-04-04,2025-09-25,6.0,6
2025,descending,66,47,29,2025-04-03,2025-09-30,6.0,12
2025,descending,168,46,30,2025-04-04,2025-09-25,6.0,6
