path,suffix,rows_n,columns_n,date_col,orbit_state_col,relative_orbit_col,id_col,platform_col,structural_score,read_status,notes,rows_sort
outputs\diagnostics\design_c\c2n_scene_point_calibrated_samples.csv,.csv,199222.0,26.0,selected_date,orbit_state,relative_orbit,canonical_scene_id,platform,4,PASS,,199222.0
outputs\diagnostics\design_c\c2nr_scene_point_calibrated_samples.csv,.csv,199222.0,26.0,selected_date,orbit_state,relative_orbit,canonical_scene_id,platform,4,PASS,,199222.0
outputs\diagnostics\design_c\c2o_scene_point_noise_corrected_samples.csv,.csv,199222.0,43.0,selected_date,orbit_state,relative_orbit,canonical_scene_id,platform,4,PASS,,199222.0
outputs\diagnostics\design_c\c2or_scene_point_noise_corrected_samples.csv,.csv,199222.0,43.0,selected_date,orbit_state,relative_orbit,canonical_scene_id,platform,4,PASS,,199222.0
outputs\diagnostics\design_c\c2m_target_point_signal_samples.csv,.csv,191857.0,12.0,selected_date,orbit_state,relative_orbit,canonical_scene_id,platform,4,PASS,,191857.0
outputs\diagnostics\design_c\c2mr_recovered_point_signal_samples.csv,.csv,7365.0,12.0,selected_date,orbit_state,relative_orbit,canonical_scene_id,platform,4,PASS,,7365.0
data\design_c\raw\sentinel1\sentinel1_grd_scene_inventory_2014_latest2026.csv,.csv,4994.0,17.0,datetime,orbit_state,relative_orbit,scene_id,platform,4,PASS,,4994.0
data\design_c\raw\sentinel1\sentinel1_grd_scene_inventory_2015_2023.csv,.csv,4110.0,8.0,datetime,orbit_state,relative_orbit,scene_id,,4,PASS,,4110.0
outputs\diagnostics\design_c\c2k_validation_item_metadata.csv,.csv,36.0,16.0,datetime,orbit_state,relative_orbit,scene_id,platform,4,PASS,,36.0
outputs\diagnostics\design_c\c2kr_validation_item_metadata_complete.csv,.csv,36.0,17.0,datetime,orbit_state,relative_orbit,scene_id,platform,4,PASS,,36.0
outputs\diagnostics\design_c\c2l_canonical_scene_inventory.csv,.csv,36.0,17.0,datetime,orbit_state,relative_orbit,scene_id,platform,4,PASS,,36.0
outputs\diagnostics\design_c\c2l_target_mosaic_asset_plan.csv,.csv,34.0,17.0,selected_date,orbit_state,relative_orbit,canonical_scene_id,platform,4,PASS,,34.0
outputs\diagnostics\design_c\c2q_s1_point_polarization_collapsed.csv,.csv,121266.0,15.0,selected_date,orbit_state,relative_orbit,,,3,PASS,,121266.0
outputs\diagnostics\design_c\c2qr_s1_point_polarization_collapsed.csv,.csv,121266.0,15.0,selected_date,orbit_state,relative_orbit,,,3,PASS,,121266.0
data\design_c\raw\sentinel2\sentinel2_l2a_scene_inventory_2015_latest.csv,.csv,4804.0,25.0,date,,relative_orbit,item_id,platform,3,PASS,,4804.0
outputs\diagnostics\design_c\c2is_track_date_spatial_coverage.csv,.csv,995.0,11.0,date,orbit_state,relative_orbit,,,3,PASS,,995.0
outputs\diagnostics\design_c\c2it_track_date_rice_support_coverage.csv,.csv,995.0,12.0,date,orbit_state,relative_orbit,,,3,PASS,,995.0
outputs\diagnostics\design_c\c2j_primary_sentinel_track_date_universe.csv,.csv,492.0,14.0,date,orbit_state,relative_orbit,,,3,PASS,,492.0
outputs\diagnostics\design_c\c2m_target_polarization_signal_summary.csv,.csv,36.0,21.0,selected_date,orbit_state,relative_orbit,,platform,3,PASS,,36.0
outputs\diagnostics\design_c\c2mr_augmented_target_polarization_signal_summary.csv,.csv,36.0,21.0,selected_date,orbit_state,relative_orbit,,platform,3,PASS,,36.0
outputs\diagnostics\design_c\c2n_target_polarization_calibrated_summary.csv,.csv,36.0,39.0,selected_date,orbit_state,relative_orbit,,platform,3,PASS,,36.0
outputs\diagnostics\design_c\c2nr_target_polarization_calibrated_summary.csv,.csv,36.0,39.0,selected_date,orbit_state,relative_orbit,,platform,3,PASS,,36.0
outputs\diagnostics\design_c\c2o_target_polarization_noise_effect_summary.csv,.csv,36.0,37.0,selected_date,orbit_state,relative_orbit,,platform,3,PASS,,36.0
outputs\diagnostics\design_c\c2or_target_polarization_noise_effect_summary.csv,.csv,36.0,38.0,selected_date,orbit_state,relative_orbit,,platform,3,PASS,,36.0
