scene_id,resolve_status,resolve_source,remote_attempts,platform,datetime,end_datetime,instrument_mode,polarizations,orbit_state,relative_orbit,absolute_orbit,product_type,processing_level,bbox,asset_count,stac_item_url
S1A_IW_GRDH_1SDH_20160703T171433_20160703T171502_011987_0127E7_E254_COG,OK,CACHE,0,sentinel-1a,2016-07-03T17:14:33.859745Z,2016-07-03T17:15:02.877947Z,IW,HH|HV,ascending,15,11987,,L1,"[7.769894, 44.206093, 11.346286, 46.339375]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDH_20160703T171433_20160703T171502_011987_0127E7_E254_COG
S1A_IW_GRDH_1SDH_20160820T171428_20160820T171457_012687_013EFA_F8E1_COG,OK,CACHE,0,sentinel-1a,2016-08-20T17:14:28.175429Z,2016-08-20T17:14:57.197676Z,IW,HH|HV,ascending,15,12687,,L1,"[7.875448, 43.708984, 11.450511, 45.839859]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDH_20160820T171428_20160820T171457_012687_013EFA_F8E1_COG
S1A_IW_GRDH_1SDH_20160820T171457_20160820T171522_012687_013EFA_A180_COG,OK,CACHE,0,sentinel-1a,2016-08-20T17:14:57.199173Z,2016-08-20T17:15:22.197498Z,IW,HH|HV,ascending,15,12687,,L1,"[7.456852, 45.449856, 11.071508, 47.338978]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDH_20160820T171457_20160820T171522_012687_013EFA_A180_COG
S1A_IW_GRDH_1SDV_20150403T052645_20150403T052710_005315_006BAF_A1B7_COG,OK,CACHE,0,sentinel-1a,2015-04-03T05:26:45.357265Z,2015-04-03T05:27:10.356243Z,IW,VV|VH,descending,168,5315,,L1,"[8.57012, 44.636127, 12.191187, 46.536819]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150403T052645_20150403T052710_005315_006BAF_A1B7_COG
S1A_IW_GRDH_1SDV_20150403T052710_20150403T052735_005315_006BAF_18BD_COG,OK,CACHE,0,sentinel-1a,2015-04-03T05:27:10.357732Z,2015-04-03T05:27:35.355212Z,IW,VV|VH,descending,168,5315,,L1,"[8.239372, 43.137455, 11.796596, 45.035545]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150403T052710_20150403T052735_005315_006BAF_18BD_COG
S1A_IW_GRDH_1SDV_20150404T171422_20150404T171447_005337_006C3A_D8EE_COG,OK,CACHE,0,sentinel-1a,2015-04-04T17:14:22.614157Z,2015-04-04T17:14:47.613973Z,IW,VV|VH,ascending,15,5337,,L1,"[7.779336, 44.188366, 11.398627, 46.088936]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150404T171422_20150404T171447_005337_006C3A_D8EE_COG
S1A_IW_GRDH_1SDV_20150415T052640_20150415T052705_005490_007029_3A38_COG,OK,CACHE,0,sentinel-1a,2015-04-15T05:26:40.276154Z,2015-04-15T05:27:05.275361Z,IW,VV|VH,descending,168,5490,,L1,"[8.642899, 44.966793, 12.278287, 46.86816]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150415T052640_20150415T052705_005490_007029_3A38_COG
S1A_IW_GRDH_1SDV_20150415T052705_20150415T052730_005490_007029_EBC9_COG,OK,CACHE,0,sentinel-1a,2015-04-15T05:27:05.276857Z,2015-04-15T05:27:30.274567Z,IW,VV|VH,descending,168,5490,,L1,"[8.311255, 43.468277, 11.888474, 45.366253]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150415T052705_20150415T052730_005490_007029_EBC9_COG
S1A_IW_GRDH_1SDV_20150416T171423_20150416T171448_005512_00709D_38D0_COG,OK,CACHE,0,sentinel-1a,2015-04-16T17:14:23.003399Z,2015-04-16T17:14:48.003046Z,IW,VV|VH,ascending,15,5512,,L1,"[7.779081, 44.188503, 11.39829, 46.089085]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150416T171423_20150416T171448_005512_00709D_38D0_COG
S1A_IW_GRDH_1SDV_20150421T172237_20150421T172302_005585_007258_FE7B_COG,OK,CACHE,0,sentinel-1a,2015-04-21T17:22:37.765000Z,2015-04-21T17:23:02.764236Z,IW,VV|VH,ascending,88,5585,,L1,"[5.714526, 44.246326, 9.341566, 46.142849]",11,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-1-grd/items/S1A_IW_GRDH_1SDV_20150421T172237_20150421T172302_005585_007258_FE7B_COG
