duplicate_group_key,scene_id,canonical_rank,is_canonical_scene,canonical_scene_id,duplicate_group_size,platform,datetime,end_datetime,orbit_state,relative_orbit,bbox,vv_assets_n,vh_assets_n,data_role_assets_n,tiff_assets_n,asset_rows_n
"S1A|2015-04-03 05:26:45.357265+00:00|2015-04-03 05:27:10.356243+00:00|descending|168|(8.57012, 44.636127, 12.191187, 46.536819)",S1A_IW_GRDH_1SDV_20150403T052645_20150403T052710_005315_006BAF_A1B7_COG,1,True,S1A_IW_GRDH_1SDV_20150403T052645_20150403T052710_005315_006BAF_A1B7_COG,1,S1A,2015-04-03 05:26:45.357265+00:00,2015-04-03 05:27:10.356243+00:00,descending,168,"[8.57012, 44.636127, 12.191187, 46.536819]",4,4,3,2,11
"S1A|2015-04-03 05:27:10.357732+00:00|2015-04-03 05:27:35.355212+00:00|descending|168|(8.239372, 43.137455, 11.796596, 45.035545)",S1A_IW_GRDH_1SDV_20150403T052710_20150403T052735_005315_006BAF_18BD_COG,1,True,S1A_IW_GRDH_1SDV_20150403T052710_20150403T052735_005315_006BAF_18BD_COG,1,S1A,2015-04-03 05:27:10.357732+00:00,2015-04-03 05:27:35.355212+00:00,descending,168,"[8.239372, 43.137455, 11.796596, 45.035545]",4,4,3,2,11
"S1A|2015-04-04 17:14:22.614157+00:00|2015-04-04 17:14:47.613973+00:00|ascending|15|(7.779336, 44.188366, 11.398627, 46.088936)",S1A_IW_GRDH_1SDV_20150404T171422_20150404T171447_005337_006C3A_D8EE_COG,1,True,S1A_IW_GRDH_1SDV_20150404T171422_20150404T171447_005337_006C3A_D8EE_COG,1,S1A,2015-04-04 17:14:22.614157+00:00,2015-04-04 17:14:47.613973+00:00,ascending,15,"[7.779336, 44.188366, 11.398627, 46.088936]",4,4,3,2,11
"S1A|2015-04-15 05:26:40.276154+00:00|2015-04-15 05:27:05.275361+00:00|descending|168|(8.642899, 44.966793, 12.278287, 46.86816)",S1A_IW_GRDH_1SDV_20150415T052640_20150415T052705_005490_007029_3A38_COG,1,True,S1A_IW_GRDH_1SDV_20150415T052640_20150415T052705_005490_007029_3A38_COG,1,S1A,2015-04-15 05:26:40.276154+00:00,2015-04-15 05:27:05.275361+00:00,descending,168,"[8.642899, 44.966793, 12.278287, 46.86816]",4,4,3,2,11
"S1A|2015-04-15 05:27:05.276857+00:00|2015-04-15 05:27:30.274567+00:00|descending|168|(8.311255, 43.468277, 11.888474, 45.366253)",S1A_IW_GRDH_1SDV_20150415T052705_20150415T052730_005490_007029_EBC9_COG,1,True,S1A_IW_GRDH_1SDV_20150415T052705_20150415T052730_005490_007029_EBC9_COG,1,S1A,2015-04-15 05:27:05.276857+00:00,2015-04-15 05:27:30.274567+00:00,descending,168,"[8.311255, 43.468277, 11.888474, 45.366253]",4,4,3,2,11
"S1A|2015-04-16 17:14:23.003399+00:00|2015-04-16 17:14:48.003046+00:00|ascending|15|(7.779081, 44.188503, 11.39829, 46.089085)",S1A_IW_GRDH_1SDV_20150416T171423_20150416T171448_005512_00709D_38D0_COG,1,True,S1A_IW_GRDH_1SDV_20150416T171423_20150416T171448_005512_00709D_38D0_COG,1,S1A,2015-04-16 17:14:23.003399+00:00,2015-04-16 17:14:48.003046+00:00,ascending,15,"[7.779081, 44.188503, 11.39829, 46.089085]",4,4,3,2,11
"S1A|2015-04-21 17:22:37.765000+00:00|2015-04-21 17:23:02.764236+00:00|ascending|88|(5.714526, 44.246326, 9.341566, 46.142849)",S1A_IW_GRDH_1SDV_20150421T172237_20150421T172302_005585_007258_FE7B_COG,1,True,S1A_IW_GRDH_1SDV_20150421T172237_20150421T172302_005585_007258_FE7B_COG,1,S1A,2015-04-21 17:22:37.765000+00:00,2015-04-21 17:23:02.764236+00:00,ascending,88,"[5.714526, 44.246326, 9.341566, 46.142849]",4,4,3,2,11
"S1A|2015-04-27 05:26:41.096576+00:00|2015-04-27 05:27:06.094430+00:00|descending|168|(8.644002, 44.966694, 12.279477, 46.868069)",S1A_IW_GRDH_1SDV_20150427T052641_20150427T052706_005665_007448_066B_COG,1,True,S1A_IW_GRDH_1SDV_20150427T052641_20150427T052706_005665_007448_066B_COG,1,S1A,2015-04-27 05:26:41.096576+00:00,2015-04-27 05:27:06.094430+00:00,descending,168,"[8.644002, 44.966694, 12.279477, 46.868069]",4,4,3,2,11
"S1A|2015-04-27 05:27:06.095921+00:00|2015-04-27 05:27:31.095271+00:00|descending|168|(8.312284, 43.468094, 11.889681, 45.366245)",S1A_IW_GRDH_1SDV_20150427T052706_20150427T052731_005665_007448_072D_COG,1,True,S1A_IW_GRDH_1SDV_20150427T052706_20150427T052731_005665_007448_072D_COG,1,S1A,2015-04-27 05:27:06.095921+00:00,2015-04-27 05:27:31.095271+00:00,descending,168,"[8.312284, 43.468094, 11.889681, 45.366245]",4,4,3,2,11
"S1A|2015-04-28 17:14:38.955298+00:00|2015-04-28 17:15:10.506845+00:00|ascending|15|(7.379722, 45.085686, 11.157321, 47.377041)",S1A_IW_GRDH_1SDV_20150428T171438_20150428T171510_005687_0074BD_CDC0_COG,1,True,S1A_IW_GRDH_1SDV_20150428T171438_20150428T171510_005687_0074BD_CDC0_COG,1,S1A,2015-04-28 17:14:38.955298+00:00,2015-04-28 17:15:10.506845+00:00,ascending,15,"[7.379722, 45.085686, 11.157321, 47.377041]",4,4,3,2,11
