year,orbit_state,relative_orbit,acquisition_dates_n_AUXILIARY_HHHV,acquisition_dates_n_OUTSIDE_STUDY_SUPPORT,acquisition_dates_n_PRIMARY_VVVH,scene_rows_n_AUXILIARY_HHHV,scene_rows_n_OUTSIDE_STUDY_SUPPORT,scene_rows_n_PRIMARY_VVVH
2015,ascending,15,0,0,14,0,0,14
2015,ascending,88,0,0,10,0,0,10
2015,descending,66,0,0,12,0,0,23
2015,descending,168,0,0,15,0,0,21
2016,ascending,15,2,0,12,3,0,24
2016,ascending,88,0,0,15,0,0,27
2016,descending,66,0,0,15,0,0,25
2016,descending,168,0,0,14,0,0,19
2017,ascending,15,0,0,30,0,0,60
2017,ascending,88,0,0,28,0,0,56
2017,descending,66,0,0,30,0,0,47
2017,descending,168,0,0,30,0,0,40
2018,ascending,15,0,0,28,0,0,56
2018,ascending,88,0,0,29,0,0,76
2018,descending,66,0,0,30,0,0,64
2018,descending,168,0,0,30,0,0,62
2019,ascending,15,0,0,28,0,0,82
2019,ascending,88,0,0,30,0,0,120
2019,descending,66,0,0,29,0,0,109
2019,descending,168,0,0,29,0,0,108
2020,ascending,15,0,0,29,0,0,84
2020,ascending,88,0,0,28,0,0,96
2020,descending,66,0,0,30,0,0,102
2020,descending,168,0,0,30,0,0,120
2021,ascending,15,0,0,31,0,0,49
2021,ascending,88,0,0,30,0,0,60
2021,descending,66,0,0,29,0,0,44
2021,descending,168,0,0,31,0,0,58
2022,ascending,15,0,0,16,0,0,16
2022,ascending,88,0,0,15,0,0,30
2022,descending,66,0,0,15,0,0,30
2022,descending,168,0,0,14,0,0,28
2023,ascending,15,0,0,15,0,0,15
2023,ascending,88,0,0,16,0,0,33
2023,descending,66,0,0,16,0,0,32
2023,descending,168,0,0,15,0,0,30
2024,ascending,15,0,0,15,0,0,16
2024,ascending,88,0,0,15,0,0,33
2024,descending,66,0,0,15,0,0,32
2024,descending,168,0,0,16,0,0,34
2025,ascending,15,0,0,27,0,0,30
2025,ascending,88,0,0,30,0,0,59
2025,descending,66,0,1,29,0,2,45
2025,descending,168,0,0,30,0,0,46
