acquisition_datetime,orbit_state,relative_orbit,scene_id,platform,year,month,day,acquisition_date,temporal_design_included,temporal_design_reason,instrument_mode,polarizations,product_type,measurement_disposition,measurement_reason,support_points_inside_n,support_coverage_fraction
2015-04-04 17:14:22.614157+00:00,ascending,15,S1A_IW_GRDH_1SDV_20150404T171422_20150404T171447_005337_006C3A_D8EE_COG,sentinel-1a,2015,4,4,2015-04-04,True,stable_track_and_apr_sep_and_year_2015_2025,IW,VV|VH,,PRIMARY_VVVH,IW mode with VV+VH; primary homogeneous SAR backbone. Use only support points actually covered by each raster.,,
2015-04-16 17:14:23.003399+00:00,ascending,15,S1A_IW_GRDH_1SDV_20150416T171423_20150416T171448_005512_00709D_38D0_COG,sentinel-1a,2015,4,16,2015-04-16,True,stable_track_and_apr_sep_and_year_2015_2025,IW,VV|VH,,PRIMARY_VVVH,IW mode with VV+VH; primary homogeneous SAR backbone. Use only support points actually covered by each raster.,,
2015-04-28 17:14:38.955298+00:00,ascending,15,S1A_IW_GRDH_1SDV_20150428T171438_20150428T171510_005687_0074BD_CDC0_COG,sentinel-1a,2015,4,28,2015-04-28,True,stable_track_and_apr_sep_and_year_2015_2025,IW,VV|VH,,PRIMARY_VVVH,IW mode with VV+VH; primary homogeneous SAR backbone. Use only support points actually covered by each raster.,,
2015-05-22 17:14:25.193808+00:00,ascending,15,S1A_IW_GRDH_1SDV_20150522T171425_20150522T171450_006037_007CBA_4DE2_COG,sentinel-1a,2015,5,22,2015-05-22,True,stable_track_and_apr_sep_and_year_2015_2025,IW,VV|VH,,PRIMARY_VVVH,IW mode with VV+VH; primary homogeneous SAR backbone. Use only support points actually covered by each raster.,,
2015-06-03 17:14:26.012646+00:00,ascending,15,S1A_IW_GRDH_1SDV_20150603T171426_20150603T171451_006212_0081AF_101C_COG,sentinel-1a,2015,6,3,2015-06-03,True,stable_track_and_apr_sep_and_year_2015_2025,IW,VV|VH,,PRIMARY_VVVH,IW mode with VV+VH; primary homogeneous SAR backbone. Use only support points actually covered by each raster.,,
2015-06-15 17:14:26.780736+00:00,ascending,15,S1A_IW_GRDH_1SDV_20150615T171426_20150615T171451_006387_0086C9_677D_COG,sentinel-1a,2015,6,15,2015-06-15,True,stable_track_and_apr_sep_and_year_2015_2025,IW,VV|VH,,PRIMARY_VVVH,IW mode with VV+VH; primary homogeneous SAR backbone. Use only support points actually covered by each raster.,,
2015-06-27 17:14:27.639146+00:00,ascending,15,S1A_IW_GRDH_1SDV_20150627T171427_20150627T171452_006562_008BB6_62AA_COG,sentinel-1a,2015,6,27,2015-06-27,True,stable_track_and_apr_sep_and_year_2015_2025,IW,VV|VH,,PRIMARY_VVVH,IW mode with VV+VH; primary homogeneous SAR backbone. Use only support points actually covered by each raster.,,
2015-07-09 17:14:26.849183+00:00,ascending,15,S1A_IW_GRDH_1SDV_20150709T171426_20150709T171451_006737_009069_C5EF_COG,sentinel-1a,2015,7,9,2015-07-09,True,stable_track_and_apr_sep_and_year_2015_2025,IW,VV|VH,,PRIMARY_VVVH,IW mode with VV+VH; primary homogeneous SAR backbone. Use only support points actually covered by each raster.,,
2015-07-21 17:14:27.968370+00:00,ascending,15,S1A_IW_GRDH_1SDV_20150721T171427_20150721T171452_006912_00957B_A420_COG,sentinel-1a,2015,7,21,2015-07-21,True,stable_track_and_apr_sep_and_year_2015_2025,IW,VV|VH,,PRIMARY_VVVH,IW mode with VV+VH; primary homogeneous SAR backbone. Use only support points actually covered by each raster.,,
2015-08-02 17:14:43.710038+00:00,ascending,15,S1A_IW_GRDH_1SDV_20150802T171443_20150802T171509_007087_009A61_BC34_COG,sentinel-1a,2015,8,2,2015-08-02,True,stable_track_and_apr_sep_and_year_2015_2025,IW,VV|VH,,PRIMARY_VVVH,IW mode with VV+VH; primary homogeneous SAR backbone. Use only support points actually covered by each raster.,,
