bridge,subset,year,n,pearson_r,spearman_rho,rmse,mae,bias,observed_mean_ff,predicted_mean_ff,observed_sd_ff,predicted_sd_ff,mean_composites_valid,min_composites_valid,prediction_below_zero_n,prediction_above_one_n
valid__index_then_aggregate__fractional_logit,development,2017,3635,0.8507426017553512,0.860510714609005,0.06516396938401449,0.041825601806051986,-0.011260621181172967,0.09325158196437212,0.08199096078319916,0.12027159398323532,0.1134931517158436,15.0,15,0,0
valid__index_then_aggregate__fractional_logit,development,2018,3345,0.8797918537842502,0.8648888058411962,0.0800156588848694,0.0538151765473763,0.01040061682079431,0.13525153331960993,0.14565215014040425,0.15658572017126604,0.16525334336713707,15.0,15,0,0
valid__index_then_aggregate__fractional_logit,development,2019,3412,0.8853817043286253,0.8794221246287598,0.06664536600328565,0.04300079035915356,0.0032596920799837907,0.10063801198112465,0.10389770406110845,0.13737801460867002,0.14044415968389043,15.0,15,0,0
valid__index_then_aggregate__fractional_logit,development,2020,3782,0.872880948579774,0.8549425641559264,0.053378193019790764,0.0357786535389956,0.0013979250628448404,0.06828424831653164,0.06968217337937647,0.10933664564568957,0.09405359130823879,15.0,15,0,0
valid__index_then_aggregate__fractional_logit,development,2021,3778,0.8801399004530133,0.8237701331296505,0.04995097390699051,0.033175445926555594,-0.002717503238645369,0.05941831683707428,0.05670081359842891,0.10160382472984494,0.07669880485752155,15.0,15,0,0
valid__index_then_aggregate__fractional_logit,development,pooled_2017_2021,17952,0.8745684576576522,0.8576766704165376,0.06342184424892787,0.041188626738882184,5.430633166371452e-14,0.09010117003218442,0.0901011700322387,0.12834904557250826,0.12446253780097098,15.0,15,0,0
valid__index_then_aggregate__fractional_logit,confirmation,2014,3743,0.9316481238670388,0.9184600384788282,0.05972499149928062,0.04380129110665208,-0.00956464783589804,0.15018792966775887,0.14062328183186087,0.16198564511659735,0.1543911386137986,15.0,15,0,0
valid__index_then_aggregate__fractional_logit,confirmation,2015,3637,0.93446701102928,0.9207359442271298,0.05519051930151133,0.03959138653615647,0.0006236827600047825,0.11641896003252471,0.11704264279252949,0.1550192103319776,0.14492403317832117,15.0,15,0,0
valid__index_then_aggregate__fractional_logit,confirmation,2016,3693,0.944850220791799,0.9254359493041905,0.055720311192006364,0.03974075711233577,0.02019448280808908,0.11060548248879429,0.13079996529688337,0.1482604940855217,0.1585232752918867,15.0,15,0,0
valid__index_then_aggregate__fractional_logit,confirmation,pooled_2014_2016,11073,0.9326867591764532,0.9191429549920116,0.05693620438464021,0.04106427539601335,0.0037068619487622143,0.1258949900854178,0.12960185203418,0.1561936337557442,0.15305643949960435,15.0,15,0,0
valid__index_then_aggregate__fractional_logit,confirmation_balanced,pooled_2014_2016,10203,0.9327899949636748,0.9285110977617007,0.05788079462939464,0.04169176370668185,0.0022262037207214803,0.13468715393693678,0.13691335765765827,0.15860514786271324,0.15676434887953228,15.0,15,0,0
