year,candidate,qa_rule,aggregation_order,reference_cells,feature_cells,matched_reference_cells,seasonal_signal_nonmissing,mean_composites_valid,min_composites_valid,native_rows_retained,native_rows_total
2017,valid__index_then_aggregate,valid,index_then_aggregate,3635,4331,3635,3635,15.0,15,259858,259860
2017,valid__aggregate_then_index,valid,aggregate_then_index,3635,4331,3635,3635,15.0,15,259858,259860
2017,basic_clear__index_then_aggregate,basic_clear,index_then_aggregate,3635,4331,3635,3635,14.595873452544705,11,247930,259860
2017,basic_clear__aggregate_then_index,basic_clear,aggregate_then_index,3635,4331,3635,3635,14.595873452544705,11,247930,259860
2017,strict__index_then_aggregate,strict,index_then_aggregate,3635,4331,3635,3635,14.585419532324622,11,247514,259860
2017,strict__aggregate_then_index,strict,aggregate_then_index,3635,4331,3635,3635,14.585419532324622,11,247514,259860
2018,valid__index_then_aggregate,valid,index_then_aggregate,3345,4331,3345,3345,15.0,15,259860,259860
2018,valid__aggregate_then_index,valid,aggregate_then_index,3345,4331,3345,3345,15.0,15,259860,259860
2018,basic_clear__index_then_aggregate,basic_clear,index_then_aggregate,3345,4331,3345,3345,14.57847533632287,10,247109,259860
2018,basic_clear__aggregate_then_index,basic_clear,aggregate_then_index,3345,4331,3345,3345,14.57847533632287,10,247109,259860
2018,strict__index_then_aggregate,strict,index_then_aggregate,3345,4331,3345,3345,14.423318385650225,10,243574,259860
2018,strict__aggregate_then_index,strict,aggregate_then_index,3345,4331,3345,3345,14.423318385650225,10,243574,259860
2019,valid__index_then_aggregate,valid,index_then_aggregate,3412,4331,3412,3412,15.0,15,259857,259860
2019,valid__aggregate_then_index,valid,aggregate_then_index,3412,4331,3412,3412,15.0,15,259857,259860
2019,basic_clear__index_then_aggregate,basic_clear,index_then_aggregate,3412,4331,3412,3412,14.762309495896835,10,251120,259860
2019,basic_clear__aggregate_then_index,basic_clear,aggregate_then_index,3412,4331,3412,3412,14.762309495896835,10,251120,259860
2019,strict__index_then_aggregate,strict,index_then_aggregate,3412,4331,3412,3412,14.704572098475968,10,249742,259860
2019,strict__aggregate_then_index,strict,aggregate_then_index,3412,4331,3412,3412,14.704572098475968,10,249742,259860
2020,valid__index_then_aggregate,valid,index_then_aggregate,3782,4331,3782,3782,15.0,15,259860,259860
2020,valid__aggregate_then_index,valid,aggregate_then_index,3782,4331,3782,3782,15.0,15,259860,259860
2020,basic_clear__index_then_aggregate,basic_clear,index_then_aggregate,3782,4331,3782,3782,14.922263352723427,12,256082,259860
2020,basic_clear__aggregate_then_index,basic_clear,aggregate_then_index,3782,4331,3782,3782,14.922263352723427,12,256082,259860
2020,strict__index_then_aggregate,strict,index_then_aggregate,3782,4331,3782,3782,14.892120571126387,11,255313,259860
2020,strict__aggregate_then_index,strict,aggregate_then_index,3782,4331,3782,3782,14.892120571126387,11,255313,259860
2021,valid__index_then_aggregate,valid,index_then_aggregate,3778,4331,3778,3778,15.0,15,259859,259860
2021,valid__aggregate_then_index,valid,aggregate_then_index,3778,4331,3778,3778,15.0,15,259859,259860
2021,basic_clear__index_then_aggregate,basic_clear,index_then_aggregate,3778,4331,3778,3778,14.639227104287983,10,246317,259860
2021,basic_clear__aggregate_then_index,basic_clear,aggregate_then_index,3778,4331,3778,3778,14.639227104287983,10,246317,259860
2021,strict__index_then_aggregate,strict,index_then_aggregate,3778,4331,3778,3778,14.60137638962414,9,245246,259860
2021,strict__aggregate_then_index,strict,aggregate_then_index,3778,4331,3778,3778,14.60137638962414,9,245246,259860
