candidate,subset,year,n,pearson_r,spearman_rho,rmse,mae,bias,observed_mean_ff,predicted_mean_ff,observed_sd_ff,predicted_sd_ff,mean_composites_valid,min_composites_valid,prediction_below_zero_n,prediction_above_one_n
basic_clear__aggregate_then_index,development,2017,3635,0.8609511554401627,0.8499429085313756,0.06179610360161749,0.043970120040972886,-0.008490101521664767,0.09325158196437212,0.08476148044270736,0.12027159398323532,0.10570038976763374,14.595873452544705,11,807,0
basic_clear__aggregate_then_index,development,2018,3345,0.8715495201456125,0.8589918298723694,0.07752341468156726,0.0574787308083198,0.009894505935824137,0.13525153331960993,0.14514603925543407,0.15658572017126604,0.13207645499315596,14.57847533632287,10,402,0
basic_clear__aggregate_then_index,development,2019,3412,0.8857176536130178,0.8710682315768821,0.06380224990576656,0.04710633776204445,-0.0006552178558267023,0.10063801198112465,0.09998279412529797,0.13737801460867002,0.11959482725013192,14.762309495896835,10,664,0
basic_clear__aggregate_then_index,validation,2020,3782,0.8474398861520018,0.8472777835749357,0.05844843827872644,0.043299935130697055,0.0012091611015869295,0.06828424831653164,0.06949340941811856,0.10933664564568957,0.09946334263021575,14.922263352723427,12,1020,0
basic_clear__aggregate_then_index,validation,2021,3778,0.837006486455816,0.8129315684384959,0.05697578604750634,0.04239692946156444,-0.009746311365602675,0.05941831683707428,0.0496720054714716,0.10160382472984494,0.09285771645840324,14.639227104287983,10,1368,0
basic_clear__aggregate_then_index,development,pooled_2017_2019,10392,0.8737535213120854,0.8533000404695965,0.06787319190943543,0.049348014371330046,-3.7092901669539486e-17,0.10919580218188851,0.10919580218188844,0.1395575389974095,0.12193889112463517,14.644919168591224,10,1873,0
basic_clear__aggregate_then_index,validation,pooled_2020_2021,7560,0.8417203171163768,0.8280453301586114,0.05771719877698705,0.0428486711865194,-0.004265676858868405,0.06385362806132132,0.05958795120245293,0.10562921662611179,0.09672177827748493,14.780820105820105,10,2388,0
basic_clear__aggregate_then_index,development_balanced,pooled_2017_2019,9186,0.8791236485766408,0.8710023403955997,0.0682133720804715,0.04966682852627961,-0.000993767262238413,0.12024000854061342,0.11924624127837499,0.14302187059165322,0.12321530330322414,14.633681689527542,10,1443,0
basic_clear__aggregate_then_index,validation_balanced,pooled_2020_2021,6124,0.855563107368333,0.864522491070248,0.05824669491654306,0.042853065381419767,-0.0039012514138352787,0.07678334746987774,0.07288209605604246,0.11215727591724997,0.09853076599050695,14.793272370999347,10,1605,0
basic_clear__index_then_aggregate,development,2017,3635,0.8669802099362582,0.8596842265066525,0.06054114524472874,0.04315940356738118,-0.008003677273801614,0.09325158196437212,0.08524790469057052,0.12027159398323532,0.10740098859752867,14.595873452544705,11,852,0
basic_clear__index_then_aggregate,development,2018,3345,0.8760235175707692,0.8643743012621207,0.07616954299605208,0.05624593915797081,0.008293567592760226,0.13525153331960993,0.14354510091237016,0.15658572017126604,0.13151482037512335,14.57847533632287,10,415,0
basic_clear__index_then_aggregate,development,2019,3412,0.88986525704672,0.8794509243431791,0.06267354821977607,0.046374446295226274,0.0003960677879498505,0.10063801198112465,0.10103407976907451,0.13737801460867002,0.12135131979189087,14.762309495896835,10,678,0
basic_clear__index_then_aggregate,validation,2020,3782,0.8533622197102766,0.8543414527860486,0.05746263129844445,0.04271790277772723,0.0004298705958101242,0.06828424831653164,0.06871411891234176,0.10933664564568957,0.1006340080926429,14.922263352723427,12,1052,0
basic_clear__index_then_aggregate,validation,2021,3778,0.8441879540509866,0.8237855749424661,0.05601318062674501,0.04181742849761954,-0.009782058465445328,0.05941831683707428,0.049636258371628945,0.10160382472984494,0.09450291517832432,14.639227104287983,10,1396,0
basic_clear__index_then_aggregate,development,pooled_2017_2019,10392,0.8786630761653301,0.8614160593240809,0.0666274735855449,0.0484273199778825,-9.91423178264189e-17,0.10919580218188851,0.1091958021818884,0.1395575389974095,0.12262405651752684,14.644919168591224,10,1945,0
basic_clear__index_then_aggregate,validation,pooled_2020_2021,7560,0.8483894786338781,0.8371330375390498,0.05674291772920294,0.04226790385838241,-0.004673392366282879,0.06385362806132132,0.05918023569503845,0.10562921662611179,0.09807681386239651,14.780820105820105,10,2448,0
basic_clear__index_then_aggregate,development_balanced,pooled_2017_2019,9186,0.8839581688329654,0.87906227788651,0.06692365109851334,0.048725740357514494,-0.0007690693563639122,0.12024000854061342,0.1194709391842495,0.14302187059165322,0.12382054220759703,14.633681689527542,10,1494,0
basic_clear__index_then_aggregate,validation_balanced,pooled_2020_2021,6124,0.8615587170875,0.8736845653508072,0.05716048312115512,0.042169488294336865,-0.003913509228003492,0.07678334746987774,0.07286983824187425,0.11215727591724997,0.09989412034585893,14.793272370999347,10,1646,0
strict__aggregate_then_index,development,2017,3635,0.8609330425193205,0.8500941778411513,0.06173734219516067,0.04395565244283944,-0.008021532506686036,0.09325158196437212,0.08523004945768609,0.12027159398323532,0.10570443366931612,14.585419532324622,11,802,0
strict__aggregate_then_index,development,2018,3345,0.8706702609443098,0.8584289117670757,0.07769543198596285,0.05759382375934622,0.009386830515786346,0.13525153331960993,0.1446383638353963,0.15658572017126604,0.1320610443901908,14.423318385650225,10,399,0
strict__aggregate_then_index,development,2019,3412,0.8855500490898345,0.8715790089664257,0.06384029209733312,0.04706037869482464,-0.0006567049863716911,0.10063801198112465,0.09998130699475298,0.13737801460867002,0.11975968018026627,14.704572098475968,10,671,0
strict__aggregate_then_index,validation,2020,3782,0.8476886692202164,0.847841701992485,0.058426530445450854,0.04331106968681304,0.001674027579921583,0.06828424831653164,0.0699582758964532,0.10933664564568957,0.09957374462489803,14.892120571126387,11,1012,0
strict__aggregate_then_index,validation,2021,3778,0.8368824923521893,0.8132091834883226,0.056938817483938,0.042353624071258915,-0.009412897839955027,0.05941831683707428,0.05000541899711925,0.10160382472984494,0.09284733316140349,14.60137638962414,9,1360,0
strict__aggregate_then_index,development,pooled_2017_2019,10392,0.8735287152312451,0.8536624438489117,0.0679295203183327,0.04936491043220517,1.3213277875831347e-16,0.10919580218188851,0.10919580218188864,0.1395575389974095,0.12190751774124145,14.572363356428022,10,1872,0
strict__aggregate_then_index,validation,pooled_2020_2021,7560,0.8417720594751561,0.8284074186762463,0.05768786356835879,0.04283260017152686,-0.003866502080963844,0.06385362806132132,0.05998712598035748,0.10562921662611179,0.09678035753884077,14.746825396825397,9,2372,0
strict__aggregate_then_index,development_balanced,pooled_2017_2019,9186,0.8788160707713464,0.8710889497328519,0.06829379702381708,0.04970772801833163,-0.0009636994799759682,0.12024000854061342,0.11927630906063746,0.14302187059165322,0.12317560135623186,14.568364903113434,10,1444,0
strict__aggregate_then_index,validation_balanced,pooled_2020_2021,6124,0.8555856208558207,0.8644964615619685,0.058215154985845285,0.042847443482326254,-0.0034484909444761147,0.07678334746987774,0.07333485652540161,0.11215727591724997,0.09856016440715416,14.772207707380797,9,1584,0
strict__index_then_aggregate,development,2017,3635,0.8669711536986932,0.8598137416283262,0.060482002805465326,0.0431351680404356,-0.007528238548800793,0.09325158196437212,0.08572334341557135,0.12027159398323532,0.10739986477978637,14.585419532324622,11,835,0
strict__index_then_aggregate,development,2018,3345,0.8752474676944405,0.8638576672781065,0.0763240863180354,0.05635575142139283,0.007771075323546733,0.13525153331960993,0.14302260864315666,0.15658572017126604,0.13151417387784167,14.423318385650225,10,407,0
strict__index_then_aggregate,development,2019,3412,0.8896356259680639,0.8799106163284278,0.06273272310957813,0.04634630282536549,0.0004017878568665819,0.10063801198112465,0.10103979983799123,0.13737801460867002,0.12150190136088143,14.704572098475968,10,688,0
strict__index_then_aggregate,validation,2020,3782,0.8535726569638911,0.8548491559826692,0.05744202674769274,0.04274629966879952,0.0009107765740158378,0.06828424831653164,0.06919502489054748,0.10933664564568957,0.10074388020843791,14.892120571126387,11,1050,0
strict__index_then_aggregate,validation,2021,3778,0.8440485684622967,0.824036123705226,0.055978900883664647,0.041783606220478504,-0.009461867043989287,0.05941831683707428,0.049956449793084994,0.10160382472984494,0.09448268295018594,14.60137638962414,9,1397,0
strict__index_then_aggregate,development,pooled_2017_2019,10392,0.8784433535367768,0.8617855854985161,0.06668387247490826,0.04844494895801477,1.6597791484388407e-16,0.10919580218188851,0.10919580218188867,0.1395575389974095,0.12259339256822399,14.572363356428022,10,1930,0
strict__index_then_aggregate,validation,pooled_2020_2021,7560,0.8484109295284017,0.837450428264084,0.05671556922388495,0.042265207625445445,-0.004272801149373495,0.06385362806132132,0.05958082691194785,0.10562921662611179,0.09813132978588854,14.746825396825397,9,2447,0
strict__index_then_aggregate,development_balanced,pooled_2017_2019,9186,0.8836472023039995,0.8791473831147337,0.06700699810580688,0.048770165087336205,-0.000741089539418366,0.12024000854061342,0.11949891900119503,0.14302187059165322,0.12378324997461483,14.568364903113434,10,1478,0
strict__index_then_aggregate,validation_balanced,pooled_2020_2021,6124,0.8615545335310203,0.8736168919021903,0.05713360344944703,0.042175455729968454,-0.0034610424333565214,0.07678334746987774,0.07332230503652122,0.11215727591724997,0.09992018431286992,14.772207707380797,9,1640,0
valid__aggregate_then_index,development,2017,3635,0.8711641557603194,0.8505415472264939,0.05978115888947587,0.042856686737437616,-0.0092857633462886,0.09325158196437212,0.08396581861808351,0.12027159398323532,0.10593316177523969,15.0,15,827,0
valid__aggregate_then_index,development,2018,3345,0.8735846819383455,0.859370004190921,0.07706144759733607,0.05735085592718755,0.010508791196726193,0.13525153331960993,0.1457603245163361,0.15658572017126604,0.13205446089305098,15.0,15,392,0
