candidate,year,split,observed_mean_ff,predicted_mean_ff,n
basic_clear__aggregate_then_index,2017,development,0.09325158196437214,0.08476148044270737,3635
basic_clear__aggregate_then_index,2018,development,0.13525153331960993,0.14514603925543407,3345
basic_clear__aggregate_then_index,2019,development,0.10063801198112465,0.09998279412529795,3412
basic_clear__aggregate_then_index,2020,validation,0.06828424831653164,0.06949340941811856,3782
basic_clear__aggregate_then_index,2021,validation,0.05941831683707428,0.0496720054714716,3778
basic_clear__index_then_aggregate,2017,development,0.09325158196437214,0.08524790469057052,3635
basic_clear__index_then_aggregate,2018,development,0.13525153331960993,0.14354510091237016,3345
basic_clear__index_then_aggregate,2019,development,0.10063801198112465,0.10103407976907451,3412
basic_clear__index_then_aggregate,2020,validation,0.06828424831653164,0.06871411891234176,3782
basic_clear__index_then_aggregate,2021,validation,0.05941831683707428,0.04963625837162895,3778
strict__aggregate_then_index,2017,development,0.09325158196437214,0.08523004945768609,3635
strict__aggregate_then_index,2018,development,0.13525153331960993,0.1446383638353963,3345
strict__aggregate_then_index,2019,development,0.10063801198112465,0.09998130699475298,3412
strict__aggregate_then_index,2020,validation,0.06828424831653164,0.06995827589645322,3782
strict__aggregate_then_index,2021,validation,0.05941831683707428,0.05000541899711925,3778
strict__index_then_aggregate,2017,development,0.09325158196437214,0.08572334341557135,3635
strict__index_then_aggregate,2018,development,0.13525153331960993,0.1430226086431567,3345
strict__index_then_aggregate,2019,development,0.10063801198112465,0.10103979983799125,3412
strict__index_then_aggregate,2020,validation,0.06828424831653164,0.06919502489054748,3782
strict__index_then_aggregate,2021,validation,0.05941831683707428,0.049956449793084994,3778
valid__aggregate_then_index,2017,development,0.09325158196437214,0.08396581861808354,3635
valid__aggregate_then_index,2018,development,0.13525153331960993,0.14576032451633614,3345
valid__aggregate_then_index,2019,development,0.10063801198112465,0.1002282356653888,3412
valid__aggregate_then_index,2020,validation,0.06828424831653164,0.06949480331397771,3782
valid__aggregate_then_index,2021,validation,0.05941831683707428,0.04959800942539344,3778
valid__index_then_aggregate,2017,development,0.09325158196437214,0.08444732136552238,3635
valid__index_then_aggregate,2018,development,0.13525153331960993,0.14407692704272632,3345
valid__index_then_aggregate,2019,development,0.10063801198112465,0.10136560438235365,3412
valid__index_then_aggregate,2020,validation,0.06828424831653164,0.06872565366043873,3782
valid__index_then_aggregate,2021,validation,0.05941831683707428,0.049597865263819534,3778
