concept_id,title,producer_granule_id,tile,start_time,end_time,updated,day_night_flag,download_link_count,download_links
G2392706082-LPCLOUD,MOD09A1.A2021057.h18v04.061.2021068145107,MOD09A1.A2021057.h18v04.061.2021068145107,h18v04,2021-02-26T00:00:00.000Z,2021-03-05T23:59:59.000Z,2021-03-09T09:06:41.639Z,BOTH,7,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021057.h18v04.061.2021068145107/MOD09A1.A2021057.h18v04.061.2021068145107.cmr.xml | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021057.h18v04.061.2021068145107/MOD09A1.A2021057.h18v04.061.2021068145107.hdf | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-public/MOD09A1.061/MOD09A1.A2021057.h18v04.061.2021068145107/BROWSE.MOD09A1.A2021057.h18v04.061.2021068145107.1.jpg | https://data.lpdaac.earthdatacloud.nasa.gov/s3credentials | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021057.h18v04.061.2021068145107/MOD09A1.A2021057.h18v04.061.2021068145107.cmr.xml | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021057.h18v04.061.2021068145107/MOD09A1.A2021057.h18v04.061.2021068145107.hdf | s3://lp-prod-public/MOD09A1.061/MOD09A1.A2021057.h18v04.061.2021068145107/BROWSE.MOD09A1.A2021057.h18v04.061.2021068145107.1.jpg
G2392712134-LPCLOUD,MOD09A1.A2021065.h18v04.061.2021075143320,MOD09A1.A2021065.h18v04.061.2021075143320,h18v04,2021-03-06T00:00:00.000Z,2021-03-13T23:59:59.000Z,2021-03-16T09:39:25.252Z,DAY,7,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021065.h18v04.061.2021075143320/MOD09A1.A2021065.h18v04.061.2021075143320.cmr.xml | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021065.h18v04.061.2021075143320/MOD09A1.A2021065.h18v04.061.2021075143320.hdf | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-public/MOD09A1.061/MOD09A1.A2021065.h18v04.061.2021075143320/BROWSE.MOD09A1.A2021065.h18v04.061.2021075143320.1.jpg | https://data.lpdaac.earthdatacloud.nasa.gov/s3credentials | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021065.h18v04.061.2021075143320/MOD09A1.A2021065.h18v04.061.2021075143320.cmr.xml | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021065.h18v04.061.2021075143320/MOD09A1.A2021065.h18v04.061.2021075143320.hdf | s3://lp-prod-public/MOD09A1.061/MOD09A1.A2021065.h18v04.061.2021075143320/BROWSE.MOD09A1.A2021065.h18v04.061.2021075143320.1.jpg
G2392723632-LPCLOUD,MOD09A1.A2021073.h18v04.061.2021082170030,MOD09A1.A2021073.h18v04.061.2021082170030,h18v04,2021-03-14T00:00:00.000Z,2021-03-21T23:59:59.000Z,2021-03-23T12:29:23.836Z,DAY,7,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021073.h18v04.061.2021082170030/MOD09A1.A2021073.h18v04.061.2021082170030.cmr.xml | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021073.h18v04.061.2021082170030/MOD09A1.A2021073.h18v04.061.2021082170030.hdf | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-public/MOD09A1.061/MOD09A1.A2021073.h18v04.061.2021082170030/BROWSE.MOD09A1.A2021073.h18v04.061.2021082170030.1.jpg | https://data.lpdaac.earthdatacloud.nasa.gov/s3credentials | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021073.h18v04.061.2021082170030/MOD09A1.A2021073.h18v04.061.2021082170030.cmr.xml | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021073.h18v04.061.2021082170030/MOD09A1.A2021073.h18v04.061.2021082170030.hdf | s3://lp-prod-public/MOD09A1.061/MOD09A1.A2021073.h18v04.061.2021082170030/BROWSE.MOD09A1.A2021073.h18v04.061.2021082170030.1.jpg
G2392731136-LPCLOUD,MOD09A1.A2021081.h18v04.061.2021090062336,MOD09A1.A2021081.h18v04.061.2021090062336,h18v04,2021-03-22T00:00:00.000Z,2021-03-29T23:59:59.000Z,2021-03-31T01:32:50.659Z,DAY,7,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021081.h18v04.061.2021090062336/MOD09A1.A2021081.h18v04.061.2021090062336.cmr.xml | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021081.h18v04.061.2021090062336/MOD09A1.A2021081.h18v04.061.2021090062336.hdf | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-public/MOD09A1.061/MOD09A1.A2021081.h18v04.061.2021090062336/BROWSE.MOD09A1.A2021081.h18v04.061.2021090062336.1.jpg | https://data.lpdaac.earthdatacloud.nasa.gov/s3credentials | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021081.h18v04.061.2021090062336/MOD09A1.A2021081.h18v04.061.2021090062336.cmr.xml | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021081.h18v04.061.2021090062336/MOD09A1.A2021081.h18v04.061.2021090062336.hdf | s3://lp-prod-public/MOD09A1.061/MOD09A1.A2021081.h18v04.061.2021090062336/BROWSE.MOD09A1.A2021081.h18v04.061.2021090062336.1.jpg
G2392738408-LPCLOUD,MOD09A1.A2021089.h18v04.061.2021098045012,MOD09A1.A2021089.h18v04.061.2021098045012,h18v04,2021-03-30T00:00:00.000Z,2021-04-06T23:59:59.000Z,2021-04-07T23:58:48.962Z,DAY,7,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021089.h18v04.061.2021098045012/MOD09A1.A2021089.h18v04.061.2021098045012.cmr.xml | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021089.h18v04.061.2021098045012/MOD09A1.A2021089.h18v04.061.2021098045012.hdf | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-public/MOD09A1.061/MOD09A1.A2021089.h18v04.061.2021098045012/BROWSE.MOD09A1.A2021089.h18v04.061.2021098045012.1.jpg | https://data.lpdaac.earthdatacloud.nasa.gov/s3credentials | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021089.h18v04.061.2021098045012/MOD09A1.A2021089.h18v04.061.2021098045012.cmr.xml | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021089.h18v04.061.2021098045012/MOD09A1.A2021089.h18v04.061.2021098045012.hdf | s3://lp-prod-public/MOD09A1.061/MOD09A1.A2021089.h18v04.061.2021098045012/BROWSE.MOD09A1.A2021089.h18v04.061.2021098045012.1.jpg
G2392748220-LPCLOUD,MOD09A1.A2021097.h18v04.061.2021107044104,MOD09A1.A2021097.h18v04.061.2021107044104,h18v04,2021-04-07T00:00:00.000Z,2021-04-14T23:59:59.000Z,2021-04-16T23:54:42.485Z,DAY,7,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021097.h18v04.061.2021107044104/MOD09A1.A2021097.h18v04.061.2021107044104.cmr.xml | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021097.h18v04.061.2021107044104/MOD09A1.A2021097.h18v04.061.2021107044104.hdf | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-public/MOD09A1.061/MOD09A1.A2021097.h18v04.061.2021107044104/BROWSE.MOD09A1.A2021097.h18v04.061.2021107044104.1.jpg | https://data.lpdaac.earthdatacloud.nasa.gov/s3credentials | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021097.h18v04.061.2021107044104/MOD09A1.A2021097.h18v04.061.2021107044104.cmr.xml | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021097.h18v04.061.2021107044104/MOD09A1.A2021097.h18v04.061.2021107044104.hdf | s3://lp-prod-public/MOD09A1.061/MOD09A1.A2021097.h18v04.061.2021107044104/BROWSE.MOD09A1.A2021097.h18v04.061.2021107044104.1.jpg
G2392757828-LPCLOUD,MOD09A1.A2021105.h18v04.061.2021114055248,MOD09A1.A2021105.h18v04.061.2021114055248,h18v04,2021-04-15T00:00:00.000Z,2021-04-22T23:59:59.000Z,2021-04-24T01:06:38.245Z,DAY,7,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021105.h18v04.061.2021114055248/MOD09A1.A2021105.h18v04.061.2021114055248.cmr.xml | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021105.h18v04.061.2021114055248/MOD09A1.A2021105.h18v04.061.2021114055248.hdf | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-public/MOD09A1.061/MOD09A1.A2021105.h18v04.061.2021114055248/BROWSE.MOD09A1.A2021105.h18v04.061.2021114055249.1.jpg | https://data.lpdaac.earthdatacloud.nasa.gov/s3credentials | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021105.h18v04.061.2021114055248/MOD09A1.A2021105.h18v04.061.2021114055248.cmr.xml | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021105.h18v04.061.2021114055248/MOD09A1.A2021105.h18v04.061.2021114055248.hdf | s3://lp-prod-public/MOD09A1.061/MOD09A1.A2021105.h18v04.061.2021114055248/BROWSE.MOD09A1.A2021105.h18v04.061.2021114055249.1.jpg
G2392761106-LPCLOUD,MOD09A1.A2021113.h18v04.061.2021122111004,MOD09A1.A2021113.h18v04.061.2021122111004,h18v04,2021-04-23T00:00:00.000Z,2021-04-30T23:59:59.000Z,2021-05-02T06:18:11.766Z,DAY,7,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021113.h18v04.061.2021122111004/MOD09A1.A2021113.h18v04.061.2021122111004.cmr.xml | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021113.h18v04.061.2021122111004/MOD09A1.A2021113.h18v04.061.2021122111004.hdf | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-public/MOD09A1.061/MOD09A1.A2021113.h18v04.061.2021122111004/BROWSE.MOD09A1.A2021113.h18v04.061.2021122111004.1.jpg | https://data.lpdaac.earthdatacloud.nasa.gov/s3credentials | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021113.h18v04.061.2021122111004/MOD09A1.A2021113.h18v04.061.2021122111004.cmr.xml | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021113.h18v04.061.2021122111004/MOD09A1.A2021113.h18v04.061.2021122111004.hdf | s3://lp-prod-public/MOD09A1.061/MOD09A1.A2021113.h18v04.061.2021122111004/BROWSE.MOD09A1.A2021113.h18v04.061.2021122111004.1.jpg
G2392771088-LPCLOUD,MOD09A1.A2021121.h18v04.061.2021133170123,MOD09A1.A2021121.h18v04.061.2021133170123,h18v04,2021-05-01T00:00:00.000Z,2021-05-08T23:59:59.000Z,2021-05-13T12:07:36.442Z,DAY,7,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021121.h18v04.061.2021133170123/MOD09A1.A2021121.h18v04.061.2021133170123.cmr.xml | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021121.h18v04.061.2021133170123/MOD09A1.A2021121.h18v04.061.2021133170123.hdf | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-public/MOD09A1.061/MOD09A1.A2021121.h18v04.061.2021133170123/BROWSE.MOD09A1.A2021121.h18v04.061.2021133170123.1.jpg | https://data.lpdaac.earthdatacloud.nasa.gov/s3credentials | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021121.h18v04.061.2021133170123/MOD09A1.A2021121.h18v04.061.2021133170123.cmr.xml | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021121.h18v04.061.2021133170123/MOD09A1.A2021121.h18v04.061.2021133170123.hdf | s3://lp-prod-public/MOD09A1.061/MOD09A1.A2021121.h18v04.061.2021133170123/BROWSE.MOD09A1.A2021121.h18v04.061.2021133170123.1.jpg
G2392778253-LPCLOUD,MOD09A1.A2021129.h18v04.061.2021138052620,MOD09A1.A2021129.h18v04.061.2021138052620,h18v04,2021-05-09T00:00:00.000Z,2021-05-16T23:59:59.000Z,2021-05-18T00:33:38.744Z,DAY,7,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021129.h18v04.061.2021138052620/MOD09A1.A2021129.h18v04.061.2021138052620.cmr.xml | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021129.h18v04.061.2021138052620/MOD09A1.A2021129.h18v04.061.2021138052620.hdf | https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-public/MOD09A1.061/MOD09A1.A2021129.h18v04.061.2021138052620/BROWSE.MOD09A1.A2021129.h18v04.061.2021138052620.1.jpg | https://data.lpdaac.earthdatacloud.nasa.gov/s3credentials | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021129.h18v04.061.2021138052620/MOD09A1.A2021129.h18v04.061.2021138052620.cmr.xml | s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021129.h18v04.061.2021138052620/MOD09A1.A2021129.h18v04.061.2021138052620.hdf | s3://lp-prod-public/MOD09A1.061/MOD09A1.A2021129.h18v04.061.2021138052620/BROWSE.MOD09A1.A2021129.h18v04.061.2021138052620.1.jpg
