station,province,commune,aquifer_group,gwb,obs_n,valid_gw_n,janfeb_n,aug_n,has_janfeb,has_aug,complete_pre_plus_aug,first_obs_date,last_obs_date,janfeb_last_date,aug_first_date,aug_last_date,historical_iss_well,new_vs_historical_iss,utm_e,utm_n
PO018003NR0009,PV,ALBONESE,ISS,GWB ISS MPP,2,2,0,0,False,False,False,2024-05-20,2024-11-14,,,,True,False,477798.0,5014771.0
PO0180130U0006,PV,BELGIOIOSO,ISS,GWB ISS MPTLS,2,2,0,0,False,False,False,2024-05-28,2024-11-11,,,,True,False,523765.0,5000850.0
PO0180140U0001,PV,BEREGUARDO,ISI,GWB ISI MPTA,4,4,1,1,True,True,True,2024-02-26,2024-10-23,2024-02-26,2024-08-20,2024-08-20,False,False,502440.0,5011804.0
PO0180140U0003,PV,BEREGUARDO,ISP,GWB ISP AMPLO,12,12,2,1,True,True,True,2024-01-30,2024-12-16,2024-02-26,2024-08-20,2024-08-20,False,False,502510.0,5011335.0
PO0180150U0003,PV,BORGARELLO,ISI,GWB ISI MPTA,4,4,1,1,True,True,True,2024-02-26,2024-10-22,2024-02-26,2024-08-20,2024-08-20,False,False,511372.0,5009849.0
PO0180190U0001,PV,BORNASCO,ISI,GWB ISI MPTA,4,4,1,1,True,True,True,2024-02-26,2024-10-22,2024-02-26,2024-08-20,2024-08-20,False,False,517169.0,5012707.0
PO0180270U0001,PV,CANDIA LOMELLINA,ISI,GWB ISI MPP,2,2,0,0,False,False,False,2024-07-23,2024-11-05,,,,False,False,468378.0,5003174.0
PO0180350U0002,PV,CASSOLNOVO,ISS,GWB ISS MPP,2,2,0,0,False,False,False,2024-07-23,2024-11-05,,,,True,False,485404.0,5022621.0
PO018035NU0001,PV,CASSOLNOVO,ISI,GWB ISI MPP,2,2,0,0,False,False,False,2024-07-23,2024-11-05,,,,False,False,484780.0,5023793.0
PO018039NR0001,PV,CASTELLO D'AGOGNA,ISS,GWB ISS MPP,2,2,1,1,True,True,True,2024-02-27,2024-08-28,2024-02-27,2024-08-28,2024-08-28,True,False,476494.0,5010571.0
PO018039NRP001,PV,CASTELLO D'AGOGNA,ISS,GWB ISS MPP,2,2,0,0,False,False,False,2024-05-16,2024-10-29,,,,True,False,474622.390667,5007946.94967
PO018043NUP001,PV,CERANOVA,ISS,GWB ISS MPTLS,13,13,2,1,True,True,True,2024-01-30,2024-12-16,2024-02-26,2024-08-20,2024-08-20,True,False,518426.612333,5011543.40033
PO0180470U0001,PV,CERVESINA,ISS,GWB ISS BPPO,2,2,0,0,False,False,False,2024-05-21,2024-10-30,,,,True,False,501288.0,4989873.0
PO018047NR0001,PV,CERVESINA,ISS,GWB ISS MPOP,9,9,2,1,True,True,True,2024-01-29,2024-11-25,2024-02-28,2024-08-28,2024-08-28,True,False,499957.0,4986727.0
PO0180480U0004,PV,CHIGNOLO PO,ISS,GWB ISS MPTLS,10,10,2,1,True,True,True,2024-01-08,2024-11-12,2024-02-08,2024-08-16,2024-08-16,True,False,539643.0,5000554.0
PO018048NRP001,PV,CHIGNOLO PO,ISS,GWB ISS MPTLS,10,10,2,1,True,True,True,2024-01-08,2024-11-12,2024-02-08,2024-08-16,2024-08-16,True,False,522279.911,5003718.75567
PO0180490U0003,PV,CIGOGNOLA,ISS,GWB ISS MPOP,2,2,0,0,False,False,False,2024-05-28,2024-11-11,,,,True,False,520341.0,4986376.0
PO018062NRD002,PV,FERRERA ERBOGNONE,ISS,GWB ISS MPP,11,11,2,1,True,True,True,2024-01-14,2024-11-13,2024-02-15,2024-08-18,2024-08-18,True,False,489193.0,4993809.0
PO018065NRG001,PV,FRASCAROLO,ISS,GWB ISS MPP,3,3,1,0,True,False,False,2024-02-27,2024-11-13,2024-02-27,,,True,False,476409.0,4987902.0
PO0180690U0001,PV,GARLASCO,ISI,GWB ISI MPP,2,2,0,0,False,False,False,2024-07-24,2024-11-06,,,,False,False,494559.0,5003831.0
PO0180690U0002,PV,GARLASCO,ISS,GWB ISS MPP,2,2,0,0,False,False,False,2024-07-24,2024-11-06,,,,True,False,494013.0,5004960.0
PO018072NUP001,PV,GIUSSAGO,ISS,GWB ISS MPTLS,12,12,2,1,True,True,True,2024-01-30,2024-12-16,2024-02-26,2024-08-20,2024-08-20,True,False,512563.9021,5011157.222
PO0180810U0111,PV,LINAROLO,ISS,GWB ISS MPTLS,11,11,2,1,True,True,True,2024-01-30,2024-12-16,2024-02-26,2024-08-20,2024-08-20,True,False,521130.0,5000547.0
PO018081NUP001,PV,LINAROLO,ISI,GWB ISI MPTA,4,4,1,1,True,True,True,2024-02-26,2024-11-16,2024-02-26,2024-08-20,2024-08-20,False,False,521131.064667,5000547.21866699
PO0180880U0001,PV,MEDE,ISS,GWB ISS MPP,3,3,0,1,False,True,False,2024-04-22,2024-10-24,,2024-08-26,2024-08-26,True,False,479549.0,4993807.0
PO0180880U0003,PV,MEDE,ISI,GWB ISI MPP,4,4,1,1,True,True,True,2024-02-27,2024-10-24,2024-02-27,2024-08-26,2024-08-26,False,False,479530.0,4993825.0
PO0181020U0007,PV,MORTARA,ISP,GWB ISP AMPLO,4,4,1,1,True,True,True,2024-02-27,2024-10-18,2024-02-27,2024-08-28,2024-08-28,False,False,479120.0,5010479.0
PO0181070U0001,PV,PALESTRO,ISP,GWB ISP AMPLO,4,4,1,1,True,True,True,2024-02-27,2024-10-29,2024-02-27,2024-08-28,2024-08-28,False,False,463483.0,5016621.0
PO0181100U0014,PV,PAVIA,ISI,GWB ISI MPTA,3,3,1,1,True,True,True,2024-02-26,2024-08-20,2024-02-26,2024-08-20,2024-08-20,False,False,512357.0,5005190.0
PO0181100U0111,PV,PAVIA,ISS,GWB ISS MPTLS,12,12,2,1,True,True,True,2024-01-30,2024-12-16,2024-02-26,2024-08-20,2024-08-20,True,False,511138.0,5006846.0
PO0181140U0002,PV,PIEVE PORTO MORONE,ISS,GWB ISS BPPO,10,10,2,1,True,True,True,2024-01-08,2024-11-12,2024-02-08,2024-08-16,2024-08-16,True,False,534746.0,4995245.0
PO0181150U0006,PV,PINAROLO PO,ISS,GWB ISS MPOP,2,2,0,0,False,False,False,2024-05-21,2024-10-30,,,,True,False,512380.0,4989928.0
PO0181180U0019,PV,PORTALBERA,ISS,GWB ISS MPOP,2,2,0,0,False,False,False,2024-05-28,2024-11-11,,,,True,False,524321.0,4993134.0
PO0181220U0001,PV,RIVANAZZANO TERME,ISS,GWB ISS MPOP,2,2,0,0,False,False,False,2024-05-21,2024-10-30,,,,True,False,501728.0,4974258.0
PO0181230U0005,PV,ROBBIO,ISP,GWB ISP AMPLO,4,4,1,1,True,True,True,2024-02-27,2024-10-29,2024-02-27,2024-08-28,2024-08-28,False,False,468126.0,5014701.0
PO0181300U0001,PV,ROSASCO,ISI,GWB ISI MPP,2,2,0,0,False,False,False,2024-07-23,2024-11-05,,,,False,False,467076.0,5010788.0
PO0181410U0001,PV,SANT'ALESSIO CON VIALONE,ISI,GWB ISI MPTA,4,4,1,1,True,True,True,2024-02-26,2024-10-22,2024-02-26,2024-08-20,2024-08-20,False,False,517783.0,5008365.0
PO018147NUP001,PV,SCALDASOLE,ISS,GWB ISS MPP,4,4,1,1,True,True,True,2024-02-27,2024-10-24,2024-02-27,2024-08-26,2024-08-26,True,False,492497.439,4996514.76967
PO0181510U0002,PV,SOMMO,ISI,GWB ISI BPPO,4,4,1,1,True,True,True,2024-02-26,2024-10-21,2024-02-26,2024-08-20,2024-08-20,False,False,507056.0,4998152.0
PO0181570U0001,PV,TORRE D'ARESE,ISI,GWB ISI MPTA,10,10,2,1,True,True,True,2024-01-08,2024-11-12,2024-02-08,2024-08-16,2024-08-16,False,False,525121.0,5009808.0
PO018159NUP001,PV,TORRE D'ISOLA,ISI,GWB ISI MPTA,4,4,1,1,True,True,True,2024-02-26,2024-10-21,2024-02-26,2024-08-20,2024-08-20,False,False,505885.664999999,5007564.802667
PO018162NUP001,PV,TRAVACò SICCOMARIO,ISS,GWB ISS BPPO,11,11,1,1,True,True,True,2024-01-30,2024-12-16,2024-01-30,2024-08-20,2024-08-20,True,False,512843.2754,4999704.7415
PO0181640U0001,PV,TROMELLO,ISI,GWB ISI MPP,2,2,0,0,False,False,False,2024-07-24,2024-11-06,,,,False,False,489605.0,5006049.0
PO0181680U0001,PV,VALLE LOMELLINA,ISP,GWB ISP AMPLO,4,4,1,1,True,True,True,2024-02-27,2024-10-24,2024-02-27,2024-08-26,2024-08-26,False,False,473599.0,4999303.0
PO0181710U0004,PV,VARZI,OTHER,ACQUIFERO LOCALE,1,1,0,0,False,False,False,2024-05-29,2024-05-29,,,,False,False,516230.0,4962799.0
PO018173NUP001,PV,VELLEZZO BELLINI,ISS,GWB ISS MPTLS,12,12,2,1,True,True,True,2024-01-30,2024-12-16,2024-02-26,2024-08-20,2024-08-20,True,False,507665.885333,5013301.88233
PO018176NUP001,PV,VIDIGULFO,ISS,GWB ISS MPTLS,12,12,2,1,True,True,True,2024-01-30,2024-12-16,2024-02-28,2024-08-20,2024-08-20,True,False,518046.1505,5015899.1052
PO0181770U0009,PV,VIGEVANO,ISP,GWB ISP AMPLO,2,2,0,0,False,False,False,2024-07-24,2024-11-06,,,,False,False,487845.0,5016697.0
PO0181770U0020,PV,VIGEVANO,ISS,GWB ISS MPP,2,2,0,0,False,False,False,2024-07-24,2024-11-06,,,,True,False,488853.0,5017022.0
PO0181790U0004,PV,VILLANOVA D'ARDENGHI,ISI,GWB ISI MPTA,4,4,1,1,True,True,True,2024-02-26,2024-10-21,2024-02-26,2024-08-20,2024-08-20,False,False,503177.0,5001932.0
PO018180NUP001,PV,VILLANTERIO,ISS,GWB ISS MPTLS,10,10,2,1,True,True,True,2024-01-08,2024-11-12,2024-02-08,2024-08-16,2024-08-16,True,False,528164.265,5007156.563
