station,province,commune,historical_iss_well,new_vs_historical_iss,obs_n,valid_gw_n,janfeb_n,aug_n,has_janfeb,has_aug,complete_pre_plus_aug,first_obs_date,last_obs_date,janfeb_last_date,aug_first_date,aug_last_date,utm_e,utm_n
PO018003NR0009,PV,Albonese,True,False,5,5,2,0,True,False,False,2025-01-10,2025-05-08,2025-02-07,,,477798.0,5014771.0
PO0180130U0006,PV,BELGIOIOSO,True,False,2,2,0,0,False,False,False,2025-06-11,2025-10-22,,,,523765.0,5000850.0
PO0180350U0002,PV,Cassolnovo,True,False,2,2,0,0,False,False,False,2025-05-06,2025-10-15,,,,485404.0,5022621.0
PO018039NR0001,PV,CASTELLO D'AGOGNA,True,False,4,4,1,1,True,True,True,2025-02-18,2025-11-18,2025-02-18,2025-08-21,2025-08-21,476494.0,5010571.0
PO018043NUP001,PV,Ceranova,True,False,10,10,1,1,True,True,True,2025-01-22,2025-12-17,2025-01-22,2025-08-26,2025-08-26,518426.61,5011543.4
PO0180470U0001,PV,Cervesina,True,False,3,3,0,0,False,False,False,2025-03-28,2025-10-20,,,,501288.0,4989873.0
PO018047NR0001,PV,Cervesina,True,False,10,10,2,1,True,True,True,2025-01-30,2025-11-28,2025-02-26,2025-08-28,2025-08-28,499957.0,4986727.0
PO0180480U0004,PV,Chignolo Po,True,False,12,12,2,1,True,True,True,2025-01-09,2025-12-02,2025-02-07,2025-08-22,2025-08-22,539643.0,5000554.0
PO018048NRP001,PV,Chignolo Po,True,False,12,12,2,1,True,True,True,2025-01-09,2025-12-02,2025-02-07,2025-08-22,2025-08-22,522279.91,5003718.76
PO0180490U0003,PV,Cigognola,True,False,2,2,0,0,False,False,False,2025-06-11,2025-10-22,,,,520341.0,4986376.0
PO018062NRD002,PV,Ferrera Erbognone,True,False,10,10,2,1,True,True,True,2025-01-15,2025-10-08,2025-02-14,2025-08-04,2025-08-04,489193.0,4993809.0
PO018065NRG001,PV,Frascarolo,True,False,4,4,1,1,True,True,True,2025-02-19,2025-10-14,2025-02-19,2025-08-28,2025-08-28,476409.0,4987902.0
PO0180690U0002,PV,Garlasco,True,False,2,2,0,0,False,False,False,2025-05-07,2025-10-15,,,,494013.0,5004960.0
PO018072NUP001,PV,Giussago,True,False,10,10,1,1,True,True,True,2025-01-22,2025-12-17,2025-01-22,2025-08-26,2025-08-26,512563.9,5011157.22
PO0180810U0111,PV,Linarolo,True,False,10,10,1,1,True,True,True,2025-01-22,2025-12-17,2025-01-22,2025-08-26,2025-08-26,521130.0,5000547.0
PO0180880U0001,PV,Mede,True,False,9,9,1,1,True,True,True,2025-02-19,2025-12-15,2025-02-19,2025-08-13,2025-08-13,479549.0,4993807.0
PO0181100U0111,PV,Pavia,True,False,10,10,1,1,True,True,True,2025-01-22,2025-12-17,2025-01-22,2025-08-26,2025-08-26,511138.0,5006846.0
PO0181140U0002,PV,Pieve Porto Morone,True,False,12,12,2,1,True,True,True,2025-01-09,2025-12-02,2025-02-07,2025-08-22,2025-08-22,534746.0,4995245.0
PO0181150U0006,PV,Pinarolo Po,True,False,3,3,0,0,False,False,False,2025-03-28,2025-10-21,,,,512380.0,4989928.0
PO0181180U0019,PV,Portalbera,True,False,2,2,0,0,False,False,False,2025-06-11,2025-10-22,,,,524321.0,4993134.0
PO018147NUP001,PV,Scaldasole,True,False,8,8,1,1,True,True,True,2025-02-19,2025-12-15,2025-02-19,2025-08-13,2025-08-13,492497.44,4996514.77
PO018162NUP001,PV,Travacò Siccomario,True,False,10,10,1,1,True,True,True,2025-01-22,2025-12-17,2025-01-22,2025-08-26,2025-08-26,512843.28,4999704.74
PO018173NUP001,PV,Vellezzo Bellini,True,False,10,10,1,1,True,True,True,2025-01-22,2025-12-17,2025-01-22,2025-08-26,2025-08-26,507665.89,5013301.88
PO018176NUP001,PV,Vidigulfo,True,False,10,10,1,1,True,True,True,2025-01-22,2025-12-17,2025-01-22,2025-08-26,2025-08-26,518046.15,5015899.11
PO0181770U0020,PV,Vigevano,True,False,2,2,0,0,False,False,False,2025-05-07,2025-10-15,,,,488853.0,5017022.0
PO018180NUP001,PV,Villanterio,True,False,12,12,2,1,True,True,True,2025-01-09,2025-12-02,2025-02-07,2025-08-22,2025-08-22,528164.27,5007156.56
