metric,value
raw_2025_rows_before_duplicate_cleaning,2294.0
all_2025_rows_after_duplicate_cleaning,2285.0
all_2025_stations,290.0
duplicate_station_date_groups,6.0
conflicting_duplicate_groups,3.0
pavia_conflicting_duplicate_groups,0.0
pavia_rows,276.0
pavia_stations,48.0
pavia_iss_rows,186.0
pavia_iss_stations,26.0
historical_iss_stations_present,26.0
new_iss_stations,0.0
iss_with_janfeb,18.0
iss_with_august,17.0
iss_complete_pre_plus_aug,17.0
historical_iss_complete_pre_plus_aug,17.0
new_iss_complete_pre_plus_aug,0.0
historical_iss_coordinate_matches,26.0
historical_iss_coordinate_mismatches,0.0
coordinate_match_tolerance_m,0.01
max_abs_easting_delta_m,0.005000000004656613
max_abs_northing_delta_m,0.004800000227987766
max_abs_coordinate_delta_m,0.005000000004656613
