station,commune,utm_e,utm_n,measuring_point_elev_masl,well_depth_m,gwb,commune_historical,utm_e_historical,utm_n_historical,measuring_point_elev_masl_historical,well_depth_m_historical,gwb_historical,historical_iss_well,delta_utm_e_m,delta_utm_n_m,abs_delta_utm_e_m,abs_delta_utm_n_m,coordinate_delta_max_abs_m,utm_e_match,utm_n_match,coordinate_match,elevation_match,well_depth_match
PO018003NR0009,Albonese,477798.0,5014771.0,113.49,19.0,GWB ISS MPP,ALBONESE,477798.0,5014771.0,113.49,19.0,GWB ISS MPP,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO0180130U0006,BELGIOIOSO,523765.0,5000850.0,73.99,65.0,GWB ISS MPTLS,BELGIOIOSO,523765.0,5000850.0,73.99,65.0,GWB ISS MPTLS,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO0180350U0002,Cassolnovo,485404.0,5022621.0,117.58,46.5,GWB ISS MPP,CASSOLNOVO,485404.0,5022621.0,117.58,46.5,GWB ISS MPP,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO018039NR0001,CASTELLO D'AGOGNA,476494.0,5010571.0,108.15,51.5,GWB ISS MPP,CASTELLO D'AGOGNA,476494.0,5010571.0,108.154,51.5,GWB ISS MPP,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO018043NUP001,Ceranova,518426.61,5011543.4,82.74,15.0,GWB ISS MPTLS,CERANOVA,518426.612333,5011543.40033,82.7429999999999,15.0,GWB ISS MPTLS,True,-0.0023330000112764537,-0.00032999925315380096,0.0023330000112764537,0.00032999925315380096,0.0023330000112764537,True,True,True,True,True
PO0180470U0001,Cervesina,501288.0,4989873.0,71.9,81.0,GWB ISS BPPO,CERVESINA,501288.0,4989873.0,71.908,81.0,GWB ISS BPPO,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO018047NR0001,Cervesina,499957.0,4986727.0,74.58,22.5,GWB ISS MPOP,CERVESINA,499957.0,4986727.0,74.589,22.5,GWB ISS MPOP,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO0180480U0004,Chignolo Po,539643.0,5000554.0,58.81,20.0,GWB ISS MPTLS,CHIGNOLO PO,539643.0,5000554.0,58.81,20.0,GWB ISS MPTLS,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO018048NRP001,Chignolo Po,522279.91,5003718.76,74.87,13.0,GWB ISS MPTLS,CHIGNOLO PO,522279.911,5003718.75567,74.8709999999999,13.0,GWB ISS MPTLS,True,-0.0010000000474974513,0.0043299999088048935,0.0010000000474974513,0.0043299999088048935,0.0043299999088048935,True,True,True,True,True
PO0180490U0003,Cigognola,520341.0,4986376.0,107.25,10.0,GWB ISS MPOP,CIGOGNOLA,520341.0,4986376.0,107.259,10.0,GWB ISS MPOP,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO018062NRD002,Ferrera Erbognone,489193.0,4993809.0,86.79,20.0,GWB ISS MPP,FERRERA ERBOGNONE,489193.0,4993809.0,86.799,20.0,GWB ISS MPP,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO018065NRG001,Frascarolo,476409.0,4987902.0,86.66,10.0,GWB ISS MPP,FRASCAROLO,476409.0,4987902.0,86.66,10.0,GWB ISS MPP,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO0180690U0002,Garlasco,494013.0,5004960.0,92.74,57.0,GWB ISS MPP,GARLASCO,494013.0,5004960.0,92.741,57.0,GWB ISS MPP,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO018072NUP001,Giussago,512563.9,5011157.22,87.13,20.0,GWB ISS MPTLS,GIUSSAGO,512563.9021,5011157.222,87.134,20.0,GWB ISS MPTLS,True,-0.002099999983329326,-0.0020000003278255463,0.002099999983329326,0.0020000003278255463,0.002099999983329326,True,True,True,True,True
PO0180810U0111,Linarolo,521130.0,5000547.0,74.97,20.0,GWB ISS MPTLS,LINAROLO,521130.0,5000547.0,74.97,20.0,GWB ISS MPTLS,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO0180880U0001,Mede,479549.0,4993807.0,92.93,53.0,GWB ISS MPP,MEDE,479549.0,4993807.0,92.936,53.0,GWB ISS MPP,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO0181100U0111,Pavia,511138.0,5006846.0,83.4,17.0,GWB ISS MPTLS,PAVIA,511138.0,5006846.0,83.4,17.0,GWB ISS MPTLS,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO0181140U0002,Pieve Porto Morone,534746.0,4995245.0,55.38,24.0,GWB ISS BPPO,PIEVE PORTO MORONE,534746.0,4995245.0,55.383,24.0,GWB ISS BPPO,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO0181150U0006,Pinarolo Po,512380.0,4989928.0,67.28,19.5,GWB ISS MPOP,PINAROLO PO,512380.0,4989928.0,67.287,19.5,GWB ISS MPOP,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO0181180U0019,Portalbera,524321.0,4993134.0,68.07,17.2,GWB ISS MPOP,PORTALBERA,524321.0,4993134.0,68.079,17.2,GWB ISS MPOP,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO018147NUP001,Scaldasole,492497.44,4996514.77,86.58,60.0,GWB ISS MPP,SCALDASOLE,492497.439,4996514.76967,86.584,60.0,GWB ISS MPP,True,0.0009999999892897904,0.00032999925315380096,0.0009999999892897904,0.00032999925315380096,0.0009999999892897904,True,True,True,True,True
PO018162NUP001,Travacò Siccomario,512843.28,4999704.74,61.19,14.0,GWB ISS BPPO,TRAVACO' SICCOMARIO,512843.2754,4999704.7415,61.197,14.0,GWB ISS BPPO,True,0.004600000043865293,-0.001499999314546585,0.004600000043865293,0.001499999314546585,0.004600000043865293,True,True,True,True,True
PO018173NUP001,Vellezzo Bellini,507665.89,5013301.88,92.87,15.0,GWB ISS MPTLS,VELLEZZO BELLINI,507665.885333,5013301.88233,92.8769999999999,15.0,GWB ISS MPTLS,True,0.004667000030167401,-0.002330000512301922,0.004667000030167401,0.002330000512301922,0.004667000030167401,True,True,True,True,True
PO018176NUP001,Vidigulfo,518046.15,5015899.11,88.25,20.0,GWB ISS MPTLS,VIDIGULFO,518046.1505,5015899.1052,88.2519999999999,20.0,GWB ISS MPTLS,True,-0.0004999999655410647,0.004800000227987766,0.0004999999655410647,0.004800000227987766,0.004800000227987766,True,True,True,True,True
PO0181770U0020,Vigevano,488853.0,5017022.0,103.06,46.0,GWB ISS MPP,VIGEVANO,488853.0,5017022.0,103.06,46.0,GWB ISS MPP,True,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
PO018180NUP001,Villanterio,528164.27,5007156.56,73.02,73.0,GWB ISS MPTLS,VILLANTERIO,528164.265,5007156.563,73.0199999999999,73.0,GWB ISS MPTLS,True,0.005000000004656613,-0.0030000004917383194,0.005000000004656613,0.0030000004917383194,0.005000000004656613,True,True,True,True,True
