check,expected,observed,status
authoritative_raw_rows,2294.0,2294.0,PASS
authoritative_raw_stations,290.0,290.0,PASS
rows_after_duplicate_cleaning,2285.0,2285.0,PASS
duplicate_station_date_groups,6.0,6.0,PASS
conflicting_duplicate_groups,3.0,3.0,PASS
pavia_conflicting_duplicate_groups,0.0,0.0,PASS
pavia_rows,276.0,276.0,PASS
pavia_stations,48.0,48.0,PASS
pavia_iss_rows,186.0,186.0,PASS
historical_iss_stations_present,26.0,26.0,PASS
observed_iss_metadata_coordinate_match,26.0,26.0,PASS
stations_any_obs_n,26.0,26.0,PASS
stations_janfeb_n,18.0,18.0,PASS
stations_augmean_n,17.0,17.0,PASS
complete_pre_plus_augmean_n,17.0,17.0,PASS
max_coordinate_delta_within_0_01_m,0.01,0.005000000004656613,PASS
