comparison,column,rows_compared,mismatch_n,exact_reproduction
frozen_2008_2023_extension,gw_obs_n,592,0,True
frozen_2008_2023_extension,gw_janfeb_n,592,0,True
frozen_2008_2023_extension,gw_janfeb_mean_m,592,0,True
frozen_2008_2023_extension,gw_janmar_mean_m,592,0,True
frozen_2008_2023_extension,gw_aprmay_mean_m,592,0,True
frozen_2008_2023_extension,gw_jja_mean_m,592,0,True
frozen_2008_2023_extension,gw_aug_n,592,0,True
frozen_2008_2023_extension,gw_aug_mean_m,592,0,True
frozen_2008_2023_extension,gw_pre_last_janfeb_m,592,0,True
frozen_2008_2023_extension,gw_pre_last_janfeb_date,592,0,True
frozen_2008_2023_extension,gw_pre_last_janfeb_doy,592,0,True
frozen_2008_2023_extension,gw_aug_first_m,592,0,True
frozen_2008_2023_extension,gw_aug_first_date,592,0,True
frozen_2008_2023_extension,gw_aug_first_doy,592,0,True
frozen_2008_2023_extension,gw_aug_last_m,592,0,True
frozen_2008_2023_extension,gw_aug_last_date,592,0,True
frozen_2008_2023_extension,gw_aug_nearest_aug23_m,592,0,True
frozen_2008_2023_extension,gw_aug_nearest_aug23_date,592,0,True
frozen_2008_2023_extension,gw_aug_nearest_aug23_doy,592,0,True
frozen_2008_2023_extension,gw_m01_mean_m,592,0,True
frozen_2008_2023_extension,gw_m02_mean_m,592,0,True
frozen_2008_2023_extension,gw_m03_mean_m,592,0,True
frozen_2008_2023_extension,gw_m04_mean_m,592,0,True
frozen_2008_2023_extension,gw_m05_mean_m,592,0,True
frozen_2008_2023_extension,gw_m06_mean_m,592,0,True
frozen_2008_2023_extension,gw_m07_mean_m,592,0,True
frozen_2008_2023_extension,gw_m08_mean_m,592,0,True
frozen_2008_2023_extension,gw_m09_mean_m,592,0,True
frozen_2008_2023_extension,gw_m10_mean_m,592,0,True
frozen_2008_2023_extension,gw_m11_mean_m,592,0,True
frozen_2008_2023_extension,gw_m12_mean_m,592,0,True
frozen_2008_2023_extension,province,592,0,True
frozen_2008_2023_extension,commune,592,0,True
frozen_2008_2023_extension,utm_e,592,0,True
frozen_2008_2023_extension,utm_n,592,0,True
frozen_2008_2023_extension,measuring_point_elev_masl,592,0,True
frozen_2008_2023_extension,well_depth_m,592,0,True
frozen_2008_2023_extension,screen_top_m,592,0,True
frozen_2008_2023_extension,screen_bottom_m,592,0,True
frozen_2008_2023_extension,gwb,592,0,True
frozen_2008_2023_extension,aquifer_group,592,0,True
