column,rows_compared,mismatch_n,exact_reproduction
gw_obs_n,518,0,True
gw_janfeb_n,518,0,True
gw_janfeb_mean_m,518,0,True
gw_janmar_mean_m,518,0,True
gw_aprmay_mean_m,518,0,True
gw_jja_mean_m,518,0,True
gw_aug_n,518,0,True
gw_aug_mean_m,518,0,True
gw_pre_last_janfeb_m,518,0,True
gw_pre_last_janfeb_date,518,0,True
gw_pre_last_janfeb_doy,518,0,True
gw_aug_first_m,518,0,True
gw_aug_first_date,518,0,True
gw_aug_first_doy,518,0,True
gw_aug_last_m,518,0,True
gw_aug_last_date,518,0,True
gw_aug_nearest_aug23_m,518,0,True
gw_aug_nearest_aug23_date,518,0,True
gw_aug_nearest_aug23_doy,518,0,True
gw_m01_mean_m,518,0,True
gw_m02_mean_m,518,0,True
gw_m03_mean_m,518,0,True
gw_m04_mean_m,518,0,True
gw_m05_mean_m,518,0,True
gw_m06_mean_m,518,0,True
gw_m07_mean_m,518,0,True
gw_m08_mean_m,518,0,True
gw_m09_mean_m,518,0,True
gw_m10_mean_m,518,0,True
gw_m11_mean_m,518,0,True
gw_m12_mean_m,518,0,True
province,518,0,True
commune,518,0,True
utm_e,518,0,True
utm_n,518,0,True
measuring_point_elev_masl,518,0,True
well_depth_m,518,0,True
screen_top_m,518,0,True
screen_bottom_m,518,0,True
gwb,518,0,True
aquifer_group,518,0,True
