station,complete_2022,complete_2023,complete_2024,complete_years_n,complete_all_3,complete_at_least_2,complete_exactly_1,complete_2022_2023,complete_2023_2024,complete_2022_2024
PO018003NR0009,True,True,False,2,False,True,False,True,False,False
PO0180130U0005,False,False,False,0,False,False,False,False,False,False
PO0180130U0006,False,False,False,0,False,False,False,False,False,False
PO018014NRP001,False,False,False,0,False,False,False,False,False,False
PO018032NR0001,False,False,False,0,False,False,False,False,False,False
PO0180350U0002,False,False,False,0,False,False,False,False,False,False
PO018039NR0001,True,False,True,2,False,True,False,False,False,True
PO018039NRP001,False,False,False,0,False,False,False,False,False,False
PO018043NUP001,True,True,True,3,True,True,False,True,True,True
PO0180470U0001,False,False,False,0,False,False,False,False,False,False
PO018047NR0001,True,True,True,3,True,True,False,True,True,True
PO0180480U0004,True,True,True,3,True,True,False,True,True,True
PO018048NRP001,True,True,True,3,True,True,False,True,True,True
PO0180490U0003,False,False,False,0,False,False,False,False,False,False
PO0180500U0002,False,False,False,0,False,False,False,False,False,False
PO018062NRD002,False,False,True,1,False,False,True,False,False,False
PO018065NRG001,True,False,False,1,False,False,True,False,False,False
PO018068NRP001,False,False,False,0,False,False,False,False,False,False
PO0180690U0002,False,False,False,0,False,False,False,False,False,False
PO018072NUP001,True,True,True,3,True,True,False,True,True,True
PO0180810U0111,True,True,True,3,True,True,False,True,True,True
PO0180880U0001,True,False,False,1,False,False,True,False,False,False
PO0180930U0006,False,False,False,0,False,False,False,False,False,False
PO0181100U0111,True,True,True,3,True,True,False,True,True,True
PO0181140U0002,True,True,True,3,True,True,False,True,True,True
PO0181150U0006,False,False,False,0,False,False,False,False,False,False
PO0181180U0019,False,False,False,0,False,False,False,False,False,False
PO0181220U0001,False,False,False,0,False,False,False,False,False,False
PO018146NRP001,False,False,False,0,False,False,False,False,False,False
PO018147NUP001,True,False,True,2,False,True,False,False,False,True
PO0181550U0001,False,False,False,0,False,False,False,False,False,False
PO018162NUP001,True,True,True,3,True,True,False,True,True,True
PO018173NUP001,True,True,True,3,True,True,False,True,True,True
PO018176NUP001,True,True,True,3,True,True,False,True,True,True
PO0181770U0020,False,False,False,0,False,False,False,False,False,False
PO018180NUP001,True,True,True,3,True,True,False,True,True,True
PO0181870U0001,False,False,False,0,False,False,False,False,False,False
