station,complete_2022,complete_2023,complete_2024,complete_2025,complete_years_n,complete_all_4,complete_at_least_3,complete_at_least_2,complete_exactly_3,complete_exactly_2,complete_exactly_1,complete_0,complete_year_pattern,complete_2022_2023,complete_2022_2024,complete_2022_2025,complete_2023_2024,complete_2023_2025,complete_2024_2025
PO018003NR0009,True,True,False,False,2,False,False,True,False,True,False,False,2022_2023,True,False,False,False,False,False
PO0180130U0005,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO0180130U0006,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO018014NRP001,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO018032NR0001,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO0180350U0002,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO018039NR0001,True,False,True,True,3,False,True,True,True,False,False,False,2022_2024_2025,False,True,True,False,False,True
PO018039NRP001,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO018043NUP001,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025,True,True,True,True,True,True
PO0180470U0001,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO018047NR0001,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025,True,True,True,True,True,True
PO0180480U0004,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025,True,True,True,True,True,True
PO018048NRP001,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025,True,True,True,True,True,True
PO0180490U0003,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO0180500U0002,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO018062NRD002,False,False,True,True,2,False,False,True,False,True,False,False,2024_2025,False,False,False,False,False,True
PO018065NRG001,True,False,False,True,2,False,False,True,False,True,False,False,2022_2025,False,False,True,False,False,False
PO018068NRP001,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO0180690U0002,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO018072NUP001,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025,True,True,True,True,True,True
PO0180810U0111,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025,True,True,True,True,True,True
PO0180880U0001,True,False,False,True,2,False,False,True,False,True,False,False,2022_2025,False,False,True,False,False,False
PO0180930U0006,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO0181100U0111,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025,True,True,True,True,True,True
PO0181140U0002,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025,True,True,True,True,True,True
PO0181150U0006,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO0181180U0019,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO0181220U0001,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO018146NRP001,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO018147NUP001,True,False,True,True,3,False,True,True,True,False,False,False,2022_2024_2025,False,True,True,False,False,True
PO0181550U0001,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO018162NUP001,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025,True,True,True,True,True,True
PO018173NUP001,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025,True,True,True,True,True,True
PO018176NUP001,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025,True,True,True,True,True,True
PO0181770U0020,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
PO018180NUP001,True,True,True,True,4,True,True,True,False,False,False,False,2022_2023_2024_2025,True,True,True,True,True,True
PO0181870U0001,False,False,False,False,0,False,False,False,False,False,False,True,none,False,False,False,False,False,False
