filename,usable_pixels,cloud_clear,cloud_cloudy,cloud_mixed,cloud_not_set,cloud_shadow_yes,cirrus_none,cirrus_small,cirrus_average,cirrus_high,internal_cloud_yes,adjacent_cloud_yes,snow_ice_yes,modland_ideal,modland_less_than_ideal,modland_cloud,modland_other,band1_highest_quality,band2_highest_quality,band7_highest_quality,doy_min,doy_median,doy_max,candidate_clear_pixels,candidate_strict_pixels
MOD09A1.A2021065.h18v04.061.2021075143320.hdf,5760000,5211238,299815,248947,0,215092,5692172,17598,15656,34574,295721,373695,244199,4561745,1135728,0,62527,5409643,4838519,5676878,65,68.0,72,4675434,3541223
MOD09A1.A2021073.h18v04.061.2021082170030.hdf,5760000,4222972,1179709,357319,0,530572,5497664,115211,74237,72888,1453406,899681,233128,4437794,1146286,0,175920,4772089,4914255,5561680,73,78.0,80,3079491,1829623
MOD09A1.A2021081.h18v04.061.2021090062336.hdf,5760000,5484593,104883,170524,0,88170,5749160,2580,3800,4460,109712,167531,359395,4484459,931778,0,343763,5237622,4856821,5346767,81,85.0,88,5034358,3764516
MOD09A1.A2021089.h18v04.061.2021098045012.hdf,5760000,5421025,129347,209628,0,83111,5749442,2227,2910,5421,107575,164351,184602,4467518,1189064,0,103418,5132480,4865300,5620323,89,92.0,96,5138113,3851959
MOD09A1.A2021097.h18v04.061.2021107044104.hdf,5760000,4871453,483248,405299,0,239561,5496360,32569,61523,169548,576588,535160,218879,4498577,980303,0,281120,5101844,4816459,5427640,97,99.0,104,4227728,2992001
MOD09A1.A2021105.h18v04.061.2021114055248.hdf,5760000,4657863,714763,387374,0,284923,5557532,48320,56576,97572,896875,703885,118094,4445308,820939,0,493753,4959953,4888227,5208013,105,109.0,112,3843674,2580272
MOD09A1.A2021113.h18v04.061.2021122111004.hdf,5760000,5354410,211436,194154,0,123059,5712640,8649,14127,24584,231135,291207,144478,4394015,1111587,0,254398,4636778,4851066,5450153,113,114.0,120,4994839,3650224
MOD09A1.A2021121.h18v04.061.2021133170123.hdf,5760000,4729644,670277,360079,0,422558,5463431,60820,86374,149375,933195,911511,103953,4421093,1152982,0,185925,4818865,4850625,5514219,121,126.0,128,3683118,2360526
MOD09A1.A2021129.h18v04.061.2021138052620.hdf,5760000,4559133,856625,344242,0,391393,5340712,61220,74159,283909,1090816,789017,65546,4510485,1172414,0,77101,4959119,4894766,5661257,129,131.0,136,3682186,2470307
MOD09A1.A2021137.h18v04.061.2021146125340.hdf,5760000,4224329,1079738,455933,0,561583,5267856,105073,125341,261730,1393393,1056926,51657,4560831,1135517,0,63652,4917470,4948956,5678416,137,140.0,144,2995941,1877752
MOD09A1.A2021145.h18v04.061.2021154055612.hdf,5760000,5435042,166788,158170,0,112264,5726475,8850,9614,15061,226220,293700,66891,4414225,1236710,0,109065,4608010,4910122,5611443,145,150.0,152,5091746,3758133
MOD09A1.A2021153.h18v04.061.2021162060942.hdf,5760000,5019970,485126,254904,0,238486,5691707,21347,20711,26235,692828,640948,13095,4428594,1254005,0,77401,4735359,4921942,5660956,153,156.0,160,4296322,2983092
MOD09A1.A2021161.h18v04.061.2021170044648.hdf,5760000,5630759,46401,82840,0,65055,5751392,1926,2693,3989,121591,174043,14497,4479563,1116860,0,163577,4833400,4929261,5548702,161,165.0,168,5400992,4127630
MOD09A1.A2021169.h18v04.061.2021178065856.hdf,5760000,4894210,524033,341757,0,238594,5609719,39613,41454,69214,637336,643251,2848,4537570,1131134,0,91296,5208181,4884981,5643821,169,172.0,176,4175183,3074828
MOD09A1.A2021177.h18v04.061.2021188183538.hdf,5760000,4993051,516221,250728,0,248421,5610075,35690,40531,73704,771376,647606,3413,4393297,1316128,0,50575,4596883,4915155,5677919,177,180.0,184,4224633,2885464
