producer_granule_id,start_time,tile,scheme,host,url
MOD09A1.A2021065.h18v04.061.2021075143320,2021-03-06T00:00:00+00:00,h18v04,https,data.lpdaac.earthdatacloud.nasa.gov,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021065.h18v04.061.2021075143320/MOD09A1.A2021065.h18v04.061.2021075143320.cmr.xml
MOD09A1.A2021065.h18v04.061.2021075143320,2021-03-06T00:00:00+00:00,h18v04,https,data.lpdaac.earthdatacloud.nasa.gov,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021065.h18v04.061.2021075143320/MOD09A1.A2021065.h18v04.061.2021075143320.hdf
MOD09A1.A2021065.h18v04.061.2021075143320,2021-03-06T00:00:00+00:00,h18v04,https,data.lpdaac.earthdatacloud.nasa.gov,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-public/MOD09A1.061/MOD09A1.A2021065.h18v04.061.2021075143320/BROWSE.MOD09A1.A2021065.h18v04.061.2021075143320.1.jpg
MOD09A1.A2021065.h18v04.061.2021075143320,2021-03-06T00:00:00+00:00,h18v04,https,data.lpdaac.earthdatacloud.nasa.gov,https://data.lpdaac.earthdatacloud.nasa.gov/s3credentials
MOD09A1.A2021065.h18v04.061.2021075143320,2021-03-06T00:00:00+00:00,h18v04,s3,lp-prod-protected,s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021065.h18v04.061.2021075143320/MOD09A1.A2021065.h18v04.061.2021075143320.cmr.xml
MOD09A1.A2021065.h18v04.061.2021075143320,2021-03-06T00:00:00+00:00,h18v04,s3,lp-prod-protected,s3://lp-prod-protected/MOD09A1.061/MOD09A1.A2021065.h18v04.061.2021075143320/MOD09A1.A2021065.h18v04.061.2021075143320.hdf
MOD09A1.A2021065.h18v04.061.2021075143320,2021-03-06T00:00:00+00:00,h18v04,s3,lp-prod-public,s3://lp-prod-public/MOD09A1.061/MOD09A1.A2021065.h18v04.061.2021075143320/BROWSE.MOD09A1.A2021065.h18v04.061.2021075143320.1.jpg
MOD09A1.A2021073.h18v04.061.2021082170030,2021-03-14T00:00:00+00:00,h18v04,https,data.lpdaac.earthdatacloud.nasa.gov,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021073.h18v04.061.2021082170030/MOD09A1.A2021073.h18v04.061.2021082170030.cmr.xml
MOD09A1.A2021073.h18v04.061.2021082170030,2021-03-14T00:00:00+00:00,h18v04,https,data.lpdaac.earthdatacloud.nasa.gov,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD09A1.061/MOD09A1.A2021073.h18v04.061.2021082170030/MOD09A1.A2021073.h18v04.061.2021082170030.hdf
MOD09A1.A2021073.h18v04.061.2021082170030,2021-03-14T00:00:00+00:00,h18v04,https,data.lpdaac.earthdatacloud.nasa.gov,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-public/MOD09A1.061/MOD09A1.A2021073.h18v04.061.2021082170030/BROWSE.MOD09A1.A2021073.h18v04.061.2021082170030.1.jpg
