source_file,composite_start_doy,rows,unique_rice_cells,valid_reflectance_rows,valid_doy_rows,ndvi_nonmissing,ndfi_nonmissing,pixel_doy_min,pixel_doy_max
MOD09A1.A2013065.h18v04.061.2021227051329.hdf,65,17324,4331,17324,17324,17324,17324,66,72
MOD09A1.A2013073.h18v04.061.2021227174733.hdf,73,17324,4331,17324,17324,17324,17324,73,80
MOD09A1.A2013081.h18v04.061.2021228001709.hdf,81,17324,4331,17324,17324,17324,17324,81,88
MOD09A1.A2013089.h18v04.061.2021228112158.hdf,89,17324,4331,17324,17324,17324,17324,90,96
MOD09A1.A2013097.h18v04.061.2021228220622.hdf,97,17324,4331,17324,17324,17324,17324,100,104
MOD09A1.A2013105.h18v04.061.2021229041150.hdf,105,17324,4331,17324,17324,17324,17324,105,111
MOD09A1.A2013113.h18v04.061.2021229162922.hdf,113,17324,4331,17324,17324,17324,17324,113,118
MOD09A1.A2013121.h18v04.061.2021230025428.hdf,121,17324,4331,17324,17324,17324,17324,121,128
MOD09A1.A2013129.h18v04.061.2021230115022.hdf,129,17324,4331,17324,17324,17324,17324,129,134
MOD09A1.A2013137.h18v04.061.2021230192047.hdf,137,17324,4331,17324,17324,17324,17324,137,144
MOD09A1.A2013145.h18v04.061.2021231042427.hdf,145,17324,4331,17324,17324,17324,17324,146,152
MOD09A1.A2013153.h18v04.061.2021231130719.hdf,153,17324,4331,17324,17324,17324,17324,153,159
MOD09A1.A2013161.h18v04.061.2021231224009.hdf,161,17324,4331,17324,17324,17324,17324,162,168
MOD09A1.A2013169.h18v04.061.2021232115532.hdf,169,17324,4331,17324,17324,17324,17324,169,176
MOD09A1.A2013177.h18v04.061.2021233061557.hdf,177,17324,4331,17324,17324,17324,17324,177,184
